,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.23453074592982057,0.22980779882841523,0.31168954802706555,0.34426645945870354,0.26301618635081087,0.3114831291806043,0.33754693002171743,0.28377810535690107,0.3095116088847735,0.3492246266349896,0.2774976817936074,1.0259231103951918,0.9934281575654932,0.7757142768180169,1.1207000856773877,1.0720231503718782,0.975573173117143,1.2259421888201425,1.1501306445296924,1.2899948701534811,1.3992101324997794,1.1059116374078641,1.0260925883799987,1.3643896888568832,1.4009089507535373,0.9601319763788301,1.2330744786027035,0.9834544020376198,0.997692483499879,1.0053636977438236,0.9907533649645184,0.9906519644998462,1.1688371759664804,1.1502951533938581,1.2062931878475815,0.969160401651031,1.3807102894943168,1.26988490271771,1.327965454144814,1.3192852096882062,1.1463350605699871
b_large,0.23453074592982057,0.0,0.37005601068746596,0.3416595589365023,0.266468905299122,0.30936798053206993,0.3377133440450779,0.25054641490955587,0.31433299067807813,0.40981141564335083,0.32726293595410105,0.3869624044521249,1.1450137041669837,1.037288532253497,0.9841363119921389,1.1511050259975002,1.0631250288841039,1.0584895889521653,0.9015589612560163,1.2532836421694582,1.0716625711183716,1.2561095201324728,0.9756143456024808,0.9413494730617619,1.4577042347931253,1.0854240395802,0.9398488957599499,1.1316830119318284,1.153010924204472,1.1808220232265203,1.2711763016942017,1.1020185146077655,0.9577361927095094,1.5190360986080251,1.4005612485885435,1.2843846289250642,1.2341742579934998,1.0066721359828321,1.0750931351066186,0.8924075926692018,1.106648710311223,1.0529362067283283
b_normal_rot90,0.22980779882841523,0.37005601068746596,0.0,0.30438734614154234,0.37685791306568056,0.3129743276376169,0.2737125441866369,0.36773945910583905,0.2645294450131813,0.25448092525460264,0.3272988226106432,0.2822743695189056,1.2206702498646937,0.8651971693372132,0.8802267136203386,1.4363670336996393,1.1758279281348667,0.9975376801873082,1.0822972186058726,1.1810817161272,1.0628956207962077,1.1778134108249834,0.9972216145259202,1.0036048417794685,0.9642685076008916,1.101886189664726,1.21151812841181,0.8928022753465225,1.1586327581891394,0.8248141309256476,1.0457128438217018,1.250972100927088,0.9968389355882853,0.9139937505536656,1.2490591805622537,1.1316830119318284,0.7004010579246536,1.2064618578849258,1.2913984461690318,0.9520169572031809,1.1573848760505525,1.2685313943419168
d_normal,0.31168954802706555,0.3416595589365023,0.30438734614154234,0.0,0.2035406918653851,0.2932455042641731,0.2562507537893224,0.2830710943913054,0.2701924416080848,0.30241270651489266,0.29937237249361603,0.361804378763071,0.8672068627708289,1.0357489717126507,0.8424500242238714,1.147537537401667,0.940012676406837,1.0654321756682956,1.2688855459866812,1.1568134781331292,1.0039172683081472,1.0083740099183018,1.0462802218804328,1.190810720134529,0.9020919501498181,1.039738644882059,1.0346036717895386,1.1872017966998942,1.1787552499070937,1.268343337446602,1.3600720939887714,1.4147952232152683,0.9203796179590942,1.0537005259494838,1.07877658330382,1.2374359865526259,0.9286388035802717,0.9327919748763835,1.071769204649902,0.7853394191188907,0.9852604005495746,1.1341147996740177
d_large,0.34426645945870354,0.266468905299122,0.37685791306568056,0.2035406918653851,0.0,0.310845790240861,0.2999728193782023,0.2197151140925304,0.3025186370782685,0.363895733996411,0.23324120727848957,0.44512473461858304,1.187923492846902,0.8615939372606538,1.29134550626195,1.1975890571821233,1.120441234302682,1.0494339416501606,1.242565528763811,1.2510223032173886,1.1777497966925,1.1903621231070303,1.0927495463633774,1.0757952760871312,1.0604915579050491,0.9118343122413718,0.9430087443108822,1.0303016986632663,1.0601789562392816,1.029492449524942,1.1757387306951568,1.3553698911671799,1.1130197480673067,1.2900270274477472,1.3294046041009664,1.015061164964561,0.8982636863708734,1.3405171393168875,1.1903413509676977,0.9562184318113949,1.2410919651711052,1.2906618765941444
d_normal_rot90,0.26301618635081087,0.30936798053206993,0.3129743276376169,0.2932455042641731,0.310845790240861,0.0,0.25263906427991895,0.29213693245667965,0.27697931825397626,0.29549486800914154,0.38278205365144297,0.27443371251191456,1.0542953861813547,1.0927104873104718,1.3002091732944088,0.8342890502533614,1.0997789234216944,1.0144983940975631,1.0866937154965886,1.1352561610149452,1.0076181623263007,1.0451035855494395,1.1450798759797045,1.1710369684106634,1.310126989907287,1.0834805182516416,0.9647160534897553,0.9775298249977797,1.0532334278647706,1.0888057899216141,1.0023807642905957,0.8227487381073626,0.8412633129636149,1.3620117222563373,1.1099146961163537,1.1151984471263867,1.2382711859357134,1.0736899218045994,0.9264516136071078,0.9814631877442419,0.9026186809117421,1.198841242424722
q_normal,0.3114831291806043,0.3377133440450779,0.2737125441866369,0.2562507537893224,0.2999728193782023,0.25263906427991895,0.0,0.24412282443492095,0.2299203464062847,0.22506436238352792,0.2920008097076472,0.2808791019810847,1.0643743267631618,1.0890879406630583,1.2843779535194344,1.1492838028640255,1.130797244415448,1.0960635376127486,1.1445824687707817,1.2268384171427063,1.2038699674906552,1.3643049133393557,1.1916612990826676,1.255952026140347,1.250630196317639,1.0936871934630448,1.1242105991981237,1.0134654055006185,0.8823281186993076,1.0624443989781018,1.2346035545252023,0.9889776919347841,0.9599154717957716,0.931477353980251,1.0947920246137577,1.2182229121742492,0.9277598811361526,1.088761064010873,1.1796034670962454,1.0859417585239222,1.2194610672952466,1.1740334784042121
q_large,0.33754693002171743,0.25054641490955587,0.36773945910583905,0.2830710943913054,0.2197151140925304,0.29213693245667965,0.24412282443492095,0.0,0.33429375475150547,0.33987665311591747,0.2272934787982879,0.35159487764406505,1.2389449303284081,0.9886717530798955,1.4973507405275703,1.1612374990823626,1.2396517642870424,0.878611218847501,0.9956432716588707,0.9998059475239123,1.1495690572686545,1.1939875607758383,1.0656478540719971,1.1323949541439433,1.225690974345999,1.1287967220558461,1.070858100656024,1.42401656468078,1.4547583354372045,1.2185232392530474,1.2125047380253122,1.2844624805937794,0.9620552161477284,0.7203554638146843,1.1635781369210587,1.1240561310695267,0.9986599292518417,1.0258993672150962,1.0600454458745023,1.1977669376303597,1.277991339797393,1.1707583361856384
q_normal_rot90,0.28377810535690107,0.31433299067807813,0.2645294450131813,0.2701924416080848,0.3025186370782685,0.27697931825397626,0.2299203464062847,0.33429375475150547,0.0,0.2446823009043978,0.37046911780727715,0.26264785962327897,1.2879873682491862,1.2366229868248988,1.116458886271178,1.3310310608302616,1.3703518899805245,0.7282161750984688,1.0978406732057115,1.0563529065716597,1.057580270098735,0.9296537939550136,1.111947191678483,1.0855290560577011,0.9662856291896897,1.0487996083079447,0.8713576081569006,1.021887961936888,1.0396843660355923,1.0890460298510183,1.3427868983907376,0.6972961468391925,0.7236399083149192,1.0509840547076768,1.0045742872281562,1.0171487892950157,0.9224001690423727,1.358124488958231,0.9901733094064886,1.0746768511394271,1.2512828459027405,1.0080516318042538
p_normal,0.3095116088847735,0.40981141564335083,0.25448092525460264,0.30241270651489266,0.363895733996411,0.29549486800914154,0.22506436238352792,0.33987665311591747,0.2446823009043978,0.0,0.32250908805692546,0.30176914503523944,1.1220773089346605,0.9777674193725422,1.1245073095439613,1.2466446898055512,1.2502726960271247,1.1776914784418235,1.1879554821170837,1.226260386779281,0.834929731922789,0.8934441487308067,1.140282111270371,1.0123254971333226,1.3038452601402846,1.3138911377747071,1.20626113503211,1.0396901922518276,1.0934404641143955,1.0676723344088186,1.0253753383865836,0.9932427952940579,1.2209820405372511,0.9946177837061572,1.196425224003077,1.1595752788889138,0.9811410177361878,1.0290331695597534,1.1078871643607222,1.0195050212215122,1.1052572681848793,1.1236408466383556
