,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.20022070227533462,1.1058484956659271,1.0828894001614784,1.7999340156826829,1.3807240874626376,1.6159968592251654,1.522439869110853,1.0385555021671993,1.0212441566580122,0.8282963783468124,1.4267116747064488,0.6400250171212943,0.53795295684293,1.7482896895475992,1.4335456778538052,0.8411103644757666,0.9179953574794387,0.4073561692190703,1.206912571917391,1.4379953421967528,1.2703744157642567,1.0928205861470814,0.9206480915044203,1.3661988246914714,0.8389175033076228,0.9554748245377048,0.5059398840262942,0.8031375842398495,1.4290992577092387,1.1965583023814672,1.3256495151466698,0.4382420647877012,0.5428976904673064,1.702558685491218,1.28086453166657,0.7649096876067849,0.4846471090031277,0.4765563643100569,1.41005836424701,1.3521241679072498,0.9434891508393969
b_large,0.20022070227533462,0.0,1.2704165557932106,1.7549397342053714,1.9209282411178508,1.4116966071049424,1.5852539335507545,1.597660012510119,1.1947920630497024,0.7373495700863917,1.0307196014882907,1.265317535130988,0.7370650720918349,0.5836420835071624,1.6941358712368673,1.2815703259277123,1.1600630480909355,0.9336555830992749,0.5450687289439898,1.5736207595871878,1.4173691697017516,1.0680376140976067,1.2526342931393661,0.8723548056071977,1.246052035728926,1.1529822849895675,1.3223281437264471,0.9657718731483911,0.8216531621488099,1.4346879925648786,1.247683971752744,1.3630365598566727,0.42681518325551515,0.3835157336761234,1.5844720394194807,1.3102874974920864,1.354744022510491,0.748553700559409,0.4105164989548926,1.6490981989638973,1.6311486737301149,0.5985382120532924
b_normal_rot90,1.1058484956659271,1.2704165557932106,0.0,1.3589734710558965,1.1051278525003827,1.2241082608780978,1.021137523912553,1.2262648686528428,1.5704599666811538,0.8867636743323957,0.9743431472275027,0.6897394959805254,1.4307960100068668,1.5231035560506867,1.4092396429368552,1.0060521986389561,1.0869712994456846,1.007554020935501,1.0585010994330306,1.4033621500162063,1.378625867459009,0.8643468191645544,0.9195570099452142,0.9847916198943744,0.968890066162121,1.0423444553892458,0.7916504076182748,1.1927694700960645,1.7588635672440616,0.8376423403193178,0.928638247282724,1.0361125843673098,0.6512594896519014,1.0576107724743746,1.3337588782386132,1.2639059946528644,0.28783482859553844,1.3200905087741945,1.3045031831046445,0.8694663572200206,1.0666038207722655,1.600796846243234
d_normal,1.0828894001614784,1.7549397342053714,1.3589734710558965,0.0,0.25557216617893797,0.9431440792450418,0.9022837715768711,1.0474257963875573,1.1269156494436663,1.3401698028092097,1.0840916144535628,0.8596816867258197,0.7510034721618968,0.8520042263205053,0.7146393928563999,1.319924092010637,1.519238817827636,1.0125880008657697,0.38014261618987977,0.7785646192514426,1.1872943162945457,1.0021035625228765,1.3878668504913052,1.024295969453764,1.0145870245496433,0.9627853242434073,0.9285722263193863,1.2243988117308966,1.042418773629536,1.1362475651158126,1.497566328481859,1.0637569690025046,0.8549618117013706,1.096262349887088,0.49113381546706786,1.3643212837342718,0.9453697268635384,0.7741234637775332,0.7643032411379391,0.5844589207714007,1.5872046283938808,0.8388818298565381
d_large,1.7999340156826829,1.9209282411178508,1.1051278525003827,0.25557216617893797,0.0,1.0297758210164976,1.1363965361871673,1.1746971877740504,1.1627492714075973,1.491479714709926,1.4243932545006182,1.1159088637404544,1.6414289757698415,1.6162311170467887,0.6708916673874259,0.9467943400651564,1.273585632102406,1.1003207506318957,0.7311910208086102,0.8383221660771377,1.2192441209692106,1.0919008450137135,1.540031616309249,0.5654540156522523,0.6534284015309155,1.6702037731240473,1.1979272157307925,1.526578666854655,1.698604502439583,0.7690782932171374,1.3684488576043883,1.133955340360809,0.7833624975684692,1.233330746175639,0.5806570201990925,1.4692461150605534,1.3247944277628436,1.4103082533038196,1.1143156705194686,0.7806780880828239,1.5315624708083315,1.0966293839129007
d_normal_rot90,1.3807240874626376,1.4116966071049424,1.2241082608780978,0.9431440792450418,1.0297758210164976,0.0,0.9670661116129088,1.174981955339934,1.6444436778925198,1.1214432047383742,1.229906842344716,1.46824905664643,1.3632533204901092,1.32290567146005,1.0449827419255053,1.5250053138246242,1.7227382243119376,1.3756946275490718,1.1300804500576849,1.0711884812723422,1.24578733603429,0.42137415162889075,0.6216493867143623,0.8596698997246036,1.3728037035244118,1.3297063588833091,1.225955443490632,1.2788589331829832,1.1784781634141166,1.3438147720166127,1.1630574880748428,1.2089649620253662,0.5772369236712159,1.3060864945218056,0.9940124096057162,0.6340206033843268,1.4338988127702,1.1920723786672658,1.3455295045994213,1.414522819392312,1.0306925221004208,0.8281627368788818
q_normal,1.6159968592251654,1.5852539335507545,1.021137523912553,0.9022837715768711,1.1363965361871673,0.9670661116129088,0.0,0.6837663792893943,0.6150492231974686,1.5675259473854515,1.7888845006596719,0.871897260299954,1.0737190505013685,0.8318570886671284,0.9810206300106215,1.3281218668110018,1.318413195633166,1.4083234622521534,1.2320159883355342,0.9366394670149624,0.9624332113394504,1.022831240993426,1.0052543611909877,1.2756107064115805,0.9646546722570744,1.2360304932175652,1.0591191078559319,1.2672918632892174,1.6001733140482277,0.9714203722098176,1.4329554252555081,1.4326654095818876,0.9899111377879269,1.6581396368472974,0.8255835411565999,1.2958468157838168,1.09260638349207,1.3593539029218416,1.5736222366792676,0.36283162365422056,1.5659148472333164,1.194974572321583
q_large,1.522439869110853,1.597660012510119,1.2262648686528428,1.0474257963875573,1.1746971877740504,1.174981955339934,0.6837663792893943,0.0,0.9903743556519107,1.5993663844125483,1.7064630491531108,1.0750955072074184,1.4431721646834401,1.5898397995850055,1.4427866826564129,0.5840402337164862,1.196829773578588,1.5640743520731362,1.141607709304115,0.9753538293262808,1.2760249127360699,0.6189171195422589,1.623356983025205,0.7249534899059595,1.08643243012192,0.6330891493116574,1.0136945203833096,1.663809695676166,1.6096627406404087,0.660094079330884,0.8419639772084121,1.2660807529397151,1.0321040877157428,1.131683508068856,0.7432163116411078,1.2204285820503002,1.0205196426973693,1.7005097542570458,1.714087932719807,1.054276655070675,0.416376024577461,1.2295103590271381
q_normal_rot90,1.0385555021671993,1.1947920630497024,1.5704599666811538,1.1269156494436663,1.1627492714075973,1.6444436778925198,0.6150492231974686,0.9903743556519107,0.0,0.8892447223043929,1.3260625272478685,1.4061901433216868,0.8579006129682633,1.0582475950572439,1.399188868620494,1.0211574133759225,0.9290100364982868,1.038558019253847,1.3727361951805093,0.7926472627992109,0.9564402672781029,1.5681615466078505,1.2827748042762743,1.2217807335896362,0.6710339247148395,1.239215629199395,1.505851740704328,0.8718401846770655,1.2678509513321123,1.482500453495927,1.3806969633260235,1.6740010197540443,1.0845448981659185,1.224238174304976,0.9754837454438106,1.0261844197413685,0.7685771788658773,1.3769891989930452,0.748236234825921,0.9535359351611431,1.096534098821123,0.6445420462350472
p_normal,1.0212441566580122,0.7373495700863917,0.8867636743323957,1.3401698028092097,1.491479714709926,1.1214432047383742,1.5675259473854515,1.5993663844125483,0.8892447223043929,0.0,0.22470924667741388,0.8446399488929027,0.5101059280889778,0.4197399137816241,1.5098065814154733,0.8094131088319741,1.2928651590695284,0.717068252966798,1.021395391892566,1.227110888159635,1.3608822699479668,1.1268863048744726,0.5394383778295803,0.45163084791565117,1.0966926629505536,1.2848056135366304,1.2953128174558255,0.5159724913320557,0.8304480286469493,1.1584813058652073,1.0541831726884867,1.431556870362363,1.0735253676716536,0.8950271093622867,0.986033060180626,0.8792588268068184,1.1260882721568015,1.0876075969305752,0.7796572533580793,1.3844434717340128,1.485729436193256,0.9654405168886013
