,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.28388903275572674,0.27386643234655206,0.8265366127040705,0.8739660579649013,0.7528264275644285,0.3972021670158252,0.30935461561591066,0.30685811054028345,0.9948346703341472,0.7353750513298135,0.633838663943833,0.8897970319420745,0.9802766527406357,1.07526611087142,1.0390594902537005,0.5702798658120964,0.7555564881979959,0.9003170049236017,0.947307066290275,0.8175398688629386,1.0096113899309165,1.1422747223061864,0.9059954923115421,0.9493016472615962,0.8940265443735735,0.7558822757214,0.9945386719867727,0.9534018910855578,0.9832725912505131,1.052609940868963,0.8570182326154352,0.7609834630544716,0.888005607282335,0.9625940719932695,0.6683788506807464,1.0663633852536478,1.298444452598637,1.0816588027511502,0.9457125520913173,1.209593995845376,1.0694634308836608
b_large,0.28388903275572674,0.0,0.33080152203215035,0.5146552901204424,1.0649933687818913,0.7492590385555999,0.48563601729116135,0.4647376724040022,0.3956970132462517,0.6811302944840032,0.7079409447800225,0.8360422440162777,1.1966723624733135,1.1475201599577278,0.9027770081514653,1.091122482723247,1.390011702653759,0.5907370632540965,1.3247970888188438,1.3396401023775169,1.153288916090256,1.3999088170311365,1.156014951632176,1.0480168135345538,0.975671701574184,1.101608526387045,1.218929424216262,1.0379706002339213,1.5143213238357265,0.8364758156604042,1.4626276380595422,1.0839033995245257,0.7789935219276813,0.7774758514296993,0.8468612036511973,1.23870137139687,0.9359204235904366,0.8590459421501347,1.447524753278063,1.6521083381564516,1.4301552645978868,1.0082937564470686
b_normal_rot90,0.27386643234655206,0.33080152203215035,0.0,0.7695710055677586,0.638082580357054,0.45700593441916243,0.41004269215515754,0.29495129465245973,0.38329411843954203,0.6368613014492572,0.4533269131001133,0.4052223270264823,1.0440765434151922,1.1088205111365095,0.6380196608153474,1.0079820941142636,0.8485813598256303,1.1740294847918384,1.1886705282933425,1.2812154918840628,1.140938547184802,1.055293509088935,1.1983984034083166,1.2089494657441642,0.7440148411404208,0.876613303433713,0.6900585771235452,1.0954005251519545,1.2713322981534276,1.0216054207117866,0.6662913671495705,1.2184142809237999,1.053878675937397,0.9686650130252021,0.9171229129174254,0.835111024653785,1.0190745359632956,0.9377032715742917,1.1537185985240104,1.0556653705394266,1.302018139024436,0.9985789336200951
d_normal,0.8265366127040705,0.5146552901204424,0.7695710055677586,0.0,0.3308772015101478,0.33086408940953,0.6821124049679951,0.5532595410639815,0.4559785477290742,0.500924489782778,0.4878127722819725,0.28325259233957384,1.0982191902113083,0.9822214360918059,0.9446525278272528,1.1900970306500762,0.9962281303768977,0.898175337815283,1.2890113293703012,1.106332009268364,1.204904945921336,1.2130063789697352,1.1185582062337884,1.2729825732773938,1.1751919732751537,0.9793523336360992,1.0602756504023014,1.2795167675426813,1.4654967713421478,1.2106640703585556,1.2229177279403403,1.0087776439585339,0.8393564285657873,1.5337681118304545,0.8048402113169897,0.8217434103750092,1.0874490300166502,1.3435489037635804,1.0490254674855766,1.0246850340822875,1.15997018868848,1.0677142077782542
d_large,0.8739660579649013,1.0649933687818913,0.638082580357054,0.3308772015101478,0.0,0.42256035786830165,0.8622202530359605,0.48374163403586506,0.5871697438202333,0.47508469166725,1.0184001013226291,0.3877711461839664,1.3146636129615281,1.1462147227733297,1.5932252167494598,1.468570028897867,1.2179508594443789,1.165493841176967,1.354848943298723,1.071362453288494,1.0303819415286806,0.9967611945812145,1.1617892498260647,1.2058297765628778,0.9875079062725955,0.9897144477702213,1.13855249503056,1.5244393371052412,1.3522585562640235,1.187242127936392,1.2790330857544379,1.142539136785662,0.8604700629221707,1.3485772711444746,1.112168442669353,1.012214557631521,1.0581823499212701,1.121223652488024,1.095214371739785,0.9546488144469183,1.1899351137450194,1.466730260379164
d_normal_rot90,0.7528264275644285,0.7492590385555999,0.45700593441916243,0.33086408940953,0.42256035786830165,0.0,0.9206295295131811,1.0000763229349308,0.7447671221729134,0.47689946903823205,0.4645652109121437,0.2897143985002167,1.0726525964591171,0.9410791266682859,1.3246137199533328,1.309319355480352,1.5618024190230921,1.0832479587677828,0.9340937056311134,1.0784768397035067,1.0238023079643328,0.8584010407022399,1.108970591347918,0.833455029677915,0.9626447916456398,0.8064016865768131,1.1716485825602747,1.3333149264744186,1.5690218457177016,1.1526934429980906,0.7194738591706269,1.011592244826435,0.8624877981520535,1.3593758909480715,0.7628277878770398,0.9237771724984257,0.7630797515656784,1.214573416103619,1.1721381231616568,1.0175912645849596,1.2228048183517959,1.4148529756950692
q_normal,0.3972021670158252,0.48563601729116135,0.41004269215515754,0.6821124049679951,0.8622202530359605,0.9206295295131811,0.0,0.3208441021244971,0.7273950020277089,0.4295212272974586,0.41883239225445634,0.5433910428981552,1.1115754193489498,1.114135577874957,0.9249856101074805,1.3941632698029387,1.2025284864036547,0.8087244154198313,0.9129751756279925,1.04606014011014,1.1133435529088087,0.6920566339552299,0.9152089490368345,0.892575674824605,0.9783916383174235,0.8032757599892052,0.7424632657268019,0.8418505429157892,1.167916831871708,0.6939187976178809,0.9218325818350954,1.0270407454546984,0.639754433796712,1.179867438186156,0.7938018132040849,1.0586773150433064,0.9470262439344181,1.3344737361384476,1.0370901143397098,1.1621382536270959,1.032038781183061,1.3715708192741785
q_large,0.30935461561591066,0.4647376724040022,0.29495129465245973,0.5532595410639815,0.48374163403586506,1.0000763229349308,0.3208441021244971,0.0,0.309997324697466,0.7608092273505445,0.5729777569792055,0.5447230590676022,1.276714833159682,1.0226046926643466,1.7393836085708532,1.0162905482949136,1.071597394284221,1.2451015123140035,1.3259281922467376,1.1015064594556803,0.8226960675936867,0.8536313117115285,0.8880503906974959,1.1208949337519196,1.0829620780117675,0.6291387381365661,0.8349487005417149,1.148156558269851,1.338568554458813,0.8337294701876639,0.9139997498607824,1.2347744018282736,1.160400154994662,1.2136154788671738,0.9195032211216217,1.5498741217262761,1.1490021557936674,1.4998776482687874,1.3991430546108843,1.2426507992069287,1.3397342838674628,0.9155348797862337
q_normal_rot90,0.30685811054028345,0.3956970132462517,0.38329411843954203,0.4559785477290742,0.5871697438202333,0.7447671221729134,0.7273950020277089,0.309997324697466,0.0,1.0056476258796565,0.3786334377052163,0.9975089066341072,1.20801098703815,1.0637204360861006,1.0358830985998293,1.107660755155915,1.028227975599023,1.169705648402242,1.429509369036496,0.8184575560995475,1.011487830291167,1.300978731773454,1.3529133453391444,1.1760333534630192,1.1504370737901028,0.8316109810277087,1.2930389257566028,1.1977723158210605,1.239758379677828,1.0513909383420506,1.3020716007001072,1.175917711373135,0.9649054381555282,0.8455131318427606,1.0035673558275333,1.6255349799718213,0.8531721485343288,1.1439929101488873,1.3768750062363833,1.6068577308558452,1.234892049733736,1.07438703208406
p_normal,0.9948346703341472,0.6811302944840032,0.6368613014492572,0.500924489782778,0.47508469166725,0.47689946903823205,0.4295212272974586,0.7608092273505445,1.0056476258796565,0.0,0.48359538116985856,0.37072226522619256,1.2178588164488193,1.225544708926634,1.3042399286497433,0.8192701608172757,1.2781982265016731,1.1261239298891141,0.9820224201271921,0.873568060197303,1.2881975187227703,1.0069491899286467,0.939831374843862,1.0714639297196735,1.3206439346505092,1.1137668610569758,0.8066116229830378,1.09867864025655,1.482323150669801,1.0673797190414474,1.0714452329436035,1.0577532611346092,1.0423228257910078,1.3752363570224913,0.8129973246469259,0.8622375982880196,1.137821085613754,1.3538094849779294,1.2813115767743455,1.1432553439779125,1.3525762786698892,1.4199633409817622
