,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.5814582258747901,0.6112399104506694,0.436618588975297,0.7522347668077763,0.6529811939100459,0.8180580168633453,0.634214228162586,0.40207784502268973,0.9208082305441434,1.1325376928147814,0.832417768553379,1.1825832995691983,1.2020013498350528,1.445703120865808,0.9321628236654541,1.382237247742173,0.8605004525980152,0.719873327070092,1.3495861176163129,0.9127184003510558,1.2303150941889742,0.8094820660002058,0.9615457929441267,1.2058594139668548,1.0577780629282532,0.9856596986055539,1.4311613055286188,0.9091759197729204,1.1000589479465264,1.4449571269070403,1.1728770268398083,1.422670764352197,0.6592000197956454,1.5640889065248371,0.8237079859710041,1.3108606151261217,1.3708937320054921,1.0413179783792348,0.6802366882006097,1.1731237563486883,0.7786190172519111
b_large,0.5814582258747901,0.0,0.6723190993364522,0.5799387194574468,0.4137568387866684,0.5014771730187099,0.6343079873795848,0.6592574727582925,0.6139808806646034,0.6795856425350748,0.502405190922786,0.6179906099985422,0.8637423122076974,0.8757207232402109,1.2674663566005346,1.2552302028186355,1.0583272961019454,0.6956165110718738,0.5900083791867841,0.9236711047457344,0.9365622501373433,1.00617595416363,1.4437172324842464,1.121929382005249,1.2965512181843342,1.3580011861615984,1.1285216036765686,0.8724133086727182,0.9636674999605701,0.8984308673172742,1.0055846181398114,1.1832816088298015,0.9557048811040019,0.6831884708172402,1.542515959154821,1.1541535315689448,1.3028881856309698,1.5037694456069164,0.9686735432608908,1.167927351457968,1.2823875467123114,1.2413502221812762
b_normal_rot90,0.6112399104506694,0.6723190993364522,0.0,0.5391597934434327,0.527907658796931,0.4276464027046377,0.7373450556172958,1.346210053645082,0.5042322421782078,0.6294211978192312,0.920336863850031,0.5676727509008324,0.9953938243218038,1.2802902449782598,0.7982229023356954,0.8919875795262548,0.8252555956370943,1.409971558843777,1.5620991246857736,1.2355670867783963,1.3874191143505683,0.9134995157260986,1.4632894231269329,1.2610313467760685,1.1831747185213246,1.1445653065414108,1.0707854071665321,1.130081976917286,1.0766295540993716,1.0519807835691464,1.453357112011698,1.2504943894385476,1.0265304048380706,1.3437620571083446,0.8941358173549465,1.0388933078057219,0.596655924305627,1.2820000193757377,1.3988002231027885,1.3508597972618732,0.8884724734746006,1.135102047620355
d_normal,0.436618588975297,0.5799387194574468,0.5391597934434327,0.0,0.41417765237460785,0.8117687662907545,0.6748418426245433,0.9407798237909174,0.6247389125823948,0.7195858466678615,0.5818731647745321,0.6537840040663304,1.15079389452337,1.227505690805604,0.7389212419671395,0.8715339046221858,0.7581596535190916,1.3911499744105822,1.1360311277696236,1.5202852645490998,1.470040635789643,1.498321028064382,1.4822974757575857,0.9706340957363612,1.2998591322032278,1.2983115266546414,1.137845374908035,1.0448505692374566,0.8756444865038604,0.9893123351527762,1.0872745693267607,1.25770427374737,1.1132556239877527,0.8284435776175006,1.0453792530090675,0.859650975476107,0.9879890888344708,1.1032739816046755,1.3105174987925148,0.8999424842893794,1.2808926696062481,1.1683127343150366
d_large,0.7522347668077763,0.4137568387866684,0.527907658796931,0.41417765237460785,0.0,0.931761804396558,0.5681666305355506,0.7529067944436415,0.6219834083260034,0.747332314296352,1.0817457494790892,0.5759193834041666,0.9919020918263003,0.6604005943858966,1.118200407813281,1.1898690807716579,1.0553886540213486,1.1839734213414175,0.86625941793793,1.4517928663631121,1.2141964947195127,1.4064909554155198,1.483906981065069,1.0468936777665394,1.4415873555657734,1.343004128758098,1.2969546268814574,1.3000296406185199,0.9733620575743,1.3437618125368556,1.2299758744677507,1.3627446660270273,1.08665034329188,0.8481125434142361,1.426594110133555,0.9502555150395245,1.1202317326377693,1.178123503430867,0.9032266731582705,1.081127910567325,1.2585121505148409,1.3219266780996701
d_normal_rot90,0.6529811939100459,0.5014771730187099,0.4276464027046377,0.8117687662907545,0.931761804396558,0.0,0.7669671971624734,1.283311599641677,0.5202977263095929,0.507845380577493,0.6714643292511453,0.5291160439817624,1.3886833673686816,1.1452052713897987,1.5266970353091485,1.0701611149947303,0.8780394112382056,1.306431119757292,0.8556999746609397,0.9724806278740029,1.44627909222314,1.1166032849372147,1.1760196268693652,0.9661297720322612,0.8335159688403362,1.1101432795176778,0.8701101651500678,0.880378315831273,0.8684212476121357,0.9826375867991284,1.0508541513188006,0.8340434396251534,1.1792757712571154,1.3900077748354127,1.4843403610728438,1.2366831016823228,1.506217654142843,0.9565274416908347,1.2095734015360098,1.1262813486537848,0.944857458247116,1.2333031817994071
q_normal,0.8180580168633453,0.6343079873795848,0.7373450556172958,0.6748418426245433,0.5681666305355506,0.7669671971624734,0.0,0.5885188099958498,0.7182355005457759,0.639673113815131,0.576170891181402,0.48459900606904877,1.2089392800710155,1.0399105842219594,1.1408536698211948,0.8246710559172271,0.9214268525718531,0.9522501615710164,1.4333562884876414,1.2357426310820583,1.0495034552262643,1.0645628511232381,1.4911816111789524,0.9087453918344348,0.8531760502514466,1.116221269329233,1.3933070660428075,1.3267324263943516,1.5214330592040548,0.8036901281512152,1.336936951033598,1.058577597204043,1.1765228809963766,1.181622377619816,1.4114202942566443,1.0038578549239339,1.5123324166983665,0.8720414643988008,0.9464988131169021,1.08940137347178,0.8927251156611294,1.322500238444051
q_large,0.634214228162586,0.6592574727582925,1.346210053645082,0.9407798237909174,0.7529067944436415,1.283311599641677,0.5885188099958498,0.0,0.9479268015383665,1.173418054053371,0.8539663800384841,0.6599089153132335,1.4534485902849466,1.32017564264017,1.3394477936692177,1.3047228534520732,0.9954154135634422,0.6298422818245758,0.9662905929792072,1.641986322357951,0.9382955297260425,0.6298040883445294,1.1732226265659296,0.7642957757143944,1.2995057926182625,1.1400129660562526,1.459636370950236,1.378754467014983,0.7985346300805518,0.8465609007151877,1.400844785401496,1.1529643628130537,1.0581394105197997,0.6228223832558967,1.037487217579973,0.8115590345299953,0.9056235808328787,1.3588199860702366,0.8124150890218079,1.3443463253767554,0.971534457962818,1.31681788464179
q_normal_rot90,0.40207784502268973,0.6139808806646034,0.5042322421782078,0.6247389125823948,0.6219834083260034,0.5202977263095929,0.7182355005457759,0.9479268015383665,0.0,0.699512247965352,0.8808326917045812,0.4037809249036779,1.1612973890821638,0.9497358114783456,1.0805441180141047,0.9600360224500551,1.0652440348780035,0.8454399046912353,0.757653104733503,0.6150813011901972,1.39538248460795,0.8699658543908948,1.3003305590309198,1.0153064970900898,1.0228325733014028,1.3582565813793692,1.0009363838137226,0.9072523572956762,0.8417376756056814,1.266133400543385,1.1174551154840076,0.9866778772561748,0.7862133980562781,1.0946980006885774,1.3653669146905656,1.1060388774099188,0.9959322667255932,1.4362642441965228,1.4209913916128523,1.1460937977794778,0.9353223443536597,0.8067187306531641
p_normal,0.9208082305441434,0.6795856425350748,0.6294211978192312,0.7195858466678615,0.747332314296352,0.507845380577493,0.639673113815131,1.173418054053371,0.699512247965352,0.0,0.45481527143221306,0.48542620705594947,0.8828785116522451,1.1190749702063976,0.9000053201958317,0.6829525046768142,1.154682879878935,1.3254680518269306,0.9210160166420177,1.3647286770280618,1.4482523417582147,0.8898978117377658,1.2298888776735164,1.1655660011476523,1.149112490576656,0.6426303177401198,1.165450052094681,0.7708527347827887,1.2298450002061154,0.9282204778134954,1.1359485814250976,1.0895322081659637,0.7282729633794399,1.0554877873603172,1.348973765079288,1.2085958342312004,1.1632950819779104,0.9282791530337926,1.494608258321521,0.4977565155804398,1.3140484792589768,0.8690799186318529
p_large,1.1325376928147814,0.502405190922786,0.920336863850031,0.5818731647745321,1.0817457494790892,0.6714643292511453,0.576170891181402,0.8539663800384841,0.8808326917045812,0.45481527143221306,0.0,0.7866983601013906,1.1205444994241776,1.3782932320372039,0.7091086197515563,0.8953505883336943,1.3606771304936767,0.9782900842566923,0.6217635019522406,1.273538629866201,1.0304290426442135,0.9550610840876421,0.9719540910823047,1.1331539242657753,1.3012799201105723,1.2051786272754736,1.2784650893040186,0.853558557700874,1.4389973322394383,0.8844715836821413,0.9666340875244629,1.1245982789119715,0.9311751091766594,0.858360108305607,1.2056202020301505,0.8284553496842728,1.4296273209293417,0.7934066235397443,0.5008809647515448,0.6804820269833505,1.0933143716449725,1.2021990386056514
p_normal_rot90,0.832417768553379,0.6179906099985422,0.5676727509008324,0.6537840040663304,0.5759193834041666,0.5291160439817624,0.48459900606904877,0.6599089153132335,0.4037809249036779,0.48542620705594947,0.7866983601013906,0.0,1.3830329493883122,1.1244832075989084,1.1372866642196748,0.8746476667065984,0.8075403478521338,0.8160848088041796,1.446766159457813,1.558570295229644,1.327040692391272,0.9528693590043448,1.319038898130414,1.4531073176900307,1.3443928503701132,1.1276833943137703,1.3103484046619236,0.8073224423015399,1.2181429672845838,1.0948072973708127,0.713669847679079,1.343412461993015,1.174167417192473,1.3753816018432554,1.2863635452738325,0.9888681915211492,0.8950022102171489,0.9954458532008138,1.1174022031874258,0.9646095946293443,1.1527524683189034,0.8454216860997069
r_normal,1.1825832995691983,0.8637423122076974,0.9953938243218038,1.15079389452337,0.9919020918263003,1.3886833673686816,1.2089392800710155,1.4534485902849466,1.1612973890821638,0.8828785116522451,1.1205444994241776,1.3830329493883122,0.0,0.37711527444073595,0.6099264632540892,0.6194462294143654,0.6805992937538415,0.8268550707697677,1.1982878707142246,0.972051778213668,1.231091395671056,1.4067609599099649,1.3298282241173458,1.5100230319962331,0.8982658193980515,1.0671715554548666,0.809795085378252,0.5647943075122699,1.2270581007647496,1.3083910379993113,1.1867738578159377,1.4118384108205477,0.570172439002295,0.8258861313695651,1.0369991186524274,1.255219494509255,1.3413556587831093,1.1458548633286285,1.118214053242351,0.6820702853197065,1.149155130640791,0.9111886658941284
r_large,1.2020013498350528,0.8757207232402109,1.2802902449782598,1.227505690805604,0.6604005943858966,1.1452052713897987,1.0399105842219594,1.32017564264017,0.9497358114783456,1.1190749702063976,1.3782932320372039,1.1244832075989084,0.37711527444073595,0.0,0.5367509905811024,0.5650918670991713,0.8452362174943158,1.2718346740817712,1.3876612921136489,0.7098795759647718,1.265495403475563,1.2303955925261412,1.0315396790642106,1.360449847452924,1.0969218977467405,1.1634233823362288,1.1916045145314076,1.4160436226376387,0.8705824947362482,1.5441501844378185,0.9401604039674912,1.0243769650472507,1.154904967052725,1.1395254023115102,0.9553767308315819,1.0746560019498743,0.9248109642490716,1.1803707073067282,1.0504993167555723,0.996373220239797,1.1042000025194618,0.9200493480788862
r_normal_flip_h,1.445703120865808,1.2674663566005346,0.7982229023356954,0.7389212419671395,1.118200407813281,1.5266970353091485,1.1408536698211948,1.3394477936692177,1.0805441180141047,0.9000053201958317,0.7091086197515563,1.1372866642196748,0.6099264632540892,0.5367509905811024,0.0,0.39320652135891804,0.5346746938247608,1.3618656616767033,0.836499566828179,0.885728811611173,1.2102806453199062,0.8481126689585475,1.4542401491005088,1.4529760780230028,1.314758171397142,0.6648792257233422,0.9860348991681854,1.4650110891409576,1.556852696619689,1.1242018736193664,1.444545152348863,1.0933177588260121,0.7798394170668768,1.2682260027836665,0.6530940338926041,1.4473043239619081,1.4129535984793355,1.3633994689583422,0.9898747461813627,1.0614516910398109,1.011554213610598,1.3280234706059943
r_normal_flip_v,0.9321628236654541,1.2552302028186355,0.8919875795262548,0.8715339046221858,1.1898690807716579,1.0701611149947303,0.8246710559172271,1.3047228534520732,0.9600360224500551,0.6829525046768142,0.8953505883336943,0.8746476667065984,0.6194462294143654,0.5650918670991713,0.39320652135891804,0.0,0.6907664667895322,1.0753252888483626,1.017934051874817,0.6619613388942843,0.8977695220324142,0.6652802876964188,0.8025903686455242,1.1423755010133507,0.7679573931350975,1.4282075766169364,0.8861166412236339,0.7729441724453923,1.1369357450231006,0.9794968895632541,0.9687433831757823,0.6989181570900231,1.2136654872548494,1.3468489313449945,1.0827411942858831,1.3220201048682212,0.9635831167343967,0.9408214812062117,1.4475690158236951,1.2194750123141307,1.3153024013893984,1.4109704752612937
r_normal_rot90,1.382237247742173,1.0583272961019454,0.8252555956370943,0.7581596535190916,1.0553886540213486,0.8780394112382056,0.9214268525718531,0.9954154135634422,1.0652440348780035,1.154682879878935,1.3606771304936767,0.8075403478521338,0.6805992937538415,0.8452362174943158,0.5346746938247608,0.6907664667895322,0.0,0.8804352886941903,1.2191971413618958,0.8675527991191961,0.8929104736952193,0.9197844456951811,1.2812032546708976,1.0300114095865613,1.399061092375333,1.0829796077099814,1.2286483746685837,1.3147402758977305,1.2037112314373135,1.020375127135881,1.2468177020223814,1.1449600876029458,0.8056771356911165,1.2568804462322758,1.4852886595461305,1.102397010797789,0.8496507557203979,1.242455177485367,0.8917357098040742,1.421501088956146,1.474966833901445,1.0094802883486567
a_normal,0.8605004525980152,0.6956165110718738,1.409971558843777,1.3911499744105822,1.1839734213414175,1.306431119757292,0.9522501615710164,0.6298422818245758,0.8454399046912353,1.3254680518269306,0.9782900842566923,0.8160848088041796,0.8268550707697677,1.2718346740817712,1.3618656616767033,1.0753252888483626,0.8804352886941903,0.0,0.5399628883511789,0.5916760322501576,0.4394178346945708,0.43976759675791777,0.7645837668681208,0.8632547863934026,0.7746654881543966,0.7845353170126148,1.1434467116262947,1.1835495827400175,1.5074852363346871,0.6888394512420172,1.4734757367926117,1.1576098562499164,1.3403762050322552,1.0176356646687912,1.2649761921079685,1.0176979542484947,1.1917696367602917,1.5106173980062574,0.927712522692122,1.45212723542671,0.9730687647428301,1.319137313122036
a_large,0.719873327070092,0.5900083791867841,1.5620991246857736,1.1360311277696236,0.86625941793793,0.8556999746609397,1.4333562884876414,0.9662905929792072,0.757653104733503,0.9210160166420177,0.6217635019522406,1.446766159457813,1.1982878707142246,1.3876612921136489,0.836499566828179,1.017934051874817,1.2191971413618958,0.5399628883511789,0.0,0.5513883458626473,0.5809527715709282,0.5348037355809823,0.7554944158804481,1.3108602401169582,0.750864753321061,1.0116627004675174,0.6579444251134466,0.8745593273292848,0.9839921489095999,1.2522624637936413,1.3385873265250552,1.2195510109337449,1.1094741837488433,1.26380204552474,1.505221800814187,1.2708413248021388,1.2819993936370866,1.3992168443777402,1.2178516018821104,0.9411211504899482,1.094519922408827,1.4912634510270313
a_normal_flip_h,1.3495861176163129,0.9236711047457344,1.2355670867783963,1.5202852645490998,1.4517928663631121,0.9724806278740029,1.2357426310820583,1.641986322357951,0.6150813011901972,1.3647286770280618,1.273538629866201,1.558570295229644,0.972051778213668,0.7098795759647718,0.885728811611173,0.6619613388942843,0.8675527991191961,0.5916760322501576,0.5513883458626473,0.0,0.5854101742656971,0.37149114483121976,1.2578302271769695,1.378125893231055,0.5646634376721985,0.6816617855556005,0.663445493719931,1.1519508438081256,1.1945222292640327,1.3461468278434126,1.395354766138428,1.450384066829883,0.9628291979724402,1.6007476416083217,1.2143821838346507,0.6439276710529441,1.1671342512757363,1.3875074618200047,1.4501129783670825,1.373370373103012,0.9894323864131813,1.5551501616085908
a_normal_flip_v,0.9127184003510558,0.9365622501373433,1.3874191143505683,1.470040635789643,1.2141964947195127,1.44627909222314,1.0495034552262643,0.9382955297260425,1.39538248460795,1.4482523417582147,1.0304290426442135,1.327040692391272,1.231091395671056,1.265495403475563,1.2102806453199062,0.8977695220324142,0.8929104736952193,0.4394178346945708,0.5809527715709282,0.5854101742656971,0.0,0.4330807799980883,0.744863021748065,0.6023758941000504,0.6667364770241372,0.8937194023718229,1.357339660379426,1.0648774513840715,1.1353093014867133,1.211373055603236,1.072865705147735,1.2033140925136507,1.4703021267998644,1.005109098259597,1.4540487403672187,1.3227708701032004,1.3848583522624351,1.012470380217876,1.361500841467104,0.8736997987788898,1.1539523436765746,1.1209750206063689
