,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.21593161540416891,0.7193177802418641,0.43229938774449417,0.40293436201408894,0.3573473503556201,0.3485366102820153,0.4645744913118834,0.44413724485429146,0.4027948329867882,0.464953247077368,0.4671492168970035,1.004596021842624,1.5489546468198465,0.9067879569706694,1.4270552940456858,1.4761459280092184,0.7484839860337678,1.0833070669181744,1.1014038942798412,0.9197138710379924,1.19410800856268,1.4501720610066882,0.9159071490298363,1.0356509335475619,0.7353415028927611,1.401072231573316,1.0337989266362924,1.2683161619113985,1.226087204201579,1.053449946800273,1.4613758592856012,1.0236369976735258,0.7519796679913837,0.6733084480174135,0.5099429948824912,0.6964769970478746,1.212552055772351,1.0721482905870638,1.5077250062890675,1.4366297005808464,1.305705010210936
b_large,0.21593161540416891,0.0,0.5319984899113718,0.4535385138701164,0.27740554000167816,0.3252875890589445,0.5457621678201623,0.4482019164317619,0.4250517923773154,0.3306449446034554,0.36226501676203177,0.3717557293123439,0.8773217897497387,1.3534344352405288,1.1466565365344994,1.0037640707323432,1.2875244634952174,0.6609916944063579,0.9100005931963895,0.9954375697704442,0.9785993323160292,1.0454523347412201,1.3500288317545925,1.0282258781160742,1.1024044321952164,0.7311028500619577,1.0812915548537632,1.5046636466210188,1.0873279384484649,1.0558746239874202,0.6404657736455351,1.2986968147332916,0.8894491738225196,0.6494603361944392,0.627840822625638,0.40615639502251444,0.7870941913477596,1.6379635701327449,1.2700226459091084,1.3356530081236384,1.4089061301983647,1.5869131388451128
b_normal_rot90,0.7193177802418641,0.5319984899113718,0.0,0.46800800517088587,0.3569602042291614,0.34580036066087216,0.46335115783843456,0.47827466114337985,0.3400287723218888,0.40208325772929404,0.40583411818504533,0.22676877396352388,1.1132833818356167,1.201397197645185,1.0196962701452579,1.2592570613690541,1.1557559105595936,1.0439796071676088,0.8755889432232233,0.965444740387194,0.743267210221618,0.8960191084822339,1.2667898005818463,0.6679314048426751,0.6758680830515402,0.5909052870173369,1.085165140467481,1.1706909359813522,1.6249979255823797,1.2134899918368784,1.4152934914285809,1.4354235555355193,0.94645275931596,1.3927798132486242,1.3315378798657118,1.111912972713,0.9542072771672137,1.4751282457033779,1.5741903335548448,1.4126684861851224,1.25534496168928,1.4014601456589162
d_normal,0.43229938774449417,0.4535385138701164,0.46800800517088587,0.0,0.33083213990980415,0.4158593839708598,0.299033663761298,0.5000769490546266,0.6209167415726043,0.25806769425959036,0.4076226738925237,0.3787716796990052,0.9286000194969831,1.0385906747198852,0.6618585337556163,1.436229903033192,1.2606536946395812,0.8340639174218109,0.8250006911948135,1.04811912595553,0.7495665375187075,0.927154874915769,1.5293933106705537,1.0478843500636739,0.633145650401248,0.6649429117141479,0.909663055872761,0.9408624174834308,0.9917006726520557,0.9882013957331677,1.1038776523023255,1.6312733794397707,1.1455096760629342,0.820598486394709,0.7485372148966026,0.9892291282903969,0.608136187685715,1.3966524683744819,1.3486814881700007,1.6409425229589107,1.353679471383348,1.3407201763297956
d_large,0.40293436201408894,0.27740554000167816,0.3569602042291614,0.33083213990980415,0.0,0.5076677137955132,0.2954454438203652,0.28845303359793173,0.2593082985105814,0.2585592453707521,0.24791381567638757,0.34720136342089375,1.5680120150454697,1.4195465822624669,1.2766953682318223,1.1454042779745177,1.2602151284173697,0.7186369968660331,1.1152856937462845,0.9585817433507752,1.1228461079600467,1.25207639762206,1.1595752347878945,0.7199323046684446,1.043261715550057,1.3022288265797621,1.4096465141893915,1.2376865349554829,1.4889874266445193,1.4163996996998964,1.4707853220852336,1.5909255776251594,0.5192675654606973,0.5926747790708216,0.5494932957389079,0.8307346517418789,0.9046969087495296,1.6338880866207444,1.2151670731228328,1.079346446875127,1.012435979624793,1.104181910710895
d_normal_rot90,0.3573473503556201,0.3252875890589445,0.34580036066087216,0.4158593839708598,0.5076677137955132,0.0,0.5096996017155686,0.8966055020666354,0.31905990503160747,0.2824099920782114,0.27489572062139017,0.2939729926148342,1.3515907038682247,1.4836496998315538,0.5728553637813643,0.9855860085302208,0.73173685571366,0.7418610724639694,0.9624097444892862,1.1484983061465885,0.9985271280353548,1.1272436926824088,0.9679899231477765,0.7542257848709621,0.5075413300445828,0.6675651045111904,1.128209327638972,0.4420579953705735,1.5635652181899864,1.6052440821375786,1.2548390608190865,1.5583575331476915,1.0731585345291619,1.0218383525108001,0.8081928402704172,1.1126970833869434,0.7296361315986664,1.2773573798674536,1.5079325020435896,1.3407722771090855,1.3173262837897095,1.3477658011881906
q_normal,0.3485366102820153,0.5457621678201623,0.46335115783843456,0.299033663761298,0.2954454438203652,0.5096996017155686,0.0,0.2733408856205973,0.41250417792970506,0.2756656042142589,0.35617878664232855,0.3498677108680427,0.6033056547357882,0.7972064459931676,1.0434719827521457,1.1818290757521983,0.9806738736221052,1.2234594272862886,1.056474502346757,0.5661200004256403,1.0103563695951858,1.0279361255260475,1.3851562513122722,0.6964461308019195,0.9188533656407533,1.1683371617369525,1.4308120439600178,1.312807557436238,1.6502524547556727,1.5369747997896837,1.1535544849297281,1.214281332956036,0.714550189995234,0.7374641864270147,0.9415834962191983,0.7196096603233142,1.0056168170808109,1.4231656343798245,1.0237629944734448,1.5752465362963273,1.5747705211985958,1.2513635972494301
q_large,0.4645744913118834,0.4482019164317619,0.47827466114337985,0.5000769490546266,0.28845303359793173,0.8966055020666354,0.2733408856205973,0.0,0.504697868986666,0.33512949120086216,0.28705634338949676,0.31397800119013486,0.7103431136413175,0.8290620349079394,1.1647565152948056,1.1996091520735805,1.045041003051389,0.8367203135291824,0.664936972916911,0.6010871293994995,0.9443972714653407,0.6620441076426393,1.0525665646017512,0.8186170353061537,1.0752573453899947,1.1768942407309697,1.30488625649321,1.1162462774962285,1.3848990444966647,1.0809933881181166,1.6662405078821538,1.5962444157857032,0.8948661593310805,0.708858672806128,0.9126190047277795,0.8977220112887482,1.0660787110147163,1.6311189996019548,0.8589783136553123,0.7453137591677478,1.4758440309355612,1.1844315252140656
q_normal_rot90,0.44413724485429146,0.4250517923773154,0.3400287723218888,0.6209167415726043,0.2593082985105814,0.31905990503160747,0.41250417792970506,0.504697868986666,0.0,0.4180637744773381,0.39936378802166267,0.41618525044627575,0.5768348116277863,0.9753631059113573,1.2336059018878858,0.7929087758074893,0.8843973036178866,1.0365786588212733,0.8800634896934176,0.8273600543528945,1.4390965768106165,0.829050922195828,0.7611331882447185,0.5247769296910918,0.8408904037778727,0.7822410955185441,1.033267049141659,1.3791546529582805,1.6193089316084253,1.2364678373416373,0.6238568531593159,1.2219359743600364,1.3258242691995246,0.6981681404254894,0.7612300173423884,1.294449201059947,1.1320067154153362,1.444168675780176,1.3375374836906229,1.33010716043844,1.5143314308487184,1.4904153004746992
p_normal,0.4027948329867882,0.3306449446034554,0.40208325772929404,0.25806769425959036,0.2585592453707521,0.2824099920782114,0.2756656042142589,0.33512949120086216,0.4180637744773381,0.0,0.26467779977503003,0.3463031260550434,0.9692032402727718,1.0772761382633096,1.5355894955066358,1.41806389104535,1.5208151733095594,0.6225060953860956,0.9792636655232018,0.8558696265317056,1.1843259152433032,1.165609152578749,1.2212082946039624,0.6606696265503866,1.4061445155717482,1.4419724597637769,1.568458029806301,1.253821534667542,1.6534594613394085,1.0865573006143436,1.240239642402729,1.5700862307068717,0.9086300808058188,0.8806390765507024,1.0856178467226048,0.906419276701119,0.6437133329937059,1.4203511324928249,0.907635195897397,0.9341964617430587,1.4784658676682376,1.1553556641848217
p_large,0.464953247077368,0.36226501676203177,0.40583411818504533,0.4076226738925237,0.24791381567638757,0.27489572062139017,0.35617878664232855,0.28705634338949676,0.39936378802166267,0.26467779977503003,0.0,0.38460672846871,1.240176566833108,1.281267152081372,0.8561958742937167,1.0710722905991141,0.9849276037351915,0.7072886243194265,1.1414381627052637,1.3490161737345936,0.43074935472385767,1.289974133581831,0.9940415459606837,0.7456767688106452,1.594995312966139,0.7659756857757418,1.2003463612945837,0.447203638218909,1.4538467383085099,1.2466437988154215,1.4317818650269505,1.5624831968948216,0.7993131782065136,1.0045738082148585,0.8632499626283898,1.2336863623544152,0.6833034975389372,1.1882141166006122,1.5299413965019726,0.765349980295761,1.223036184916532,1.0119326629807137
