,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.41574834408403905,1.4154445738682553,1.258890555697235,0.5451793018207933,0.8099961938457614,0.35617156326067684,0.570599720193977,1.4837731104651957,0.8954840969061277,0.5859323904358306,1.4129751887440742,0.7247328548412876,0.61825185890601,0.7534431252113343,1.0667805329510665,1.1471297881166032,1.496410749792393,1.6827786472284096,1.3102974673867256,0.9700875718367441,1.1574270647073925,1.5835198949708125,1.725068618577063,1.5698792807517008,1.1028904809338371,1.013963125607827,0.3291622955567998,1.7001689048546558,1.5946845292485685,1.3635189760388498,1.3617901004166522,0.5912974085745679,0.786528163505253,1.0945052228961538,1.0842817402709273,1.413665059914194,0.9300383232876324,0.813759535265749,1.3825662330630186,1.1751149342752696,0.8700612063714728
b_large,0.41574834408403905,0.0,1.1602615849248512,0.7118930812527814,0.42626591765082744,1.0938278401726536,0.6776011297895387,0.4721711043136304,1.546096584482552,0.6150028857090148,0.35932000223524924,1.1523991689380282,0.6613246447067579,0.8450760282037931,0.7734460921098995,1.2873544514735258,1.253408593797133,0.7190036315611396,0.3673647026524775,0.8975924634869301,0.9654817438792666,1.2410230357439378,0.771342946808585,0.6911802890355123,1.1762884549303874,0.615041958939042,0.8948321892711562,0.649673258380825,0.7940967585675948,1.388629505568158,1.4864539721133492,1.092720141607852,0.6161226461723065,0.4458244619021789,1.3914005542358874,1.532335297014304,1.1066738565205816,0.7044244621776059,1.1940236529174906,1.4099229725448263,1.2008288512227265,0.5506040300640198
b_normal_rot90,1.4154445738682553,1.1602615849248512,0.0,0.761389302204057,0.8039606639136851,0.9556358861003963,1.238582674412926,1.0381269807322029,0.3366435595312301,1.2919262529972086,1.3610365727088514,0.30005166408417794,1.1848104741102818,0.8574740043505136,1.250375124209588,0.7859850974307729,0.40807870313160954,1.1987322518790144,1.0627412526064768,0.34198407411796916,1.3126858574339615,0.6465949003146221,0.8398446237452887,1.0059635661363049,0.417860346567361,1.3886412512623543,0.503201697502222,0.8963263237442194,1.0593379095266735,0.8159627524951774,1.5299106288457656,0.5485570335598585,1.3253821724017734,1.3653232149051782,0.6417528821277438,0.8675889424730248,0.3089390824477059,0.7673457280050788,0.735725473103602,0.6084632521309258,0.9853051153397681,0.29746654276085427
d_normal,1.258890555697235,0.7118930812527814,0.761389302204057,0.0,0.44972580523213823,1.4451844418891056,0.6123449252453678,0.5469299430976522,1.3967274992805556,0.5801785426128947,0.6870919537704148,1.1901433107329942,0.5212583694417364,0.8596071835506565,0.8870177294831458,1.3428276117485325,0.8755675864684926,0.4772692176792439,0.6817819240070605,0.7266023126042433,1.6124093158473929,0.9117298845350197,0.5657808613575862,0.9214589416867518,1.258785295769392,1.0438006943668647,0.7452276221100281,0.6696285547960084,0.9266737735952769,0.7521686043178746,0.8151269784376682,0.9655629582732113,0.28128935908297203,0.3407817686660217,1.0568996971461104,0.38854310277127224,1.4322380116007518,0.5504999782774854,1.10401983335671,1.2486531112850328,1.1064516116323133,1.604790623635205
d_large,0.5451793018207933,0.42626591765082744,0.8039606639136851,0.44972580523213823,0.0,0.9945828086483048,0.43184022526468213,0.6414077723821946,1.261865370825153,0.6962595601422192,0.46994049063194043,0.9922254460652967,0.40312097504131317,0.5352956423669727,1.3685957971216591,1.214738273712863,0.8705129971914525,0.5596290280516649,0.7106652837411591,1.49454779971612,1.4972242328139276,0.6791687031440327,1.5893930844047304,0.4566356746158471,1.233857337506419,1.3127639630493977,1.2572231884040002,0.4566284730282351,0.603481497702977,1.3140860931317528,1.3763530918436588,1.516564568632991,0.7168270006033637,1.429551009323812,0.939668668130798,1.527222148821365,0.6434767168455797,0.32363065776496286,0.9603482749377219,1.3207155218133826,1.1866912388421245,1.7002623177346166
d_normal_rot90,0.8099961938457614,1.0938278401726536,0.9556358861003963,1.4451844418891056,0.9945828086483048,0.0,1.5506320504495674,1.1730899403894952,0.2744693039972492,0.76689714920678,1.146627790966886,0.46951774490498116,1.0715798272203942,0.7444080343367152,0.8825658192574042,0.8322935453299787,0.4469641547815524,1.6078431292440163,1.3684885184222144,1.4377948745921025,0.8636679228810665,0.33505266766948305,1.431493555915866,1.1909208082398024,0.9965378697304929,1.0502649076813755,0.3409684080306099,1.02416486550956,1.1947518478989405,1.0290381237169879,1.1078046369138783,1.4827453422597627,1.184977264448226,0.6574183388556261,0.8729999015480638,1.55694389026289,0.31163211629870946,1.0753377679201153,1.016121014417673,0.9380265133360826,0.9582227679463444,0.7547359713877004
q_normal,0.35617156326067684,0.6776011297895387,1.238582674412926,0.6123449252453678,0.43184022526468213,1.5506320504495674,0.0,0.904725371215683,1.0471929029084122,0.6237969850513333,0.5119898128448576,0.6644473565430327,0.3765570630954712,0.4995304606648658,1.2098448262395314,1.1706108528156933,1.2695585729630008,0.3925164965113205,1.134925122047632,1.2378728736571167,1.3389682939272403,1.0725097586552996,0.5296779266212848,0.3832268771957601,1.1038969823908882,1.1073144718700463,1.1415966368395218,0.3456823003694629,1.257223188404,1.1060170874889226,1.0430710081141015,0.8059337378821216,0.38605756509458694,0.5434979630917036,1.4464749756327029,1.5442901279119103,1.0701852580984899,0.48751925632865545,0.8608482740982648,1.2831117269622472,0.9487025667097322,0.9571410701737515
q_large,0.570599720193977,0.4721711043136304,1.0381269807322029,0.5469299430976522,0.6414077723821946,1.1730899403894952,0.904725371215683,0.0,1.2532230245798095,1.1887798981415854,0.6782149843745828,1.4277723148600916,0.4941920260757394,0.33620375130185176,1.3031314929302875,0.8872064300821491,1.4730421369329,0.3488489965973244,1.2336049581599775,0.8456532259288427,0.9885004745449387,1.6842487729098463,0.34159513561158084,0.5213718626024327,1.0685628294913811,1.4024827931780408,0.9548253410671678,0.6670613911209092,0.957842349214095,1.3705745639697111,1.2148616646896016,0.889113858305542,0.4038118835689759,0.6607548181165911,1.3960366932188033,1.00285956788714,1.1755300237500403,0.6135258232219423,0.4322129845271197,1.0742997886801904,1.0894861110333962,1.2990116244215564
q_normal_rot90,1.4837731104651957,1.546096584482552,0.3366435595312301,1.3967274992805556,1.261865370825153,0.2744693039972492,1.0471929029084122,1.2532230245798095,0.0,0.7800182798924379,1.0268571560091424,0.3372307622239892,0.7687759828772539,1.3069042253159477,0.6346905995008454,1.0751433644923052,0.3063349660727295,1.013404969216309,1.6452624268948575,0.5876608578631087,1.0828893173291725,0.5001462616617067,1.0751844259371715,1.1876537499988262,0.828033400931607,0.7862436955020546,0.6874416713850693,0.7796632735843433,1.6325985091301034,0.7436844077291062,0.8002365131300015,0.7119778437465915,1.522464779162672,1.1096906898788395,0.8097738079886424,1.071555124772755,0.5026765743148411,1.1530527109706943,1.1678545461955088,0.8551717162655872,0.7409692171961942,0.47519981208596773
p_normal,0.8954840969061277,0.6150028857090148,1.2919262529972086,0.5801785426128947,0.6962595601422192,0.76689714920678,0.6237969850513333,1.1887798981415854,0.7800182798924379,0.0,0.3911095977556172,1.1837668299689375,0.6245899645781872,1.0468305390592836,1.1953286803322762,1.7674175399646643,1.5672424748742118,0.7293391349028784,0.7359082424709552,1.7454636709298224,1.3525212239140636,0.8753117962879,0.6009791612655652,0.648932587792675,0.3976359595882581,0.9524222406086218,0.8195799743347324,0.34090215151405373,1.0369873755220274,1.0837659770855195,1.1703570099645417,1.2145748303545947,1.0232921986559609,0.33670852524805595,1.1839036212485614,0.6595400215804468,1.1616920488040212,0.5445787951234515,1.1081152207212246,1.7359785937764172,1.037061370901764,1.6141690399853617
