,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.28189564754949575,0.2717434440727388,0.887391651136299,1.1383600429904608,1.083632527099904,0.8943855117220402,0.6409756712794894,0.35883844411785937,0.946072456830805,0.9635584798230191,1.2102495392390962,1.0799246868619043,1.0943241541988413,0.9577110721522611,0.8684410634071358,0.8774158657052785,1.2361248244177445,1.1578958044812768,1.069605806897064,1.1230098954130245,1.296133965103549,1.0334590828259342,0.9135293900350474,1.1207944103344807,0.9546993607317471,0.9487937883635964,1.098173341895046,0.9224553265680527,0.7066116844492423,1.016885633630988,1.071386931065972,1.0728619559113706,0.7824528621883627,1.056704689164578,0.8104294304528136,1.1818914190910212,1.1303229925989815,0.7963189558383775,1.0718871813288038,0.9673109322432198,0.8110484378047584
b_large,0.28189564754949575,0.0,0.35107075714403996,1.0119061108832015,1.071032588627537,0.8858852208589023,0.5999474278396338,0.47736176251169743,0.27458693871123885,0.7036351323120112,1.0398311282570705,1.2402277839672753,0.9151186424378741,1.0735171956713627,1.341994504902778,0.8753117962879,0.7560883142531222,1.071551411106177,1.037753596028797,0.9601814684128571,0.9337585668057512,1.2216503499747633,0.9843355848344315,0.8682770596877603,1.0119967559248972,1.0169868921716168,0.9498639485495227,0.8124489951178638,1.180515253436764,1.3514095738891447,1.2303559057344646,0.9979544167340165,0.9256042346191735,1.0547113425611079,1.154318937339566,0.8967745439367234,1.3789957169456235,0.8501759167978368,0.8141003768307056,1.09673730252954,0.9120944675523567,0.8871031515555734
b_normal_rot90,0.2717434440727388,0.35107075714403996,0.0,0.6556839192418887,1.4611837242282877,1.1282029080369103,0.7290149577854601,0.747675524346752,0.3610280818618735,1.102127112750718,0.5909777254815954,0.9376799191788121,0.9401536067100256,1.2912552856528416,1.4740436153759109,1.3494101997346262,0.8699770879055112,1.0200559797669009,0.9826757862952631,1.0852985907445194,0.935571366339382,0.9179849542867766,0.969066591538987,1.1100175305601054,1.0183170074584762,0.907944728981053,0.8991865874437229,0.920994571734947,0.9086312502064725,0.7331587621982201,0.6612141577351632,1.3492549627959753,1.0326679689237326,1.075813478072155,1.0095874858279852,0.9521619898779446,1.1957085901372635,0.9845312041252601,1.0626265639516994,1.3320828715780766,0.8736524329520174,0.9792798792239785
d_normal,0.887391651136299,1.0119061108832015,0.6556839192418887,0.0,0.26954377030659893,0.3119353372660218,1.1183850559212074,1.0476943205822709,1.1001313255669327,0.643071525370254,0.3751397310129071,0.28092033440283776,1.207608039522874,0.8173241229615008,1.017500454928957,1.14826995078861,1.537866114212937,1.1363939783190538,0.8768420758412938,0.7942711118292183,0.7840301755558682,1.0902178910638896,0.6202803564495312,0.903905689381943,0.9097805357511852,1.008186977148138,0.9291458128335003,1.4317574041092849,0.8111696275664595,0.8569263859552088,1.4343802984670992,0.8622538506577636,0.9836684592744704,1.1322521354975947,1.0696494888458048,1.0178215908048398,0.8876596223356742,1.1924772885361814,1.3706782314074826,1.2255853348871852,1.073885939521011,0.9951224219429919
d_large,1.1383600429904608,1.071032588627537,1.4611837242282877,0.26954377030659893,0.0,0.3334998342313666,0.8291831910854335,1.2549003468133226,1.118059399103534,0.5549811456595176,0.6928556197990994,0.29187935548237337,1.3509247035255487,1.4882870358710663,1.017884494209592,0.7640073377119955,0.686648905457611,1.0172620026854167,1.0469955146720151,0.7830618004083982,0.7553653145444111,1.1109303949880964,1.485919644813775,0.8539047318696347,1.105221027778101,1.4405675647996559,1.2647173470149786,1.1978417052527264,0.9073261776301592,1.022452369745609,0.9237006783315925,1.1017033694117195,0.8319068843795598,0.975787306357842,0.7725505986094904,0.6590361414133841,0.6749672131831181,1.4431744472383154,1.0016680333580874,0.9198395044806215,1.4272623845706245,1.3268193666825119
d_normal_rot90,1.083632527099904,0.8858852208589023,1.1282029080369103,0.3119353372660218,0.3334998342313666,0.0,0.5581980971609635,0.6567200633677398,0.8726684618788094,0.5974781110566054,0.9771852567221847,0.32702434373759937,1.3611047419873048,1.4533548924225475,1.2832011747811496,1.35088981166501,1.535674276612683,1.145184852868511,0.9481011708848505,0.7769558811478469,1.3500720851354229,0.7424794598052157,0.8741356970409686,1.0565286238428384,1.0650668157091625,0.9508057923908595,1.137089940951257,1.215291141434246,1.0102108915534815,0.8223066853229837,0.8105333266475776,1.17842955322678,0.8808660856308245,0.9784913968522299,1.2337224119420305,1.2840551934902678,0.847193080478917,0.9425359863507705,1.5541616635411606,1.2015278412222077,1.1392629876881761,1.3460713100459611
q_normal,0.8943855117220402,0.5999474278396338,0.7290149577854601,1.1183850559212074,0.8291831910854335,0.5581980971609635,0.0,0.24290978948926956,0.891024431178101,0.8984934875242632,0.583771440777222,0.5552935540369894,0.7313637601134431,1.1133922425543217,1.0872740287746745,1.2203274552656724,0.9554488067575159,0.9119312775941285,1.049099337541635,1.229805899722436,0.8975060899082368,1.3153834951456114,0.7985194533249093,0.7374313161242515,0.8671237195058338,0.6791358335958927,0.8241585451980198,0.876908275859734,1.19723937345118,1.5797961756838375,1.4117991558303058,1.0153291164719573,0.7930310584320299,1.3234584853983618,0.8140533768180669,0.5753808586759142,0.9729570983404334,0.9232971370474033,0.852520289451924,0.8591034922274268,1.0622108951382396,0.8130582042440528
q_large,0.6409756712794894,0.47736176251169743,0.747675524346752,1.0476943205822709,1.2549003468133226,0.6567200633677398,0.24290978948926956,0.0,0.5839017032569068,0.9228176253111451,0.9401071891563105,0.8989332514330621,0.9137334370031374,0.6363047555630843,1.0497966281847884,0.8287041954168828,0.5707549766523105,1.1311181257981568,0.9436430573532536,0.8494750874669597,0.9075108266624529,1.0679699213134832,0.752592505337432,0.7027667673790174,0.8517934050036285,0.7074691009818288,0.8569714115721225,1.1023252393288696,0.9206069666709789,1.0012054043685823,0.6632601004107781,0.7115910743375876,1.0604091966077664,1.2217509178963752,0.9600319057953106,0.928291040347834,0.9229786419250323,0.997743763429607,1.0074854225690593,0.9905164443036052,1.2230101523365706,1.5065828566128963
q_normal_rot90,0.35883844411785937,0.27458693871123885,0.3610280818618735,1.1001313255669327,1.118059399103534,0.8726684618788094,0.891024431178101,0.5839017032569068,0.0,0.8576073848664999,0.9104076580429564,1.1015345818985145,1.3299634574547512,1.5229350426572827,1.4031242770401833,1.3064737520215641,0.9926982061676477,1.2795711673866883,1.214202126331944,1.1863100412566845,0.9188454625809597,1.0127790196061022,0.9235357375224512,1.009256463930074,0.8040377306981727,0.8721508109636685,0.7667498514561593,1.2753976642973006,1.2301060960414882,0.8267679343018194,1.164131637292591,1.3139337922506396,0.8081106432349096,0.8929461353371857,1.0393338482723853,0.7900555844688629,1.0359011305212684,1.1067137067830262,1.066419232857588,0.8280035173052486,0.7921308055453239,0.972074637295351
p_normal,0.946072456830805,0.7036351323120112,1.102127112750718,0.643071525370254,0.5549811456595176,0.5974781110566054,0.8984934875242632,0.9228176253111451,0.8576073848664999,0.0,0.3055861984639309,1.2282498064070835,0.9563599269246157,1.0407402982293432,0.9232750537050668,0.8657352186135981,1.3284742030447592,0.9519385541156086,1.2228443745347417,0.7484328937666426,1.330982431777839,0.7844737340033181,1.238657529605897,0.9182404482078813,1.0638999318662519,1.1908954674524646,0.9470768924186025,1.0793897633658607,1.0218786299867577,1.171302696831331,1.0119967559248972,0.9586254380411668,0.7240088578656074,1.2435510219764667,0.8521475712451251,0.8837239009725109,0.6646723546324184,1.0528589534232127,0.8905148978151446,1.1863506857138681,1.2881897058677936,1.086010889333844
