,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3856895275326485,0.7566142812535093,0.3394260605496636,0.6192023190303932,0.4183867088395572,0.39443416212916826,0.6936837836179767,0.4092097004916444,0.3356222647212664,0.7128159481514007,0.5082202138541712,0.924533322864611,0.7551163143617617,0.8760507316155679,0.8634830523489151,0.9192788104203259,0.8883055575480918,0.7228768228160284,1.3059350390834956,0.9672751095782801,0.9674248787968718,1.3059693899703535,1.1741822096748358,0.981896223660117,1.0158491186183278,0.6527425403919748,1.0042714731801368,0.9514883242127476,0.9906535659564566,1.2433297200412745,1.2178164763568349,1.3491917256588755,0.8950525310479363,0.8431834536261155,1.0088312741625869,0.7032273710239103,1.070390084100895,1.2194323078849874,0.8044340056632648,0.7749984476868514,0.7747551632529724
b_large,0.3856895275326485,0.0,0.47624930117038555,0.4904377935828317,0.33996009921460335,0.5381721034332577,0.539235623152991,0.6133145222192198,0.42825443690625226,0.6347199162507806,0.5186483583557029,0.41763522390199737,0.9414442978948999,1.373283850504631,0.7187999931332222,1.1270629320428185,0.825565840795218,1.1063219070790706,0.832650574944892,1.2511108002190885,1.266658651440715,1.3756120525843267,1.032737059866753,1.018435180317335,0.8341019561008705,0.749603688951617,0.7515641714327523,1.1913911790687817,1.055753716709928,1.0834698456697707,1.2147815064912881,1.2039093457074648,1.2175474401100825,1.1073111536792068,1.4829921256390959,1.081761677232847,0.9561150560966327,0.8205051325320224,0.7886108859663166,0.9396545079920752,0.9406227159923753,1.0755857020338409
b_normal_rot90,0.7566142812535093,0.47624930117038555,0.0,0.4961204190544688,0.36800737814610784,0.3765349515719937,0.42176875081432497,0.6444839099860675,0.3834513640691231,0.5290513161724046,0.8227754465768502,0.47510174052488297,0.8984349470843954,1.1979256089206876,0.6026040690448236,1.284541093842515,0.9297818520078055,0.8477269830396232,1.096233883119674,1.1850165473332288,1.0147294172714383,1.0667258927854952,1.062710365545406,1.0776100824988883,0.7365712054305277,1.3668856669407918,1.0614989110245079,1.2405328608436839,0.9230681009650206,0.9917312970165357,1.0693916093097517,0.6095381335927763,1.2623665203450292,1.329375869242643,0.967310543300357,0.8590744168071078,0.8665188840694977,0.5910124886303828,0.8207532893602781,1.047344035390383,0.7455440191035925,0.6939998918192614
d_normal,0.3394260605496636,0.4904377935828317,0.4961204190544688,0.0,0.5017072362337205,0.4239132872285945,0.4455361115321296,0.5918810080308475,0.3870974155089063,0.4513305033035409,0.5579931414875517,0.35978390962874585,0.5858424566079916,0.7935835895314135,1.2005280003255585,0.72909747643737,0.60346538192774,0.6427195084988088,0.8864686429451353,1.3770654198866203,0.7188856824230075,0.8861413692535427,1.407216805098134,1.0690692816903058,1.0595125969307484,1.2253003138643335,1.1052620025370643,0.7717058876694114,0.6201472968413426,0.8605354240327528,0.9168290936450638,1.1476563506931199,0.9514286698326326,0.9465726851966796,1.1432374088272201,1.0199168458939878,0.8884326429291983,0.8426732707363707,1.03095346872274,1.0717217992397259,0.9884206467802045,0.8441957025263629
d_large,0.6192023190303932,0.33996009921460335,0.36800737814610784,0.5017072362337205,0.0,0.35071901768477265,0.45545871094935897,0.3967921875409356,0.503004548521991,0.46010884586069645,0.42224317609795814,0.5072411509649616,0.6716331777481533,1.1685061588094343,0.9752044536671386,1.2755015913881476,0.8389494520391099,0.7807107609298554,0.8556365048437756,1.2112319757335959,0.8117191840743451,1.1996396285703892,0.8970306581757501,0.8858125247293469,0.9279814027801473,1.215752590614402,1.1450171088251127,1.1919775332649054,0.76842814149449,0.8509759546967559,1.130579385793193,0.8160941946489385,1.190885789711792,0.8264592608806237,0.8799967835920568,0.9214197215189378,1.1750539939423486,0.7847249020986141,0.982546815156471,1.0008108856691513,0.9845649907202199,0.8161132067846233
d_normal_rot90,0.4183867088395572,0.5381721034332577,0.3765349515719937,0.4239132872285945,0.35071901768477265,0.0,0.4112071572831868,0.5216341237512092,0.40702074879624184,0.4979782752049978,0.4575582574919744,0.5838408185340006,1.0535323338280442,0.9735268670352656,0.7934159599848869,0.7843424873674367,0.7596420271829675,0.7822936149991363,1.1199152871744482,1.5262816539217423,0.7289078472053216,1.22283312501049,0.833987254751808,0.720590905358014,0.8032678372131229,0.9902931452891727,0.9114517863660634,1.0537193849841815,0.8285333572971213,0.9482258626598307,0.9895530616530466,0.6706405614389126,1.0867190440662022,1.0655355667250805,0.756098902611571,0.6909636033076798,0.8906989841370647,0.9044955588345952,1.1123505314731796,1.0417131667784736,1.060162560758117,0.9974409657935588
q_normal,0.39443416212916826,0.539235623152991,0.42176875081432497,0.4455361115321296,0.45545871094935897,0.4112071572831868,0.0,0.38370095713202523,0.5890491961398764,0.388741776271964,0.4202157170186174,0.4310532974008666,0.7040596727902675,0.8357288732077626,0.8121449812661528,0.7193833888841394,1.1054187685561652,1.3120798934584883,1.459912410410376,1.151116447998936,0.8865893468191489,1.247656604066171,1.0477929485975601,0.899375947567855,0.936990758111677,0.8493485159242269,0.8016428263882166,0.8516128169293549,0.6050976075458085,0.6142171153727622,0.8174673159730417,1.1478005724131009,1.3963235070246864,0.8055566865033279,0.8309862245404454,0.8558223498718966,1.1733071966462625,1.44984340571157,0.8959672338040603,0.8936620656473853,1.0583766619882888,0.9705829571826328
q_large,0.6936837836179767,0.6133145222192198,0.6444839099860675,0.5918810080308475,0.3967921875409356,0.5216341237512092,0.38370095713202523,0.0,0.608284000014406,0.5954571401106723,0.31480575597468163,0.4186292075723363,0.6333453532074369,0.891935107569156,0.7732231713942869,0.8437818300311382,1.1191287112365178,0.9791850508616671,1.0577609051771228,0.9411458527107701,1.099937107617869,1.2913981957548875,1.180525829632321,1.3186939802746254,0.9578623426719579,0.7954482471800987,0.8501750186525836,0.9494494240583304,0.750239200606455,0.9425728930613472,0.974628117362409,0.9760689552779355,0.4825450522187256,0.5497986362116293,1.2333379235942612,1.229504245812293,0.8136874074003749,0.8292524059851619,0.8704209207248256,0.8144898735353896,0.6571764580841339,0.8137180587155726
q_normal_rot90,0.4092097004916444,0.42825443690625226,0.3834513640691231,0.3870974155089063,0.503004548521991,0.40702074879624184,0.5890491961398764,0.608284000014406,0.0,0.3946528031983947,0.42025978871901676,0.3552871885860789,0.9585732705920176,0.7656677725281692,0.8089126878871233,0.8203701271349693,0.727730910662242,0.7475773323974572,1.1383769612072376,1.2103433575614653,0.8041670248796788,0.8392453545865541,1.192865655615146,1.0796563383671025,0.7737844211695686,0.9681680421245761,1.2734093883586548,0.9802542923454598,0.8812051621041896,0.9765656970581782,1.2161134404907152,1.2720452188583862,1.070148546970729,0.7976501985112173,1.4225473989188933,1.2307370202255905,0.6988404189573019,1.0659676536259322,0.8605184548054788,0.774463670944716,0.9579135849330529,1.1051416599636312
p_normal,0.3356222647212664,0.6347199162507806,0.5290513161724046,0.4513305033035409,0.46010884586069645,0.4979782752049978,0.388741776271964,0.5954571401106723,0.3946528031983947,0.0,0.38614730536262787,0.3743793731931733,0.8721031074080042,0.8979044831572349,0.9915150336815342,1.2164139835483696,0.8545879490866332,0.958064039524833,1.0886954186521678,0.9004653466214608,0.9836055642876879,1.0424300586749071,0.9412201882511195,1.0423171865605148,0.9762716353548015,1.0962401746183963,1.0600275405868493,0.8486167682396509,0.7422870687300569,0.6258059249475282,1.1599919444394247,1.2419638982563945,1.1907649933211297,0.7542035357837905,0.7168555064914867,0.832875913214179,0.7247493539724011,1.033335278511485,0.8626080983151174,0.9223110863253886,1.0663140870551142,0.8977985661331458
