,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3533399464951992,0.3059259935713697,0.39280908700645223,0.45810491327056463,0.4195410793236924,0.35967818231100324,0.406204228229638,0.3939133178981488,0.44773511643906566,1.3422280706961602,0.5374063638374955,0.7900110425380729,1.2041992131969406,0.5875318812403134,0.6829128950560854,0.6154155896531243,0.6576268532479836,0.7128395911953619,0.5612213965764824,0.874691584942521,0.7647451860408156,0.6871629847899294,0.8469927137919782,1.0174791192263732,0.9645744109971124,1.1544071459172511,0.9478846395996795,0.8145913137214619,0.8737886904124857,1.0070270066400413,0.9310002278510652,0.5919892280977956,1.2114631884621476,0.6105703262721232,0.9634440630481856,1.1843424546479222,0.9441484190086279,0.887205740061899,1.1723090901681013,0.9862920906598003,0.9345721499435231
b_large,0.3533399464951992,0.0,0.3671147308479041,0.5504299110514839,0.6505196045536552,0.530399250423403,0.5311977493824243,0.3609210125642746,0.44258986432323977,0.4913731469144988,0.3135122959461004,0.5387505557814217,0.6959073069704865,0.5814563282361022,0.8628662930098564,0.7391039812388827,0.6269728002775705,0.6548774511093994,0.748220291415913,0.43157829532796915,0.7510478206658793,1.0232864530325883,0.8242219932285892,0.9995377264765053,0.9401607468775376,0.6765921563812181,0.7162296672340807,0.8504226400463333,0.8082396061438479,1.0764377176963877,0.9349766250851977,0.7684487173591444,0.649002805734437,0.7189527123825944,0.717768611917894,1.159828075073038,0.6410140554206972,0.590297202495283,0.7033182551797988,0.9839559721891604,0.597144442987687,0.823778258934719
b_normal_rot90,0.3059259935713697,0.3671147308479041,0.0,0.43774562105542836,0.5871092247607532,0.3991790007854125,0.3469303391177249,0.33225875982814007,0.5047534089111966,0.48784596944248887,0.7656480752714601,0.44671518517772313,0.9028076650112915,0.5749561707379545,0.7424317949698388,0.7436747940898343,0.6463127943516408,0.7249730106553504,0.8675426625227335,1.1375521300886604,0.8260341889704782,0.8896030752481355,0.6582313476515324,0.9587803267733548,1.1148641543343252,0.8818996386247756,0.9297580349676284,0.5355922423566981,0.957408498985072,0.8539843192923693,0.7508469287953718,0.7166623336728836,0.46645258272576023,0.7540297596477142,0.5314590321402637,0.7494786456638707,1.0069572733646157,0.9230125994292232,0.7719953079897439,0.6711659103532481,0.9649687856287971,0.7639152502351134
d_normal,0.39280908700645223,0.5504299110514839,0.43774562105542836,0.0,0.30037216132486944,0.4402252184158398,0.41058006715154,0.587774947745086,0.5131603021603789,0.5603985691711095,0.48087124044366525,0.37990021321442746,0.8444642715650287,0.8495526020538275,0.9824274033400201,0.7705981304044605,1.0611097220901138,0.8014161297882428,1.0719453087149622,1.2598872073298213,1.19314043212159,1.1242131143863716,0.802856289755113,0.9044987161785344,0.9168144022886983,0.8275857311359687,1.10124937305671,0.6181699202564742,0.6568111970274122,0.5296034683826492,0.6324242156401759,0.7121002771044794,0.7517403840495704,0.584926685037611,0.7490211420887302,0.7116667386925856,0.6878483168983696,0.6784035692556102,0.7413103125514613,0.7453811285026285,0.8328901788528684,0.7100484614750115
d_large,0.45810491327056463,0.6505196045536552,0.5871092247607532,0.30037216132486944,0.0,0.4621827896382193,0.37193847257903556,0.36314590113232265,0.47363309784419344,0.4346817227701723,0.5093591717717773,0.4857750092110437,1.193843837723293,0.6196594269667016,0.618219688566634,0.972634631985515,0.6847261944422224,0.631406798389905,0.7052516333509041,0.5601107057625915,1.0850684141321276,0.8685118596649959,0.8067442881593906,1.0055189036174639,1.067483786327206,0.833760634609503,0.7803806419208055,0.7356886142930714,0.4641464136838048,0.6889120748060963,0.6299023004431606,0.6717001536074562,0.7476050804330433,0.6863558501270759,0.6501226819931558,0.6221670332534522,0.6818937828150715,1.5675555882797836,0.8313593705496842,1.3361755285593961,0.7537583726657189,0.8226673130441191
d_normal_rot90,0.4195410793236924,0.530399250423403,0.3991790007854125,0.4402252184158398,0.4621827896382193,0.0,0.3803141651382465,0.5550826354755292,0.7423024213456758,0.34742253175672894,0.4090684811705743,0.5728861406287631,0.7883543419111841,0.920867131256088,0.7562165804967459,0.8793877143245097,0.8263061907494066,1.113706485728006,0.8311266230861485,1.080479881192252,0.5638737911641688,1.5492343708718188,0.8118053688312701,0.8716183854823075,0.923470276413414,0.8168520702037457,0.810974396777449,0.5619052354725858,0.8253612420620483,1.0439702944417024,0.6378332884746588,0.605330646340022,1.121673367247789,0.785945806741191,0.7451914856425509,0.7277394098752102,1.1107393161453651,0.7276137935025155,1.1722993062786013,1.414977622739072,0.7931422900884185,0.5681497148960154
q_normal,0.35967818231100324,0.5311977493824243,0.3469303391177249,0.41058006715154,0.37193847257903556,0.3803141651382465,0.0,0.41744025825787934,0.4816064055262321,0.26510655896911195,0.48238954101984266,0.45291671780344145,0.882467618417417,0.6842706345797653,1.099091167071935,0.5905286849234552,0.5357157510632273,1.0345136738420102,0.7959610531711977,1.1932291921314608,0.8748303293917146,0.6304989893533522,0.5797820259666163,0.8424069918197581,1.3494272450801639,0.9292116642854236,0.9324822777418043,0.8339346623605607,0.8038781395555628,0.8470769305260253,0.5636513093219386,0.8620524357581887,0.5920635683130571,0.8441590362929965,0.9016139307467106,0.7280902083108587,0.6215507004621521,0.969472567592533,0.5653299609440157,0.6988266706420818,0.7994297396800362,0.6850679443026685
q_large,0.406204228229638,0.3609210125642746,0.33225875982814007,0.587774947745086,0.36314590113232265,0.5550826354755292,0.41744025825787934,0.0,0.5548360055500641,0.45858190374500835,0.3524011693500973,0.5202408505369748,0.9268862575457224,0.6707028466475429,0.7229959405127543,0.6643102368391418,0.599635636809856,1.3344455885833861,1.0407839381173216,0.6926438002094286,0.7423433095919952,0.765171861128201,0.7197020478163716,0.7567181158607611,1.1890305096605815,0.8781822785081561,0.872880645496013,0.6490959093386997,0.5842821423171447,0.7986336703500401,0.7088539036875878,0.4572362705259306,0.6622383531945618,1.343443267502488,0.7526478972062278,0.9086528570197807,1.0539275506546575,0.9565265455995895,0.7181461691545178,1.0079871454344984,0.7166875265662261,1.1356706584011156
q_normal_rot90,0.3939133178981488,0.44258986432323977,0.5047534089111966,0.5131603021603789,0.47363309784419344,0.7423024213456758,0.4816064055262321,0.5548360055500641,0.0,0.6275858807433008,0.603509831964429,0.360440200863208,1.1741937891797416,0.7353547809374552,0.7460698268814486,0.9001864349253925,0.7116322252926319,0.6538954529600924,0.7754117314763366,0.8886524389729535,1.1898507829933607,1.0964916161180847,0.5584911350183348,0.6336473460926175,0.7643272988286389,0.6446624242016192,0.857036026092277,0.5571929193185582,0.6116954628163778,0.9664347960342953,0.6139083208999873,0.7378709423297829,0.9806623321624653,0.9963157486091677,0.6859414570501109,0.7247444410770946,0.9550332681602262,0.8630422919037476,0.6803113530931802,0.7460578934933715,0.7893653358283739,1.0141117466138991
p_normal,0.44773511643906566,0.4913731469144988,0.48784596944248887,0.5603985691711095,0.4346817227701723,0.34742253175672894,0.26510655896911195,0.45858190374500835,0.6275858807433008,0.0,0.3900102501726474,0.4398420451165074,1.028987953205102,0.733867988266383,0.616238300663198,0.5635590745930609,0.42715873621985656,1.0156501109249265,0.5534950898786533,0.8806781669976276,0.7357268215845487,0.8638019894239182,0.5305362971063492,0.569013392919761,0.6900315151701663,0.6454902992980929,1.1163650544075923,0.9623011827991839,0.6631104108327475,0.5993107905796081,0.5300077878855515,0.7501052836428553,0.6818160484687669,0.9754989715642339,0.5379227144023574,0.6333143652535119,0.7966080182198133,0.5638711670278803,0.7651369971702691,0.943158433717701,0.6175617622254396,0.7438327356354721
