,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3521603673366235,0.5628120548958511,0.5980444653296668,0.6472561088296803,0.6071535999616813,0.53464871145887,0.628046793936823,0.5569347206553503,0.5436606132842888,0.616782873080839,0.6315120333163298,0.9146937384956103,1.0403843168136424,1.06071342541919,1.0124859307517644,1.014470167191302,0.938351499029156,0.9528875497172753,1.0126091410472955,1.0323241025687528,1.0168757079109914,1.0120012355183332,1.0230239638437038,1.0480314957298469,1.0123237477147737,1.0362612104827356,0.9820813302635045,0.9968952528799332,1.1155969498574025,1.0901656693268615,1.10365995785893,0.8934684845594254,0.8942559000565635,1.0029327428301196,0.9834415095087147,0.9870356008741106,0.9529562073550015,0.9853420219401898,1.1101945958228119,1.0944717062184472,1.0518953644590097
b_large,0.3521603673366235,0.0,0.532262394070981,0.5929565991992962,0.5761944379443081,0.6592492021654421,0.5943604178710578,0.5281400377760437,0.5530031518039986,0.5827583998748569,0.5727570030026539,0.6606772720440544,0.9721598972644294,0.9275455589277368,1.0146009465726582,1.012762559457362,1.0279569759149985,0.8865809536079474,0.8560741875343675,1.027909525340261,1.0565629996257093,1.079730180760529,1.0432413599710924,0.9653755465588425,1.0578855798503026,1.013227455651027,1.0012216910984266,1.0385827928215727,1.0338520015614485,1.1109734508884022,1.135950531682241,1.115857997500618,0.8721941092798905,0.8106314637936314,1.0757032061400325,1.0271814275422915,0.9775761877962312,1.0231527074578137,0.9703838335329465,1.1260237072481387,1.1538525642020954,1.0491339120677694
b_normal_rot90,0.5628120548958511,0.532262394070981,0.0,0.6286942631265133,0.6754558198984096,0.5403935853669033,0.5838976487711146,0.6534023158160288,0.4322660728662584,0.6378101115435642,0.7020613007230604,0.4482218429439825,1.0260163533166595,1.082752470799558,1.0367325879074945,1.0790485480550924,0.9126272537426985,1.0100746766655984,1.0322985984718445,1.000927073214791,1.058674558099708,0.8768925838627492,1.0448815462532373,1.0414854393394963,1.02429988864779,1.0200722448152666,0.9409516406935791,1.064946465380931,1.06736167329395,1.0743537485176726,1.129562969894055,0.9963281216215224,0.9384777586212381,0.9906248348898234,0.9347079874204187,0.9486485865822097,0.8204726917417862,1.0576891005247773,1.0492670955731511,1.0858158830796885,1.043121405505301,0.9603357773631617
d_normal,0.5980444653296668,0.5929565991992962,0.6286942631265133,0.0,0.3563317366264787,0.5196345110693896,0.5582808094396133,0.622582192723025,0.6059332646235513,0.5048158618390206,0.5864724495112428,0.5191912027918222,0.9558278794666434,0.9653081559174779,0.9865125686019497,1.086797370575034,1.0580524660175836,0.8856386461444257,0.9141486196612898,1.0085691901295422,1.0242957586154349,1.010283749127229,0.9993134778051471,1.0265414706056348,1.0123773817353436,1.0218210215204742,0.9948171021891861,1.0211079479391958,1.0447321758717252,1.0319473991847066,1.07990895430777,1.0709703164316269,0.9139729708307451,0.9429713102061744,0.9278647079651857,0.9586437800358334,1.0050325746037554,0.9750671362095845,1.0382513342726505,1.0049110434168256,1.09984582725827,1.0896530790529004
d_large,0.6472561088296803,0.5761944379443081,0.6754558198984096,0.3563317366264787,0.0,0.5533964210810385,0.6269722250152584,0.5510099304876438,0.684106572230178,0.5947657530925957,0.5619141264060249,0.5761509891168379,1.0656377846659209,0.9701230568556054,1.1044901725189684,1.0555397263147677,1.0572134813053482,0.9550825651596393,0.9082521805698531,1.0115724949176128,1.0463175324233325,1.0342085153364258,1.0335225775711043,0.8750759120516378,0.9776188996611574,1.092494924253929,1.0466483001762998,1.0224549623385402,1.0198910591396595,1.0855225427910833,1.1211019457362723,1.0935560335681815,0.9742410361940017,0.9682804243255505,0.9378270766336105,1.027918883491327,0.9692845307350919,1.0674342832472004,1.0189636992060818,1.0462559555067423,1.119492196192762,1.1074545967656722
d_normal_rot90,0.6071535999616813,0.6592492021654421,0.5403935853669033,0.5196345110693896,0.5533964210810385,0.0,0.6305413628442946,0.6716643952957434,0.5300521364800945,0.556557368519047,0.5554470742495993,0.4603314682132917,1.1128686789906195,1.0844307709962704,1.0743035011860846,1.1018668790635904,1.0481710319081732,1.0445026930698313,0.984854090830393,1.0142943008394285,1.001683084087543,0.8983185677359198,1.004380994327613,0.987895803196452,0.9733485301337185,1.0383010580278855,0.9722180656000996,1.0795359455851372,1.0903576720175434,1.105676017142902,1.0731543663533258,1.0087540166303794,0.961217967731054,0.9958391006324392,0.983496195916995,1.0365607016257237,0.9629741450303155,1.0418527154535029,1.1451525001521599,1.1272926508222167,1.053275041021065,1.062617871014905
q_normal,0.53464871145887,0.5943604178710578,0.5838976487711146,0.5582808094396133,0.6269722250152584,0.6305413628442946,0.0,0.3809059306973397,0.5763778267337083,0.5017007375711686,0.5610597250861197,0.5711391516712417,0.933169148219034,1.0040010879104324,1.04807960484508,1.0087676844261193,1.0524747201544085,0.9500076724538626,0.9769708977667789,1.0250876617962899,1.017209459134747,1.0597527919558472,1.028221895534707,0.9854492758184377,0.9639983971047807,0.9967606816212121,1.0252087898051554,1.0069950188076506,1.0502791793468882,1.0488091938240074,1.0934983829277551,1.0310269804698302,0.8714208322021103,0.970004860497564,0.9087277219560129,0.9279157692152532,0.9930366635902634,0.9926702224408156,1.0377081323467479,1.0170120553926236,1.0606860064450612,1.0695068084920962
q_large,0.628046793936823,0.5281400377760437,0.6534023158160288,0.622582192723025,0.5510099304876438,0.6716643952957434,0.3809059306973397,0.0,0.6142891551960236,0.6243987900946528,0.49530566675663024,0.6612445109831353,1.0632777534121296,0.9314899776602784,1.0902969395853823,1.01915370102519,1.0801370110771975,1.031176553816226,0.9149311440451774,1.0299809491795142,0.9517620962356845,0.9852586578689885,0.9700209266828705,0.9101772292907521,1.0415509875379,0.9664244234056755,0.9777810605139299,1.0845877227471736,0.9966279771398106,1.0812763610577916,1.0131408517099822,1.0318076944591665,0.9383719124400329,0.9558795903019879,0.9613750304956983,0.9779508594302967,1.0300187992387668,1.060593022099628,0.94582320258194,1.0530989052755801,1.0632564601227985,1.106167913138211
q_normal_rot90,0.5569347206553503,0.5530031518039986,0.4322660728662584,0.6059332646235513,0.684106572230178,0.5300521364800945,0.5763778267337083,0.6142891551960236,0.0,0.6019092588311205,0.6245634720411004,0.5402578908207805,1.0300489729540312,1.008215702944211,1.1098295261900863,1.043228185064514,0.9879154370017004,0.9970112101147528,1.0385872807507779,0.9939290300242265,1.0209867095635408,0.942186916315486,1.0152997058194175,0.977667128806889,0.993320744758548,0.9724801523656734,1.0353755807858038,1.000685944014336,1.046479305743309,1.061598066649114,1.0811360486149295,1.0416921009000442,0.9831451188720851,0.9468483554655703,1.0423883347562244,0.9595114840037766,0.8842164180865846,1.0794872049611648,1.054879790951713,1.0787904291072283,1.0217507982710492,1.0304979359039688
p_normal,0.5436606132842888,0.5827583998748569,0.6378101115435642,0.5048158618390206,0.5947657530925957,0.556557368519047,0.5017007375711686,0.6243987900946528,0.6019092588311205,0.0,0.3362072366210007,0.549690924423642,0.9400837458559737,0.9741953319629784,1.0527578639658934,1.0208133153769603,1.0345067662326612,0.9664618801820749,0.9318808162086842,1.0675786626370218,1.0307676221377282,1.04347008037884,0.9442563990398187,1.0230437375097787,1.022362686973324,1.0350491961504384,1.0254780506078287,0.9361160817585787,1.027597416108883,1.0277796976954527,1.014367883854065,1.0493184210199142,0.9217818340522553,0.8744339605430423,0.9466944104443757,0.9562057026715303,0.9593572468758725,1.0027503864874332,0.9769702866801582,1.1127409100233694,1.128498127738148,1.0775456514819353
