,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.4609223376027714,0.4358969747665501,0.3428984184575585,0.31391685598704494,0.3906830151376383,0.4315660210012636,0.44991686192117075,0.3679238206772722,0.413653189760215,0.3026709572102698,0.38068276893578074,1.038694145000721,1.1553633304338526,1.337960214395207,1.096669794629502,1.268404539639353,1.3678322268111476,1.6429114983255486,0.9973985598084598,1.691697915247757,1.5083830009627177,1.0732149919182539,1.238172837287682,1.2465586068273171,1.3444356073770245,1.3599822152158492,1.2226409874688526,1.0811573864766755,1.2309672448531481,1.1202817353885073,1.0878611083605256,1.163907420129205,1.1460534240338627,1.1114389864979795,0.9392815156914797,1.0971954034231695,0.8735966785528037,0.898190504773741,1.0716896584772297,0.8975124443645943,0.8900065357786525
b_large,0.4609223376027714,0.0,0.3623463086178144,0.3064264200485018,0.4337628298398764,0.3868544021928912,0.3540825669532115,0.37442842149512395,0.5051806468447865,0.3927616293533146,0.38794446250526365,0.3632753584430142,1.069977769547405,1.3503146371029915,0.8791336765390132,1.4951964694133788,1.2401918543874242,1.4300349588058474,1.4778804284457356,1.0071581005675534,1.550636713610939,1.3621302158421604,1.1987651055180706,1.2959972659324515,1.0817278174646443,1.2800762481013057,1.2912901699128123,1.1230931967498703,1.167184250045155,0.9014119683493764,1.1371888876688518,0.8570371054305616,1.1739177932184484,1.235920913403778,1.1214111789416485,0.7835753480877314,0.9473756635414627,1.13434776988254,1.1137365676358488,1.0129181957338738,0.9990805589938925,0.7432499587856315
b_normal_rot90,0.4358969747665501,0.3623463086178144,0.0,0.3473204478816396,0.39577117066563156,0.4089683558455902,0.333533095916636,0.33816931422881985,0.4298756455174808,0.3546083335902252,0.4774403192621365,0.4024579925511364,1.020808651983918,1.4441139699775698,0.9946390309133671,1.12080233412895,1.106310172413256,1.2062488239234181,1.2425371578183577,1.1415637680090844,1.2359757858617293,1.015032097360174,1.3281739049377566,1.342437750098501,1.5049434060670284,1.337292947124093,0.8335104098852684,1.0817504042265587,0.9658717351338806,1.3139842943779825,1.4026939924817805,1.112977171013569,0.9325210810895161,1.1716667880508311,1.1521232351517492,1.0803412627110736,1.1039524621736803,1.1015531354921038,1.0908470168335036,0.9277807101158806,1.0007795888541913,1.1342480204381138
d_normal,0.3428984184575585,0.3064264200485018,0.3473204478816396,0.0,0.367098181146934,0.31039408031756954,0.32354942631565964,0.41852873865022017,0.4025074653810881,0.3828440985340106,0.3164966297497297,0.3539035621192718,0.7764159330569127,0.9698243122197913,1.2186541731910925,1.1859939203940737,1.436500510454042,1.0017432111469626,1.1723123879115163,0.9511355158880667,1.1747962069240823,1.1198654506548151,1.1322095310832425,1.2590728726547977,0.9849701594338731,1.35226652215889,1.1299028428476392,1.1546619274800658,1.0550927939353092,0.9791101768641283,1.497333110361775,1.1054184499458344,1.0998939285039193,0.923281852445628,1.1624454005597655,0.7870023860073486,1.2013057611533569,0.8425481260667805,1.2281176338406248,1.2132525067277193,1.3977449689820824,1.1568994926845633
d_large,0.31391685598704494,0.4337628298398764,0.39577117066563156,0.367098181146934,0.0,0.3386382802336483,0.4684064920126474,0.3117176631924788,0.48978529275640736,0.5316639069509825,0.46387702953744,0.39281668162674527,1.1898143189335393,1.260094587177662,1.0198485519315297,0.9798911023626868,1.1475185164370278,1.1188118277571468,1.080681656293237,1.0744284043313572,1.09276119886764,1.2599483557640032,1.1430422716485353,1.2489591945769432,1.1052326483374622,1.1109379498132606,1.1649620633290332,1.130977596913638,1.3116387977214008,1.2204232944576523,1.360662153880774,1.00707423501416,1.117831728061371,1.1577833375435693,1.0766586687569468,1.0602175638108842,1.3202574931331448,1.27214008538566,1.0186250951147777,1.2581719077382953,1.1040105291873785,1.3746650979428898
d_normal_rot90,0.3906830151376383,0.3868544021928912,0.4089683558455902,0.31039408031756954,0.3386382802336483,0.0,0.3391131245362302,0.3493904899604101,0.3958581050952714,0.3501384239250802,0.33310430069654745,0.48259831331014413,0.8356867595573079,0.9883117062991106,0.7310583377672828,1.0021546802355585,0.8161677459109962,0.9376237490413121,0.9328329036415094,0.8007821896418541,0.7162928483297577,0.8390807197645191,1.125485616326859,1.03427359668023,1.0976319606351037,1.2554320612599361,1.380355221600935,1.127909346750698,1.2652460516283868,1.2218166954760008,1.192275238835644,1.0514164360288651,1.2955887423213766,1.1128220898292045,0.9967236747198924,0.6653857463674919,1.015347119693379,0.8197545587958915,0.9324728026572767,1.346054990463482,1.0622367301901041,1.0558968980022512
q_normal,0.4315660210012636,0.3540825669532115,0.333533095916636,0.32354942631565964,0.4684064920126474,0.3391131245362302,0.0,0.397077022399774,0.4612976862060728,0.3560337720869698,0.37290108650178655,0.2994220360690427,1.4109351283924427,1.3079572622802733,1.0652477376415448,1.2131023924504247,1.1515527843760096,0.8803376836411978,1.1114354346694448,1.1067224855363924,0.9814172644671402,1.2041569946413122,1.0087086521735813,1.2511152804168792,1.3503084569139097,1.3022868431251027,1.1879184413933084,0.8900723437316103,0.8840589691226997,1.3172482399077268,1.2107389329360831,0.9912463555724192,1.086471791158185,1.2597112301001367,1.172399987874621,1.2460831809669202,1.2125049247025457,1.1567850350823228,1.1748661216300744,1.1371876330312058,1.233057965482254,0.8262006185257629
q_large,0.44991686192117075,0.37442842149512395,0.33816931422881985,0.41852873865022017,0.3117176631924788,0.3493904899604101,0.397077022399774,0.0,0.6149173609487119,0.37981475916377877,0.4038208697170587,0.3284025146454059,1.0072401486981064,1.034974070319789,1.032927279178729,1.038911202364403,1.1955498837799035,1.257607171822947,0.9917752007665013,1.3622208160469795,1.023584773061568,0.936508301859599,1.234772248824699,1.4492673649327323,1.0303727666364684,1.260569769868473,0.9737357803840089,1.1247592191219538,1.1530399593962715,1.1666156726872077,1.1689642662000974,1.081457408304995,1.2573952720044028,1.1278962343359396,1.0060519172955469,0.9742462647132395,0.9085353008569585,0.9712647136182362,1.043601306664212,1.165330466363299,1.230634738311844,0.9925526872747861
q_normal_rot90,0.3679238206772722,0.5051806468447865,0.4298756455174808,0.4025074653810881,0.48978529275640736,0.3958581050952714,0.4612976862060728,0.6149173609487119,0.0,0.4054023884335732,0.39271062751809416,0.4991307271619876,0.9867532290313228,1.0326365365144288,1.4780196779396568,1.1998098991207264,1.1359569624028005,1.3715471115111484,1.1256675680387922,1.0308620737811702,1.274249238914493,1.0086615090930615,1.488735226163928,1.1566842689462806,1.4238023226173837,1.4953945624132876,1.2046062442260594,1.1166111520387247,1.2747925407912644,1.0746025167294262,1.1188364466164875,1.184633160031046,1.0167171159331514,1.0998508092581936,1.2723732096432505,0.9418244793470407,1.206442571689666,1.237905744051103,1.1532519899785734,1.1648384974900028,0.8102311154806054,1.211890334181415
p_normal,0.413653189760215,0.3927616293533146,0.3546083335902252,0.3828440985340106,0.5316639069509825,0.3501384239250802,0.3560337720869698,0.37981475916377877,0.4054023884335732,0.0,0.3036884875787411,0.4952166640032295,0.8582879929834726,1.0783214751781856,0.9593557984130316,1.2508683478910705,1.0263586125280713,1.416334039701985,1.3587429968995406,1.6338145526811132,1.436282703432727,1.3028258636258314,1.030271439007281,1.5898489500995063,0.861079605525767,1.515324042008582,1.1125026937100921,1.1173293944227294,1.136039853780495,1.2595390380072509,1.2344672121046631,0.9644108966067599,1.1797697619562828,0.8014265188336691,1.070487801873855,1.1190225420802982,1.3368272606676794,0.991562317942512,0.861372825603964,1.1537517239801793,1.154662790885916,1.086416660277669
