,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.2704294043201795,0.37033497887451405,0.44146164181096237,0.5677270845861188,0.4939140595302497,0.5949666087649731,0.8554429206389021,0.35603620497234045,0.6131242554977737,0.5260629823439712,0.49906141647448937,0.9403578112965825,1.090835633865731,0.9654065495117266,0.8240582866658066,1.133574990821082,1.301446315392072,0.6189942758414487,0.808097362211717,0.9387259362286022,0.8651056155396368,0.9198596294926507,0.9078011397684044,0.9377033441611085,0.7493145387398057,1.328339522324471,0.74567151587527,0.660639037446034,0.9525850861441227,1.173053457129162,0.9329564666983422,0.6269839537807343,0.7524880410311152,0.6812645615691176,0.7219931623156784,0.8643837719108269,0.9353898439810868,0.8383647749632369,1.1467568585442178,0.6011390235054357,0.7514171611866466
b_large,0.2704294043201795,0.0,0.45452972391462476,0.4666441653668184,0.5358045456193431,0.5385044650740789,0.5005673447641444,0.6507621134384488,0.44296699582585575,0.8973762307875136,0.5139434489742808,0.38535536610586113,1.0565758340734703,1.0577514189430774,0.995215599857129,0.860360307621154,0.9086763209356062,1.054498343407983,1.0664791610419446,1.2525743181334876,1.3137743450254171,0.9666232725772361,1.1098755674322711,1.2095492697342132,0.861705517602622,0.9047750594112807,0.9294259507786746,0.904670725082565,0.7414301953387217,1.0456436245775764,1.0921873662482744,0.6242851991618783,0.5203143849662332,0.5295461406224908,0.8131017585152474,1.1266731427624894,1.0016449233658935,1.0853116796406936,1.0109551549575666,1.01823356324181,1.202808279459856,1.2715479821660605
b_normal_rot90,0.37033497887451405,0.45452972391462476,0.0,0.6725127550584202,0.668940193055256,0.4177750076753461,0.8034472364416524,0.6567483704268416,0.2191999764844046,0.6887505557424207,0.6530645392915606,0.512228329875113,1.234225260160173,0.7893073363531021,1.1218282639439976,1.2496599887918634,1.189033554614292,0.9094679889073232,0.8688030739337436,0.7107199259530577,1.0180678873548958,1.0636289728529182,0.7230272531788324,0.8710431324640777,0.688733508821388,0.706733956424142,0.6675746163319922,0.8503135378379025,1.0064876602581252,1.640666218021493,0.8531327033236408,0.7869693613613162,0.8057651155645401,1.2198115752976104,0.8429661180613938,1.0835875733848859,0.8346414012739757,0.9989503474949023,0.845413898162052,1.169641934605403,0.892191258235401,0.8199543162362998
d_normal,0.44146164181096237,0.4666441653668184,0.6725127550584202,0.0,0.2625369467793756,0.4594088497929601,0.5163891866595125,0.6780412866340134,0.629799702758437,0.35029953401945874,0.5969289434204352,0.39327997987015456,1.3624320477436132,1.104750996508973,0.9464404021023535,1.0511351395273298,1.1114291321373928,0.8499415749043487,0.5162524523737848,1.2032424191049684,1.1740908133665897,0.9970587816404343,1.0197770660640806,0.9925563961418487,0.8358076753240862,0.5949492111178382,0.8611962889969331,1.3227964948685789,1.1383455749952904,0.800118329548818,0.931967980387979,0.7530324074709516,1.367948442755593,1.4238507199423074,0.7161156380258262,1.0573825830414507,1.1694086800266794,1.10920494033782,0.9706567308086508,1.0976862161842706,1.118906749615384,0.7833380861776318
d_large,0.5677270845861188,0.5358045456193431,0.668940193055256,0.2625369467793756,0.0,0.8817465470392403,1.1133609322765947,0.7126623895204357,0.6371348616788748,0.4982402645435769,0.5007480549499594,0.5484959320568843,1.3306008273059104,0.9260193492825785,0.8744221037226404,0.8682465047761911,1.0266372045665826,1.2773183906267431,0.5026573597539699,1.3732052066403544,1.2940542262260366,1.11523827356939,1.383205108620486,0.6699736651822301,0.5571645770872857,0.9523130634160959,1.055105809938566,0.608309775180951,1.2741294983827751,1.137747603999841,1.2522989341189137,0.8550598068682692,0.9141325239037625,1.3155497856976703,0.9007541155834328,1.0355963569461757,0.9797633007631322,1.00451200789672,1.029426875710147,1.4830918443926422,1.3812755687100766,1.3188963391296233
d_normal_rot90,0.4939140595302497,0.5385044650740789,0.4177750076753461,0.4594088497929601,0.8817465470392403,0.0,0.4756003114467843,0.7489385814740444,0.5383426156783252,0.5514119723513119,0.47286046318619485,0.46512367094057944,1.3377181794716233,1.1035116488098353,1.2455957155622794,1.3401335577344191,1.304966960843896,0.6324859247609531,1.273012298672802,0.728496136178276,1.4224519408836473,1.197500514742187,0.709264336339108,0.9332165687607386,0.6825117307370671,0.7511519728925393,0.6031518211872192,1.019936039190683,1.160760766180193,1.1044938577002845,0.9727596173659949,0.6607736846647667,0.8654674250949513,0.7872890598494457,0.7122822081413897,1.345197373166615,0.688084025931579,0.9428088464243358,1.1809660856705446,0.9248802941186363,0.9831527378115211,0.6717068552542839
q_normal,0.5949666087649731,0.5005673447641444,0.8034472364416524,0.5163891866595125,1.1133609322765947,0.4756003114467843,0.0,0.3889442446870286,0.509622184698104,1.1039156109915385,0.7010877160382347,0.7120688769156028,1.0562430851958058,1.1554917856569933,0.7689790679398181,0.9232818856390189,1.055528749709517,0.8419641113180754,1.1237189497730384,0.8514236305885994,0.9811449708826063,1.060731327904836,1.157784264640096,1.0378256610211534,0.6367126188309392,0.943090104011103,0.6967052832290277,1.061105492629726,0.8653161153002994,1.4398746288903137,0.9436086777209264,0.9909297095211128,0.94812139925581,0.9369160238838158,0.7221775725644782,1.1573528246090836,0.873305217461495,0.6862933745428532,0.719325771828645,0.8818529832781693,0.988671686722693,0.7572717552318139
q_large,0.8554429206389021,0.6507621134384488,0.6567483704268416,0.6780412866340134,0.7126623895204357,0.7489385814740444,0.3889442446870286,0.0,0.7308795285745285,0.36179136030409736,0.5485606816167218,0.48605928611830745,1.2108025253992492,1.2695172545799958,1.096763877708242,1.0552714710970479,1.1258800022690576,0.97233011688187,1.247951571851006,0.6845915412966337,0.5551390667226467,1.0763330119569385,1.4926559646083004,1.1223703572737067,0.8446908102692783,0.8407443334287734,0.8748995410053313,1.3742803336207488,0.7006654233118602,1.4361785589650198,0.7304022151550151,0.9793220818122516,0.8223584958019498,0.7260331515897365,0.9273099172134076,0.6563387624126528,1.1512206912571228,0.9595649011192804,1.2967743047728295,0.7826401746211238,1.0573218970269531,0.6835209460494145
q_normal_rot90,0.35603620497234045,0.44296699582585575,0.2191999764844046,0.629799702758437,0.6371348616788748,0.5383426156783252,0.509622184698104,0.7308795285745285,0.0,0.6242674346801529,0.47432733532486165,0.37680168743962394,0.8058456703237987,0.8878662177801209,1.1960860493699188,0.8491071659375411,1.2390661659978164,1.3507148807671006,0.8344335102261501,0.6082377038085667,1.0130882140998867,1.1743848362599896,1.0957050985316221,1.1591265881850576,0.6677774869024349,0.7072265484302195,1.0316900472658308,0.8428871658679644,0.8557447802145886,0.8359877452686284,1.1357512757494437,1.5463186399829583,0.8292902894318157,0.7280516554730367,1.1065608027921563,0.7709560454155068,0.784095448156567,0.8618677452854877,0.89309876457689,1.0237670371962604,0.9405250494816754,1.0693328544017264
p_normal,0.6131242554977737,0.8973762307875136,0.6887505557424207,0.35029953401945874,0.4982402645435769,0.5514119723513119,1.1039156109915385,0.36179136030409736,0.6242674346801529,0.0,0.3389686529724711,0.6145481732977119,0.8014162372856408,1.1844495494045657,1.2825490764926981,0.9586257203488587,0.9445598932194114,1.3654341521040072,0.8536044571667492,0.8860469606007093,1.0003887708048447,1.360349500620309,1.3649398511250628,1.0333630775273521,0.7796860398838368,0.832419609226117,1.0241859250970737,1.097289153956047,0.7989468567892154,0.7408753333914871,0.8596347180529966,1.0624924817382535,1.123757616785103,0.7968622407138121,0.8763993264979725,0.8071328138440681,1.3582930046409523,0.7165393995116536,1.1050492910226102,0.8589155779562423,0.8736763067832808,0.8579130183241975
p_large,0.5260629823439712,0.5139434489742808,0.6530645392915606,0.5969289434204352,0.5007480549499594,0.47286046318619485,0.7010877160382347,0.5485606816167218,0.47432733532486165,0.3389686529724711,0.0,0.636117751992922,1.0492105661354196,0.937675061232776,0.9916469451321013,0.9516225703854128,0.7707661863877068,0.8608409342503768,0.8456734023522721,0.7623954034020965,1.1600526629268404,0.8345915068257975,1.3189508020986476,0.6564949345423501,1.0509318356947617,1.206017751110291,0.9518491748014397,0.7897996565371291,0.8211220923200323,1.044525303337142,0.9532701047921469,1.1789302236107186,1.1435370135350256,0.8592476466462972,0.9077161153277983,0.9085722049176148,1.2670192706888508,1.049931808270301,0.7546283205259207,0.7495733959764903,1.2338261652792974,1.19809333462437
p_normal_rot90,0.49906141647448937,0.38535536610586113,0.512228329875113,0.39327997987015456,0.5484959320568843,0.46512367094057944,0.7120688769156028,0.48605928611830745,0.37680168743962394,0.6145481732977119,0.636117751992922,0.0,0.694117584133439,0.9403471194990813,1.0597874584916498,0.9986071455390354,0.9127993672223887,1.3421875499870402,0.8538846363183814,0.9875349653528692,0.9861524453722056,1.2216456195192331,1.3204554602499199,1.219794178672969,0.5683533962725825,0.6243896941311018,0.6498293004184039,0.9706652503198778,0.8808509366164254,0.7651410390946419,0.8645580672089113,1.499171588917821,1.147804964223217,0.6580669218189524,0.85872687026157,0.595463104815751,0.7319063675420434,1.3209328433757115,1.4263780953084113,1.0777367475788842,1.2132021252923924,1.1057220408317585
r_normal,0.9403578112965825,1.0565758340734703,1.234225260160173,1.3624320477436132,1.3306008273059104,1.3377181794716233,1.0562430851958058,1.2108025253992492,0.8058456703237987,0.8014162372856408,1.0492105661354196,0.694117584133439,0.0,0.2831467891273756,0.39450300426549906,0.4396061385782879,0.5509640108916752,1.4641285745751695,1.093851901920554,1.3363870791847614,0.8415957980268374,1.005244628152499,0.584894069377641,0.7396738768955663,0.9405982616971318,1.1664925691579333,0.7363351356937659,0.9942788745116335,0.8301820957054783,0.4817564441105346,0.5983504693470452,0.8427248641747009,0.9849523522500914,0.613087918425467,1.2790193060074135,0.9406592254514559,1.4242505101042613,0.7848660679966268,0.5956647075903978,0.9552875352724504,0.5342463841994728,0.8223799312746585
r_large,1.090835633865731,1.0577514189430774,0.7893073363531021,1.104750996508973,0.9260193492825785,1.1035116488098353,1.1554917856569933,1.2695172545799958,0.8878662177801209,1.1844495494045657,0.937675061232776,0.9403471194990813,0.2831467891273756,0.0,0.35082432731257956,0.7481135449203227,0.397887689905731,1.2050564081954054,0.7860706346868311,1.1402099600943885,0.995437764539854,1.0027257700393295,1.391302064158343,0.4946994724058473,0.8480287237052082,0.9080522573035836,0.5785029037144414,0.3674687012626553,0.5263253600328383,0.504379355545784,0.47892612539998325,0.7761050060717082,0.8600016812665366,0.7890441643548781,1.1367912917480167,0.9788855255505181,1.0469182802003671,1.2062801139927164,1.0714683193194716,1.0926338230866321,0.6270011679957257,0.6795222132643459
r_normal_flip_h,0.9654065495117266,0.995215599857129,1.1218282639439976,0.9464404021023535,0.8744221037226404,1.2455957155622794,0.7689790679398181,1.096763877708242,1.1960860493699188,1.2825490764926981,0.9916469451321013,1.0597874584916498,0.39450300426549906,0.35082432731257956,0.0,0.4336411151010834,0.4333241123449726,1.1888322004986802,0.9187247584919529,0.8192304104190531,1.0500636029679076,0.6123190064669879,1.2121344451189155,0.8516187059812673,0.8272487804072596,0.7290507084223202,0.792353366909334,0.6407220808562755,1.1211458457373826,0.3405811337842919,0.7475203288420912,0.5117840606227504,1.4269939753082306,1.1039910832038209,0.5702727678668823,1.1837733662695449,0.6959031780538478,0.9759850032572448,0.7925010315537504,0.45725708077597693,0.6936806901926473,0.7047893836383715
r_normal_flip_v,0.8240582866658066,0.860360307621154,1.2496599887918634,1.0511351395273298,0.8682465047761911,1.3401335577344191,0.9232818856390189,1.0552714710970479,0.8491071659375411,0.9586257203488587,0.9516225703854128,0.9986071455390354,0.4396061385782879,0.7481135449203227,0.4336411151010834,0.0,0.6063921781580864,1.3683714745909454,1.0349463805814505,1.118003236315615,0.7290519431783979,0.8469063290903506,0.8936484537309743,0.87880067755112,0.9584200915688672,0.8681439832280633,1.3222166202010879,0.45630125643976516,0.7701001838292816,0.5275698018800609,0.35263429035464555,0.8825320926971905,0.7028480282305001,0.7532483115028188,0.8024709868613522,0.7920396220575155,0.9063267766129736,1.3177793868538195,0.9543717862593084,0.9291434562941511,1.0862688030206888,0.7100526904169158
