,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3553548085911126,1.1916694848620022,0.3734883958512289,0.5527830476816423,0.9347627269417232,0.7704438821408301,0.6048684391355109,0.5991347661563595,0.4296973794188479,0.5596374477465884,0.735529603362484,0.3696664125828109,0.48626627360925934,0.8710111388217062,0.7041689068227258,0.8098039477378836,0.3097970123327363,0.42830302778212925,1.019506874675657,0.8307419899936065,1.0952598617417881,0.4367457689961947,0.3644237223566849,0.6762108408689377,0.8475188533220273,0.9056375120564523,0.29353533045951097,0.4044502802704316,0.8251653289132994,0.8309449221308745,0.7963439897665984,0.37434043871796036,0.46128305477022097,0.8237703354195612,0.7859731675175816,0.7789323692099778,0.2679911277351616,0.3831426015011059,0.9060275192135608,0.7598902007855123,0.8667996137526873
b_large,0.3553548085911126,0.0,0.8934944692504845,0.3795819225070181,0.36515013990142825,0.5167344721100818,0.911612503270396,0.33074722081704155,0.6968015661071125,0.40067718703270927,0.43417616556810523,0.6566483511131317,0.3314879647851425,0.2950361350899802,0.5723764639466896,0.63528721728012,1.0265751424037879,0.4701600239041568,0.26588708792402466,0.7799288468597027,0.6259483884892741,1.097819677361412,0.4630205944458611,0.3861903270197271,0.6372647752482916,0.6057019608204451,0.6372115294802884,0.4499697737219846,0.4407117585179775,0.7225285712523547,0.9788383044410782,0.9809496614141954,0.37018890888594785,0.37940771463721373,0.7942407711562397,0.8124452985984166,0.5651470126348682,0.47064534268602976,0.3416733118564263,0.6996429479186915,0.6326914547575968,0.5216430588594317
b_normal_rot90,1.1916694848620022,0.8934944692504845,0.0,0.6468732049730495,0.5949383266533308,0.33319798700479736,1.154108762268542,0.959937227898955,0.5030775010669418,1.0821372711565305,0.6452439486420025,0.6739733547988219,0.7116223984206712,0.839065332295756,0.9715535725474973,0.9990799963646653,0.3628395316427823,1.0483529205838613,0.8609463489073201,0.932735351659538,1.1645733187081715,0.5231998119347239,0.7176001144737015,0.6100967856086833,1.1267453138024273,0.9182864081657472,0.581645616510232,0.824759461721569,0.6282136225796151,0.9500660612802426,1.4215833919008083,0.504970754864397,0.8464301907559819,0.6783743445496917,1.0599850343658157,0.9744403315889443,0.42811559829532203,0.6981835447844531,0.7225166968354628,0.9187225853777563,0.9754665740804753,0.3254845618360891
d_normal,0.3734883958512289,0.3795819225070181,0.6468732049730495,0.0,0.5333993655052923,0.6727788045599429,0.7929187271281211,0.5892611153877277,0.7338852816800593,0.28897561253278675,0.5343594490812383,0.6343433053058366,0.2902494163221783,0.3530365718578629,0.8415513155952197,0.9646271484607677,0.691866498434752,0.46490799636504415,0.4085340326520557,0.8941378535572628,0.7949185450807741,0.5286460064201918,0.4278188350870388,0.5046710220472854,0.8227730737150039,1.0605864668324114,0.5610784034094901,0.430778939482959,0.5661359334764676,0.7668647200868707,0.9485322252546269,0.7109266213429034,0.3094200924462564,0.3708939887239735,0.82161954052273,0.9193903743697783,0.6999168846396608,0.36989305569802156,0.6191696109212137,0.8744322969506335,0.9891672911047577,0.7110483113474109
d_large,0.5527830476816423,0.36515013990142825,0.5949383266533308,0.5333993655052923,0.0,0.5196874295425098,0.5337925556315277,0.39497320050906704,0.7295670880434979,0.6393793723403334,0.2634850700249233,0.5466041263361282,0.38369046985505134,0.3853417923904624,0.6302644107257036,0.7243754268586864,0.6395459996310509,0.5855678666203462,0.44101706556775166,0.7126192456787224,0.8045507285881603,0.7116104749975789,0.40920946414602133,0.3496245867792346,0.6305952115505585,0.5592208646396021,0.7732210566608022,0.3456506524106552,0.48806158280888146,0.5502267824296303,0.6322689309323865,0.6039946110286696,0.3838199795892688,0.32993102789644274,0.628050592677276,0.5706287803606183,0.7041182161580576,0.40799569625937493,0.3573911340430647,0.6596431591108802,0.533801537650917,0.5786416227424498
d_normal_rot90,0.9347627269417232,0.5167344721100818,0.33319798700479736,0.6727788045599429,0.5196874295425098,0.0,1.4255553375660612,0.7570905906967931,0.3918987409581003,0.8515406162464986,0.5686693546568223,0.3717396049208147,0.8567147091944434,0.7379202987841385,1.0875622041941995,1.547802541817247,0.7822979059559364,0.7548473959460829,0.6058158077801146,1.3568196750037254,1.5654228971718078,0.6035265479497008,0.5296123598109672,0.528366257208784,1.181729239267717,1.5328779429152,0.3646743671122758,1.0979934821551238,0.9108189340202997,1.2208011774056091,1.3067327466505383,0.4141164693459228,0.8079824531906624,0.5507866717070128,1.3296489847973954,1.5155903214829625,0.47588006045336634,0.6954695629801776,0.6304394937898797,1.0458818112920558,1.2498105852818087,0.5984295807438212
q_normal,0.7704438821408301,0.911612503270396,1.154108762268542,0.7929187271281211,0.5337925556315277,1.4255553375660612,0.0,0.7855931940821559,1.1795197852056285,0.5820406078204136,0.520368875516945,1.2102619327952933,0.6289155488124438,0.6992656916093631,0.7219492307212242,0.8413903798625646,1.2400159892042084,0.8129976930131081,0.5011708276634232,0.42494304871520583,1.2664575705625414,1.2934248686878105,0.899554625404495,0.5331784308196044,0.3326803289480195,0.7129730684056214,1.0881429275418437,0.694552354480217,0.6736206868821403,0.3606136335323362,0.8738801582958902,0.9929472199438429,0.6401876849173669,0.5105029272825583,0.31009656415729847,0.7748693934160534,1.412674998864859,0.5874099346635017,0.6491943714658995,0.3672265865438135,0.5424464624838344,1.2117144208671062
q_large,0.6048684391355109,0.33074722081704155,0.959937227898955,0.5892611153877277,0.39497320050906704,0.7570905906967931,0.7855931940821559,0.0,0.9072479507658685,0.7310661874146858,0.3867368574761393,0.7163513209110896,0.5479378453367806,0.3449161821795238,0.6259403090554025,0.7104028020569362,0.9484236634903871,0.6606060340724265,0.42399430654011994,0.7210851723568746,0.8228093391828796,0.5940575866373843,0.5816014710610163,0.4482670840180412,0.49794292753436614,0.7345578983363348,0.6988960004742716,0.6525358523670699,0.4056676547563157,0.5164560128340736,0.8102951968963007,0.6725703767848401,0.534825519201651,0.31879838822370987,0.46842166312147543,0.8659491596963828,0.6119138462265388,0.6718933073745196,0.38881473317043475,0.6048399460993971,0.7809981887971198,0.8108353683702565
q_normal_rot90,0.5991347661563595,0.6968015661071125,0.5030775010669418,0.7338852816800593,0.7295670880434979,0.3918987409581003,1.1795197852056285,0.9072479507658685,0.0,0.6930649910237449,0.6355352187956579,0.6888442968469835,0.8116265415638664,0.66198656119061,1.0968718804164954,1.2748162020581693,0.8632022185384443,0.601828999924309,0.7251421032875012,1.0027977135054609,1.2116862527838619,0.5102214399192334,0.632909435247411,0.7695863904132683,1.4784278698175193,0.8729887018218038,0.5423961767355459,0.6699515313554133,0.7269297792664382,0.9773474185211866,1.0022018236459187,0.7046512733126434,0.6699544798013107,0.6327839328566037,1.3950763227002514,1.420452570688222,0.40204232861333816,0.6077595911441389,0.7098768414462443,1.144181762622128,1.19456821579274,0.5767657977056231
p_normal,0.4296973794188479,0.40067718703270927,1.0821372711565305,0.28897561253278675,0.6393793723403334,0.8515406162464986,0.5820406078204136,0.7310661874146858,0.6930649910237449,0.0,0.31703942551281417,0.7211988727533339,0.5771393500034201,0.3808056107299376,0.7574362288133786,0.9195444670851662,0.7237499336841212,0.40666093486115124,0.4418787682782812,0.960269500292984,0.9115991145153285,1.4458974595287395,0.5092152800313241,0.48176199721832286,0.6327110123449371,0.7941606795624507,0.6397761373814972,0.5711537914785757,0.5264967732824128,0.8798136954261313,0.8603247216653109,0.7272281139677458,0.26664113203287754,0.5021013228049208,0.8766064500805377,0.8359034539643044,0.795562254501788,0.504529279953721,0.4098877703835873,1.0102141459659475,0.8946202427904429,0.7994725360652064
