,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3374235881305278,0.9002509714055221,0.7139170170953021,0.4112252516251358,0.7017493886604285,0.878637019529614,0.7708064497788195,0.6915713937814835,0.7718994564242811,0.49850181656710585,0.5542069910982853,1.3180700500465456,1.261744860864552,0.9313339650374588,0.8600838585718499,0.6726941471659103,0.9817758761805908,1.1446834275676354,1.0193091330339834,1.0211074222935932,0.967912236855982,0.7011646766528936,0.8251696896912463,0.6740323277768857,1.0868101140985038,1.018313432373923,0.9994467603515231,0.7273567437987151,1.1248961059494842,1.2242935372416568,1.326201400018096,0.9941840630458717,1.0090369107515678,0.9769607823592241,0.6724531603463519,0.7243568178348667,0.8529005002933049,1.1089209847852355,0.8518004436765997,1.0441881532597983,0.8482555197716113
b_large,0.3374235881305278,0.0,0.8855186019490117,0.7291885413606114,0.8682498002009043,1.016822107181867,0.5457252015050886,0.7571142033216433,0.6692802444731406,0.7797863283108757,0.7242802234914368,0.9741654862124038,0.9793823858842263,0.84284828438749,1.0118462856579034,1.1198888916421574,0.7631202423264756,0.7794602134479015,0.862660449185316,1.0978866860017193,0.9422743693135638,0.674826565957564,0.8136108812114657,0.7104603689257414,0.921076930594167,1.3139001693807209,0.9202508811161343,1.0550074620046987,0.972386523172046,1.0693836449844067,0.8325034435020537,1.1710252804932206,1.0007496149744,1.1688992446871067,0.667493699697343,1.0230738339378223,0.6472907991268032,0.9354699899420907,1.103133116106289,1.379284001571248,1.2233413108790638,1.0836610871608223
b_normal_rot90,0.9002509714055221,0.8855186019490117,0.0,0.6102139000969973,0.6197685160622955,0.5881854746563746,0.6910231975824909,0.3965755172576378,0.41569624758940976,0.4160497304724462,0.7395908173233456,0.5604616248659644,0.7158506616134257,0.5786851799433015,1.3053809709744586,1.2656322838816736,1.08021366900206,1.195784860764442,0.9543722808457473,0.9405335345230448,1.0984727657490538,0.8064381040274192,1.205214636189247,1.0142947749752529,1.1114291788563153,1.3366405558929402,1.0835691095316422,1.351771444224258,0.879676641195821,0.7853615710281577,1.150390429038564,0.7981459397893553,0.8876856506252466,1.061715418281376,1.1261393196481813,0.6130642863090906,0.9194756506566804,1.0535091877408536,0.9360073033800445,1.0165386911615235,1.2720914522333895,0.6539785461950913
d_normal,0.7139170170953021,0.7291885413606114,0.6102139000969973,0.0,0.37841639368038793,0.6670303843946472,0.5664778231322141,0.5266327447442078,0.7801346001302963,0.6821926890661082,0.46760401583707106,0.5351304769977472,1.0429757159472832,1.0842145560589629,0.9602137179776977,1.337009758782226,1.0172624987042447,1.1343284692508473,0.8911823715895327,0.9319389559349696,1.0655644077373694,0.9101925486555504,1.1788555848294389,1.1229519945781727,0.9927540221358908,0.8281131868745472,0.9589906259504319,0.8365248822288245,0.9957963555308186,1.0692743068263009,1.3925151416440842,1.0952672002086756,0.8231662855176557,0.9613070997966545,0.949404877299922,0.8048562195299728,1.038851522381743,1.071274681056445,0.9703228364843945,0.8122949601285043,1.4526613090335212,0.9307681404730643
d_large,0.4112252516251358,0.8682498002009043,0.6197685160622955,0.37841639368038793,0.0,0.6713286081934704,0.7826426490118918,0.5190833063257174,0.4440706373049611,0.7997924937334224,0.4310841970742823,0.44654323050548456,1.2605817182567294,1.4752395488269896,1.3243460374734795,0.71877245855218,1.097033758212614,0.7675096113713935,0.8241409086209565,0.9839253872907376,0.9635149730058687,0.8997994852767401,0.8539566841319982,0.7047920287803128,0.776024746315459,1.258479798684483,1.0327613444512722,1.0090001867909828,0.9441637557774079,0.8955215823461189,0.9838755164325588,1.2469493549671287,1.219427522600813,1.2737312223929824,0.8564531052487415,0.9917742266479854,1.0533574819516964,1.0113403215903713,0.9547563826863223,1.155190018377522,1.0354293137335613,1.1865894223351066
d_normal_rot90,0.7017493886604285,1.016822107181867,0.5881854746563746,0.6670303843946472,0.6713286081934704,0.0,0.48828615812633364,0.5975060566587572,0.8747242467138368,0.4434117798312797,0.3868670571441043,0.3978159389325929,0.8903612846454584,0.806950283853043,0.9725867473836569,0.7905062784928092,0.7845757944708761,1.1581864769444123,0.6034081953792524,0.9251842348679441,0.9982647230126669,1.1172711281526984,0.7557019016030552,1.1170318832816055,0.9066690700249749,1.2524181546610802,0.9478122934600689,1.0907127302608117,0.939448085821204,1.0752979433675267,0.918156808109236,1.1946264934117135,1.1598236821204053,0.5958897320326948,1.39693471890017,0.921732536717259,0.9929976315600343,0.5421972919444247,1.0043736155997425,0.9379724844959801,1.010083571501089,1.150460775348715
q_normal,0.878637019529614,0.5457252015050886,0.6910231975824909,0.5664778231322141,0.7826426490118918,0.48828615812633364,0.0,0.4128053014765486,0.4181036119575928,0.6233152283490835,0.41139589239080054,0.5654197618499173,0.942171049069262,1.062197319296639,1.1147262570323708,0.8042187606134656,0.7456496775288248,0.9014775426753007,1.1066890321541387,1.2675737927767696,0.9660240073882771,0.9199682421309938,1.1841606933083424,0.7937837148168899,1.0784752693593989,0.8544298498864645,0.8660806709980278,1.0287505726079194,1.3471539182788899,0.9574956399123278,1.1145410399237703,1.095994950256688,0.8941476019057363,0.9208899746558737,0.8243817448958047,0.9135238026576533,1.178122077724983,0.9386039857121542,1.0702718660625503,0.8925562090851118,1.162090379615449,0.9616868262491896
q_large,0.7708064497788195,0.7571142033216433,0.3965755172576378,0.5266327447442078,0.5190833063257174,0.5975060566587572,0.4128053014765486,0.0,0.49402218546574883,0.6382298494817875,0.5033547046364767,0.46462645097116556,1.1391549472371905,0.964778175808517,1.0186771269266024,0.9526873006685145,1.0115500836250324,1.0081386374921686,0.8757348535582681,1.2256918531985048,1.0776338428533248,0.7128509456176134,0.8215447295725101,0.668291308897162,1.0900116499220207,0.9793398558402744,0.7800333372541134,1.2711137000891648,1.1222737189781495,1.0941028443761163,0.90716973902457,1.0548590408061727,1.3552272088636244,1.097245593724995,1.0139220637340318,0.698673545443484,1.0155053389217321,0.971889222357243,0.9200103395430689,0.7453299647730652,1.1720562312942246,0.6834227062563539
q_normal_rot90,0.6915713937814835,0.6692802444731406,0.41569624758940976,0.7801346001302963,0.4440706373049611,0.8747242467138368,0.4181036119575928,0.49402218546574883,0.0,0.4638830728201081,0.5147147706060282,0.4016042140305941,0.9717677310451789,0.9788060712321092,1.1987192670494249,0.7286241489025022,0.7943193533216977,0.7575638008923339,1.0150728702636538,1.1248827575491396,0.7856322979208867,0.9674590416699174,1.385200082012765,1.003111412207158,0.8857412003370593,0.6919682654879615,0.9019488940778343,1.264824437404608,0.986184366802192,0.851778891201171,1.178719001689035,0.8863008968690576,1.406877302321432,1.2611320806316242,0.9322678767112238,0.8289584072673597,1.2426899030001632,0.9631938403869329,0.900563359398264,0.8005243492432014,1.4625760341222067,0.8435154920224687
p_normal,0.7718994564242811,0.7797863283108757,0.4160497304724462,0.6821926890661082,0.7997924937334224,0.4434117798312797,0.6233152283490835,0.6382298494817875,0.4638830728201081,0.0,0.4480725034415808,0.5533542815753524,0.9822304396753603,1.0287258646514736,1.097758089776373,1.0609372773609267,1.0838930317071653,0.8906822236686516,0.9893679897867316,0.8667010932243547,1.1633968530008387,1.1156984059195663,1.1343780746316938,1.440509923373492,0.9875782491825111,0.8251773953417069,0.8927810835770381,0.9855223575035397,1.0322379234444483,1.0299765687180016,1.016280972027994,1.226681806805541,1.2333849044451564,1.1220150631295769,1.0978365777647991,1.161775492556772,1.2697910355497388,0.9768675006366395,0.8037485341541798,0.8551967821173869,1.0522614728498887,0.851850569388702
p_large,0.49850181656710585,0.7242802234914368,0.7395908173233456,0.46760401583707106,0.4310841970742823,0.3868670571441043,0.41139589239080054,0.5033547046364767,0.5147147706060282,0.4480725034415808,0.0,0.493894551871063,1.2463553539581647,1.267436184369319,0.9545953822257747,1.163131918339848,0.9338964945390085,0.8860510027659068,0.8814770305878755,1.1133636505864932,0.7952389310118219,1.0509862599856006,0.7664454274421678,0.9344977610979699,0.8105557058938103,0.733049280608953,0.8856955948377163,1.103989372313556,0.9156896284564185,0.8874728189748107,1.2619801908849326,1.251189138687014,1.2274122239272047,1.1314658042850947,0.7605089784840257,1.0979413586936368,0.9113989450133179,1.1438816309673598,0.732147749534277,1.2175282951147501,0.7958147026000391,1.0248076169581843
p_normal_rot90,0.5542069910982853,0.9741654862124038,0.5604616248659644,0.5351304769977472,0.44654323050548456,0.3978159389325929,0.5654197618499173,0.46462645097116556,0.4016042140305941,0.5533542815753524,0.493894551871063,0.0,1.0918458949743575,1.0682431103225045,0.7367178490904074,0.7507362753319295,1.2095127554797764,0.9473912020008962,0.8092289081624672,1.1598176513695801,0.7014883081407686,0.8659101737485605,1.2475420021311838,1.1703950965767829,1.0728533578932187,0.6995432133951277,1.1102410388042052,0.9131997611119725,0.9537533058234675,0.7851688822615953,1.3699474307946915,1.0817131369001025,1.005461869026279,1.0815083034687702,0.7351723662160322,1.0815749262214458,1.0016060985884008,0.9886800114297336,1.1796639659456607,1.1030321692414373,0.9397805905627049,0.8684302432740785
