,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.15053199203955137,0.17367300102467756,0.17988866159225442,0.15678988385900894,0.1886346064938475,0.16585711394820463,0.13680466610193018,0.18700222395844035,0.14514159718041653,0.14264318162354073,0.16567467826563873,0.8859157435649921,0.7470938688253125,1.00385071249918,0.9264856950512852,0.9344231509535871,0.9505617452075864,1.0312958248390376,1.2393016220971134,1.2320248636562674,0.725838042508481,1.0666249612985523,1.1693490153641686,0.9029650192205313,0.9816350490051745,1.0855802469162683,0.9658604539841289,1.020844350126284,0.9471812272563296,0.9228280540852499,1.0940460727077155,1.1105784581971627,1.1016663725322058,1.0541165213451984,1.1330004323128602,1.2709173607157735,1.0094106506047904,1.054537225712526,1.0761968068384173,1.0904377561291267,0.9829260596602181
b_large,0.15053199203955137,0.0,0.1768792100426526,0.1720326577892526,0.1664772460942097,0.15646381727333533,0.18003415452655006,0.16563159034736957,0.2639093330453517,0.13992214718222334,0.13448201151792646,0.26586491249626704,1.02051381752296,0.7910800337733285,1.1722749895311337,0.8353653619734291,1.141148539844834,0.8956895141264979,1.0873068522065816,0.9644127085790702,0.5886457097936474,1.082598750403351,0.9639686761399946,1.0422626837879827,0.8361301973762638,0.8551047974772186,0.9020091374155313,0.9927641725773713,1.0993583252093944,0.9299727396949162,0.9739703731835783,0.8886386324665212,0.8549989738029182,0.8896927552555794,1.0512653552481352,1.0374793540010483,1.2013255983742739,0.7099585119297256,0.8324566526108813,0.87633482004043,0.6515601655271726,1.018905768243769
b_normal_rot90,0.17367300102467756,0.1768792100426526,0.0,0.18254277603199068,0.1746187520801966,0.18537432130471695,0.1794684282892981,0.19130780323874333,0.14531253117692441,0.18627234972469023,0.1390890617533356,0.1521974954219912,0.7555786123372279,0.6378075520737204,0.7618741992387394,1.079140690125242,0.7968582908846151,0.9749213897964879,1.1080639271480066,0.9385218012664925,0.6305883161415995,1.0433234373030693,0.8619859990542634,0.9040780181133079,0.866817401464456,0.8907015101388097,0.9456108789230074,1.230605504588116,0.8995155060668919,1.1382131470399197,1.1452699775425415,1.2510534542524208,0.8795907726468895,0.8304478801256543,0.9115489137769688,1.044729832887505,0.8883017087208568,0.953561878142147,1.1616761163453744,0.97675463792929,0.8814363705374483,1.0025993534306679
d_normal,0.17988866159225442,0.1720326577892526,0.18254277603199068,0.0,0.19982816385361818,0.13353960614437926,0.1788305305436048,0.14488152622169212,0.13565596834672844,0.174763638679845,0.14823759190030142,0.19065988270627388,0.7480159999794829,0.9243570914157724,1.0978573029067384,0.9561393796982869,0.9315676489318933,0.5470961509281631,1.0035609075464702,1.03166224149144,0.6847693992092292,1.0244818872702464,0.9917194874873881,1.107919880538668,0.7087467613068142,0.7674035854837387,0.8368648387391695,1.014663724090105,1.1355351644391893,1.0439201259792987,1.2002349479957495,0.9951887395220821,1.0176427069539145,0.8594108507213654,1.0049681626577418,1.0154582516108017,1.1136722358244817,0.9497853950410128,1.1210205494035286,1.0116090870659127,1.1635326382723619,1.1503567153491672
d_large,0.15678988385900894,0.1664772460942097,0.1746187520801966,0.19982816385361818,0.0,0.17486286921039734,0.10453938081732388,0.16517628782963767,0.10780142552359548,0.13722779900202056,0.1296779423953846,0.14593806381013985,1.0367101396695892,0.9982996929938006,0.961528151049365,0.981357662497414,1.0272698639273072,1.0198715965800245,0.9574054583852576,1.055790812919267,0.8960284858609255,0.9480288955553204,0.9812365833991022,0.8189417319219112,1.0895544875777374,1.0650418754132918,0.6392186830168248,1.0831011244770175,1.1893209169947256,0.8011139708473088,0.9936199285485686,1.1710705655301747,1.0752116646021428,0.8504596078551099,0.7550026937379,0.8751682700604397,0.8510081785583415,1.0590132925742337,1.23812264316575,0.9322092366694479,0.8994621985529201,0.9059182790118108
d_normal_rot90,0.1886346064938475,0.15646381727333533,0.18537432130471695,0.13353960614437926,0.17486286921039734,0.0,0.23873559129595714,0.1389615995905106,0.1683122059135583,0.2102528996943018,0.17382498677596184,0.1562329414136537,1.0775324794980037,1.0344038372154534,1.1350732750389518,1.024858682711125,1.2548068265,0.7898350203574258,1.0240069687831597,0.9650122174285732,0.6602535204492983,1.2117589372494986,1.0665385111260417,1.2362969870703846,0.7822106293525727,0.7816338602399716,1.172234169673963,1.0548995420612615,1.1718382759033743,0.9900402414570877,1.0507829426202877,1.0021246316960235,0.9227864866943587,0.826515000754586,0.837996257663616,1.0480517911319374,1.1568316216991228,0.9836815531437769,1.0024498970701037,0.9867524580699868,0.9163008489857121,0.9683654461843878
q_normal,0.16585711394820463,0.18003415452655006,0.1794684282892981,0.1788305305436048,0.10453938081732388,0.23873559129595714,0.0,0.1627921624217863,0.13252784040274052,0.14283218278452103,0.13299100340662817,0.1696437001669377,0.7192788860135118,0.8246107304154364,0.7791553218491947,0.8115634994081964,0.7975876159248261,1.0105712835452672,1.070785200165084,0.9091653182374848,0.6863760226203773,0.7679029247409588,0.9566225543334462,1.2161853582123563,0.8379045683048446,0.8240998023457714,0.7960727955204611,0.8979330901075255,0.6362448571522701,0.7915712222590268,0.9731007177960054,0.7204460599388616,0.910694591582985,0.822364610687326,0.8042612223842521,1.063685026977849,0.9704850007627961,0.8286212811299841,1.2720415788574777,0.921954797153095,1.0422223399283053,1.2189104315939658
q_large,0.13680466610193018,0.16563159034736957,0.19130780323874333,0.14488152622169212,0.16517628782963767,0.1389615995905106,0.1627921624217863,0.0,0.24849388775744471,0.16223409437512123,0.15056507921259316,0.2388971317966387,0.9567054894831147,0.9598234893924268,1.1830325867161373,0.8620210262622425,1.285872572035001,0.8130780785257152,0.9586474100345438,0.891402374386362,0.7479706023300646,0.9736303754940898,1.027263230076437,1.1502005190576468,1.1138948949237437,0.9128584095741874,0.8981185193794234,0.9154212348858439,1.1192015789156777,0.9673163352882282,0.9297389440783261,1.0199109776019595,0.7828010826014511,0.7191741942663257,0.8040457964191797,0.85914097364176,0.9899092837513846,0.7291031556036358,0.8468634174893525,0.9414433122397,0.8408993556756496,1.123780588514192
q_normal_rot90,0.18700222395844035,0.2639093330453517,0.14531253117692441,0.13565596834672844,0.10780142552359548,0.1683122059135583,0.13252784040274052,0.24849388775744471,0.0,0.16697687644269157,0.12404759054273633,0.12972302970200567,0.9541157864474391,1.0389478046212468,1.0668249149390565,1.1086292507927824,1.0750030571304234,0.893102680836988,1.1230882807021272,1.1477898392697152,0.8249685655206452,1.0277308343685059,0.891165719675183,0.8460228681244291,0.9870999957886072,0.9910573505536098,0.7761329407600339,0.7633366016027842,1.2212695076644817,1.0915493368096187,0.7698920864505028,0.8541360145579353,1.1757110667908153,1.2421640759399515,1.2611543616824419,1.1776389800831966,1.1635188585128422,1.1255004992881703,1.2072583025817016,1.0448134174940453,1.1829540313486735,1.0306458180019387
p_normal,0.14514159718041653,0.13992214718222334,0.18627234972469023,0.174763638679845,0.13722779900202056,0.2102528996943018,0.14283218278452103,0.16223409437512123,0.16697687644269157,0.0,0.13585101313303594,0.17120775792128873,1.0493564239873467,0.7633278317806629,1.053009391296531,0.8835172213553255,0.9038647480774634,1.0299014957295187,0.7673300134644198,0.9575689305585431,0.5447280808732458,0.9723804229863987,0.8974069618722298,1.0498748181223223,0.9684702027343576,0.9406699424931068,0.742209299429471,0.8481471311074559,0.8640633105638629,0.7145621799308763,0.8892463891429775,0.9104418025700853,0.8585913212522088,0.864298671868138,1.0651289390201757,0.8578346127224241,1.0376485027609423,0.9533744054601838,1.0163848961989206,1.0077891090332267,0.9505544747749934,0.9731746823718181
