,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.2367881101645706,0.4677273535185355,0.40739445701941496,0.49490449108298495,0.4494944635821113,0.5017177843380308,0.5505763029065711,0.346523055489738,0.38322834806006567,0.45688752250195447,0.3920152304882721,0.42164207869317655,0.46375850393067936,0.5606923707950819,0.8330041899370614,0.5419393821626863,0.6097413945931205,0.7541601445678882,0.9690898289928931,0.9559994748947022,1.2229943858218504,0.5378306591872466,0.4494251218919181,0.8180180921024961,0.7084995883643886,0.5301599682476946,0.3282739733495303,0.5522522029465713,0.6229530068490114,0.8980742488106255,0.7434804838755329,0.4020205664094561,0.4670880265107238,0.7031663481170594,0.7572016497574069,0.7029578259083408,0.5265374799479825,0.5271179073138098,0.8701465302742923,0.8536093644806785,0.902090067427936
b_large,0.2367881101645706,0.0,0.3996068204114473,0.37446825142374857,0.3305080362368195,0.4816680556807913,0.47821669300189584,0.31526182417404347,0.3097880411098304,0.4605340034522236,0.3305346952376212,0.5031106733595443,0.4775383179342795,0.3027930870693688,0.6377529661096877,0.7043078796101716,0.5613937177286379,0.5694659027714426,0.42707230690613374,0.9097501818387105,0.9236442618469121,0.7570018474302432,0.4836315589134531,0.39828674881294907,0.9842161285246712,0.6558629782138836,0.8502288184851993,0.47365426355843476,0.3705760685437234,0.7344693232373902,0.8170286931993402,0.9016758447700913,0.4385231486312445,0.38812574996166027,1.0424120276373758,0.7391826805190046,0.7131325446695861,0.5034720133397564,0.293063351165821,0.7680589666957007,1.0031860654735094,0.7553792982654195
b_normal_rot90,0.4677273535185355,0.3996068204114473,0.0,0.40771314247017665,0.7071802553684865,0.4577414828394115,0.6099406823108549,0.5183094280608923,0.2787599094163195,0.5966454379207585,0.5204088062825054,0.3158552980330583,0.9960817067360593,0.7878702519548401,0.7277944112888663,1.0720585909712435,0.8576393031474854,0.6921287905473275,0.8209051015814849,1.2227657251562918,1.1198429895319306,0.7438235884572856,0.6906593327055459,0.5524233300986464,0.9488038250267361,0.9692193557975572,1.1123906339830558,0.7116366831438296,0.7194481075920282,0.8072633589268469,1.017541253512775,1.055350998008991,0.6366723065970981,0.619556860105906,0.8276118796084792,0.8302628379770214,0.5441242950922205,0.6852254846435466,0.7523706619826532,0.8495039754060345,0.5952116455527453,1.094971880771995
d_normal,0.40739445701941496,0.37446825142374857,0.40771314247017665,0.0,0.24188663728834667,0.5278936736950424,0.42205351588501366,0.47521290518976333,0.5919952060804786,0.3460863225986304,0.4296529148528034,0.2959054646984878,0.6370777183856627,0.7400564120762796,0.7164417910714848,0.580139510364448,0.8094545055261593,0.4372267204549816,0.5283543262871767,0.7187958544385374,0.6023346933487814,0.48615105124135527,0.35974176611601033,0.4402474731214115,0.8081297002862806,0.7625277628232948,0.6738767491587978,0.49726524987077536,0.5285943342110412,0.8335491723807049,0.4857999350031476,0.6703652592001218,0.9225885683729736,0.6950662409527297,0.8036739464854366,0.7909268411452774,0.7867530674915949,0.3873756762877256,0.46997213559522244,0.5197680642677516,0.9146289173631814,0.7064096808441365
d_large,0.49490449108298495,0.3305080362368195,0.7071802553684865,0.24188663728834667,0.0,0.36281957428295475,0.5537465497220191,0.31288262353759705,0.6962885740875543,0.42795861765648846,0.34816891695254265,0.36781414029990483,0.5116625278976901,0.49476073690891004,1.2312533727622175,1.0461076402883136,0.8139422615130524,0.53436095642325,0.34896134741787405,0.7493219282797983,0.8138571629521354,0.669732341531545,0.47318214256506025,0.4172344880915564,0.6865564903080938,0.7583931755881078,1.1842095926586549,0.44951815692617997,0.3934747352143927,1.1450081158580756,1.0113678243886972,0.9437750551298423,0.46269942440495204,0.4637354994976981,0.6667503860537506,0.7519601426106088,0.6157230285505743,0.593831806043143,0.34630306589126547,0.8144099237053558,0.8791572420024831,0.668598327990966
d_normal_rot90,0.4494944635821113,0.4816680556807913,0.4577414828394115,0.5278936736950424,0.36281957428295475,0.0,0.3690902490239649,0.5978934948356421,0.3528796649991684,0.468691221844885,0.4415724785774312,0.625259094051551,0.8543697237852477,0.688322064388,0.7161621524062396,0.9776150949954898,1.3866538438118974,0.6017946634069965,0.7052261607969667,0.9531521486766883,0.955776557107634,0.5065012375607454,0.7702207788173318,0.6655362229917069,1.0631472780527371,1.0357248592014512,1.0691844374762063,0.4647412736991316,0.8099121262852724,0.9022487077383542,1.0740889697997504,1.3782258983431652,0.8433033642377122,0.7152184595034258,0.8188461123041719,0.9761307025962735,0.9300376310176952,0.8248800938637757,0.661845813169135,1.1129478540832463,1.1757468729331733,1.0182133480501645
q_normal,0.5017177843380308,0.47821669300189584,0.6099406823108549,0.42205351588501366,0.5537465497220191,0.3690902490239649,0.0,0.24267121891604204,0.5072480555187312,0.32887022693319695,0.34145548160060774,0.49551484993047396,0.8473724222052019,0.4687865068237463,0.591513080102642,0.7073204344466006,1.157604356158482,0.6875802791993625,0.8414306603406027,0.6309796297547532,1.0394561326888516,0.5762531087489776,0.7699354179729326,0.5711473687873666,0.7592522454007401,0.8536849509315735,0.7911415486298763,0.5077761114673938,0.8948490901633175,0.8338822897127616,1.501585940937721,1.050713359634895,0.5479379615454532,0.7534174091564425,0.5164156348719604,1.0788243631196055,0.9606104653511623,0.5719343472551752,0.8796120705051451,1.1955336957361618,1.1384824005289267,1.0319248225568012
q_large,0.5505763029065711,0.31526182417404347,0.5183094280608923,0.47521290518976333,0.31288262353759705,0.5978934948356421,0.24267121891604204,0.0,0.5386552158954961,0.38118045686768426,0.27985795107927236,0.4457072258042704,0.5470541614322456,0.41042665042894877,0.6741604351663835,0.798325555608767,0.7171407347792642,0.6925300957331262,0.34132746520846236,0.8868268455674606,0.8753361726824522,1.0884327484423255,0.7232997795208302,0.44734211288362236,0.7687042343251693,0.6997554976206724,0.6397965094487806,0.37483171913124336,1.0571085903553181,1.1136468879171335,0.8343442495904319,0.6234227621848543,0.7999350531313016,0.6420434390151059,0.7024390131949111,0.8563499990339787,0.8234031111427554,0.6170491444831387,0.7364748805943196,0.8734102706149841,0.9734920282595624,0.9498922109608414
q_normal_rot90,0.346523055489738,0.3097880411098304,0.2787599094163195,0.5919952060804786,0.6962885740875543,0.3528796649991684,0.5072480555187312,0.5386552158954961,0.0,0.7850585027902219,0.40427439658908887,0.4242393597769339,0.9428639043386056,0.8943244268519275,0.8196746313093548,1.0084594115723275,0.5253879065439083,0.6109507333374,1.2336453426376321,1.4390359725127921,1.3688420990889034,0.9096493200006333,0.8708875794444064,0.9812783067535656,0.8959478633473332,0.5143309898305826,1.1793931036713474,0.7488479825175668,0.5986705609393979,0.9744876465412622,0.9867156312566159,0.9586670734056305,0.6197610284320854,0.7957182597133651,0.8882983162548268,1.1841861854819642,0.8881193077206742,0.728098505015549,0.5148134671085799,0.7052623292263539,0.8066125013903512,0.9764465405434681
p_normal,0.38322834806006567,0.4605340034522236,0.5966454379207585,0.3460863225986304,0.42795861765648846,0.468691221844885,0.32887022693319695,0.38118045686768426,0.7850585027902219,0.0,0.24881717093229253,0.3985102609647283,0.6497498009565273,1.00681369001052,0.7330896945544154,0.6083716080937551,0.9643810845995668,0.5494719117736279,0.518351781006186,0.9178034475360594,0.9441999480918999,0.6646982758730383,0.3437506368670688,0.4734001313077423,0.997157623900829,0.5821486850915699,0.60658554009862,0.4446871609737866,0.551315628678735,1.0620521822757214,0.604276210970772,0.9461037533953229,0.657616263156844,0.5396241617989025,0.6142800648460551,0.7383817496424695,0.9612545848109155,0.5406323369236915,0.5384031281865592,0.6364987699727533,0.7386753375104038,0.6409048942988886
p_large,0.45688752250195447,0.3305346952376212,0.5204088062825054,0.4296529148528034,0.34816891695254265,0.4415724785774312,0.34145548160060774,0.27985795107927236,0.40427439658908887,0.24881717093229253,0.0,0.4836170574509124,0.5570013056827334,0.4055589021254542,0.8403170430364275,0.6931974956875843,0.7532775135651855,0.4675014864530806,0.3174135984399009,0.9212011284820053,0.7763411352321595,1.0560381002856487,0.4742621077791887,0.30261496525921183,0.869019198572916,0.8024239936148989,0.5885929558256838,0.5387184546291848,0.28581091100821754,0.7863206868384238,0.8927146022137793,0.8314592358460284,0.7073297334794507,0.38724266896931553,0.5799718720093784,0.7733715548163362,0.6876107495191401,0.5314060834040703,0.34096789557147195,0.653321455587168,0.660168577565155,0.6943485597142205
