,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.282137809247033,0.6000306756850567,0.3677450157507234,0.36413727670681356,0.46920872224948135,0.4195397509549007,0.6073413739029547,0.5062175670103076,0.36411422705025154,0.5589407101031793,0.574176847127745,1.0080972997659174,0.8122366814468445,1.249271869205864,0.39017065788364286,0.532493217435089,0.8951417080427562,0.6312988406194813,0.5561034416203057,0.61533094899226,0.7425334849554085,1.158010989786604,0.7132176259475012,0.6711770382155314,0.7308384185416777,0.8244624595510195,0.8202210285871773,0.7901439484927448,0.8985529229552671,0.9137555922933887,0.6973695913786042,1.0525367711826894,0.6452233589145772,0.7723105795482947,0.49065202340107,1.2634635231333171,0.8367083210814859,0.7011741674494277,1.0090450210967472,0.9252831065743939,0.8225996632689878
b_large,0.282137809247033,0.0,0.509808377870414,0.39055998281530335,0.374258866980812,0.5268880826722568,0.3049682530106417,0.3662943694001454,0.8483145873320117,0.2824427690510246,0.5538285261801429,0.2956071457470399,0.5242276256733539,0.6760601567943492,1.180456215840434,0.9175104543313735,0.8596675813712406,0.8167361036147518,0.6634752061612627,0.4269044289432227,0.7903626737462776,0.9631868828728839,1.1226424029986213,0.9865609302845999,0.544817385866255,1.0331978334603724,0.9780300941063592,0.8031247496198765,0.6362427925940827,0.9038138923464178,1.119305344082922,0.9917947617377433,0.8014821929897915,0.409817979363072,0.6166087754163517,0.5075963878254589,0.5560770459725956,0.7454515943595919,0.7794688723998637,0.6561223797759982,1.0318089502747905,1.0871685866807823
b_normal_rot90,0.6000306756850567,0.509808377870414,0.0,0.4038428702576538,0.6243633916900362,0.5506158743764881,0.7823876281271195,0.6018240760046314,0.4124574155195826,0.364402535612534,0.5157972191465752,0.6143095118895273,0.7722039891418256,0.9213019101125148,0.9295072083031265,0.47082629303318796,1.1607619532085471,0.861797712972734,0.7241146964183482,0.624250542690097,0.468639703818915,0.7189898453620791,0.9489616466109392,1.11888332893121,1.55275759594481,0.7558932992968591,0.6522912406453006,0.7541097528754575,0.857855887781406,0.9165270542683023,0.6326000214554381,0.6683118366046982,0.909987133225734,0.9071184274526988,0.8483546414054997,1.111224550666708,0.461677029981795,1.1492424656406017,1.0636696060540567,0.7670010860728235,1.083455375632213,0.8104262882817956
d_normal,0.3677450157507234,0.39055998281530335,0.4038428702576538,0.0,0.3004077016366802,0.5819667820646329,0.36629984759803946,0.39850318324143696,0.3869093146089303,0.3577852571377371,0.4774212464272666,0.4930391515527845,0.7830271134942409,0.6594565970328929,1.0730429054803294,0.9090234158373627,0.9461306064712883,1.048293882273527,0.4943657960916173,0.8658398173489704,0.8532713811021053,0.8375619284626628,1.4161467240636187,1.5556558983796442,0.9411486628952012,1.1160517370484322,0.7389764109697556,0.8823349463229765,1.2426078040609114,0.5714455275078505,1.0364430900203923,0.9537452325796626,0.9432026708719216,0.7127422990259331,0.7841545551074923,0.5243967512458757,0.5935125869830075,1.2066242026514034,0.9208820611259515,0.6945498303844134,0.6059668240931926,0.7881788609281147
d_large,0.36413727670681356,0.374258866980812,0.6243633916900362,0.3004077016366802,0.0,0.4342345334206403,0.4996970764880574,0.34417462011934025,0.3668682614317565,0.4739919193781428,0.49185175351626226,0.432224646268547,0.9700486534180325,0.9576274013211791,1.0227479932055212,0.8479410393391162,0.7859595641697551,0.7870444030284046,1.0102222444054887,1.0700890064920858,0.8898905853821674,0.8980639307858843,1.35320943999383,1.584902116947741,0.7999181266631565,1.0339279177338792,0.9823413878182649,0.5887722718472492,0.601827620383696,0.9592866738477033,0.7045919189622508,0.6079792509695753,1.1526246652719343,0.5030752132817837,0.7587966233467848,0.6268256946325046,0.7119724330586359,0.8728635400499632,0.7559413937496443,0.949208844009131,0.7965497620528814,0.8202255695030478
d_normal_rot90,0.46920872224948135,0.5268880826722568,0.5506158743764881,0.5819667820646329,0.4342345334206403,0.0,0.6137861718098218,0.3894489624939603,0.35534196688247055,1.0457914950918668,0.49013755356079924,0.3389042487257661,1.0758388588747914,0.6966833084471384,1.3384748432378024,1.2323843737469184,1.133851187101318,1.089621109839126,0.7926589136613199,0.8307511198211948,0.7930816765907411,0.6298727879362545,1.4605803180368924,0.8843979883773218,1.2733802063674282,0.7517186006503763,0.9347611666039339,0.5878284863435177,0.8768471575628964,0.8939656226490893,0.9166908681262966,0.7699033172968356,1.0485171733730785,1.1626019574668105,0.49473157436475773,0.6896543060274718,1.0045162455839103,1.532282212211727,1.5731860812132241,1.001221418397602,1.5310491380158433,1.345858218142619
q_normal,0.4195397509549007,0.3049682530106417,0.7823876281271195,0.36629984759803946,0.4996970764880574,0.6137861718098218,0.0,0.37330833991539014,0.3642091091922786,0.4077886342805963,0.30149129359462107,0.4107459454491516,0.4484560553121043,0.46578232913298084,0.4574590957923457,0.5190505144388269,0.4986025679507265,0.7069162722006541,0.5966760110422968,1.020568840646213,1.3983479235971021,1.3104410193174907,0.8547541351594452,0.47835566154143355,0.9116818690092576,0.7731933757560214,0.8161104180763983,0.5305736710402917,0.5246452748955092,0.6807709889939927,1.159855446033285,0.4192922881711104,0.4164964763636892,0.41498192788694166,0.46304315674808033,0.5561776069752785,0.9283725816788047,0.7230375568345593,0.5042816401162871,0.636193222157679,0.5402690406682032,0.8981899853483105
q_large,0.6073413739029547,0.3662943694001454,0.6018240760046314,0.39850318324143696,0.34417462011934025,0.3894489624939603,0.37330833991539014,0.0,0.5095292664383407,0.334918377955487,0.32714255856127855,0.4104790633746987,1.0665377027119447,0.8653271401780717,0.8957147858600895,0.9595605891961059,1.5131424055681135,1.303636072362714,0.8597268759219406,1.3579593266189216,0.5511490478664469,1.2617490804136033,1.16765788766116,0.5790757730886787,1.361951468164177,1.0376027053011687,0.5687503230986443,1.3004348775067411,0.6480032370656988,0.6483097528817822,0.6770869407400346,0.5812912116655068,0.9060789266190531,0.7760520385205382,0.5822278204241367,0.5137635750711859,0.8440792357870062,0.5884564006354119,0.9716298512430124,0.922703890655611,0.8106396367873243,0.7560871288748304
q_normal_rot90,0.5062175670103076,0.8483145873320117,0.4124574155195826,0.3869093146089303,0.3668682614317565,0.35534196688247055,0.3642091091922786,0.5095292664383407,0.0,0.4321286597011857,0.3361656529874231,0.30518206010707083,0.6192975758045138,0.4648437547134701,1.0718866444383104,0.8514184509686469,0.8544408148495334,0.993523471460826,1.174909833317416,1.5600066142656737,1.1111149195046497,1.0894618474610562,1.4285626828946063,0.8631885147628401,1.0619358657885036,1.061187043523506,1.1868504380854574,0.6806654109355263,0.6758863946978525,0.8535552289324737,0.9824422953123444,0.5169592480690507,0.7978529982623721,0.6846298508701745,0.6744766512918772,0.8143006559168053,0.42080296697373465,0.8443574080728904,0.937764882733403,0.6891111008845014,0.553242947381081,0.7626407605510686
p_normal,0.36411422705025154,0.2824427690510246,0.364402535612534,0.3577852571377371,0.4739919193781428,1.0457914950918668,0.4077886342805963,0.334918377955487,0.4321286597011857,0.0,0.3341957323635735,0.2742105424800786,0.6937453586085682,0.6635838615986505,0.8777298211377209,0.5136155392815395,0.550304280381747,0.710731859101991,0.5856564533293055,0.9401938881184562,0.7728699408117059,1.4530236967973327,1.250333977466079,1.2480471303820142,1.0504690970747517,1.0902076401927958,0.9333318681919863,0.46594963416344276,0.5687940998884244,0.7962156528585438,0.9464105894784609,0.5450974116570152,0.8073988480476781,0.46882597703020873,0.6460325891807082,0.37327612982946917,0.5951052184129741,0.6659777282043876,0.7273038566147674,0.69732921752581,0.5985778879108992,0.7256308799080068
