,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3322780899040369,0.6340096618489314,0.3459528079278133,0.3938379316866353,0.5795038571265224,0.41238551796545053,0.45730336752391587,0.6303277984090927,0.37801396993944514,0.520503315913486,0.5702037289396997,1.4285895254800536,1.1663600030501684,1.2008625205610324,1.1263731761792084,1.3451352280891529,1.2092453358649948,0.9434395969700975,1.035507161537698,0.8880078608266998,0.8820798028538849,1.2298054189419056,0.8998633779804573,0.9257604089358498,1.2955649735135142,1.1007940155222788,1.1797384531466006,1.4377057891264897,1.0571853580849961,1.5205784196229621,1.2237329818760965,0.42963443751799746,0.4651537565619357,0.7962734634901626,0.8442880303659399,0.7564073358194133,0.7081516389671976,1.0236642673536451,1.6286778659958363,1.1273850269472172,1.324415957684438
b_large,0.3322780899040369,0.0,0.6236997473772118,0.3651393160626034,0.418310912777895,0.7254164628741009,0.6462714648307782,0.5983823910586479,0.6910435461918236,0.4526081465475197,0.4368593042321379,0.737786713868238,1.4236955679807353,1.3659394777286862,1.339973886465956,1.439162862268832,1.0599099086420707,0.8305463683736428,0.9927822734878108,0.8747653356692302,1.297914000299258,1.045344587792818,0.9436475612941931,0.9127221018452657,1.202306219733833,0.9316493795657533,0.845639089885085,1.0199102623053953,1.2958704006159314,1.571302018651452,1.3272383708506617,1.5337885946561498,0.5118334774961019,0.5137460108322051,0.5263058736204779,0.853009355643171,0.7728745054087433,1.207313597880746,1.3509806261671078,1.3909463991338065,1.4254797287712904,1.2384919723378525
b_normal_rot90,0.6340096618489314,0.6236997473772118,0.0,0.5057277327402168,0.41587190003889896,0.2964580571099865,0.8710560618228469,0.7161635827315133,0.3070236549832339,0.9805726969928436,0.7749027586817393,0.5386263360406475,1.0460024339604999,1.1475572344006102,1.3052497016484086,1.055636287543059,1.1685311695392129,0.9608884446577219,1.3265035850224414,1.1634284656913552,1.2766563981932373,0.7799627866382528,0.8778632639521396,0.803152712871281,1.2225984203757254,1.321524426226231,0.6610932706169663,1.206709640406641,1.5686569076075991,1.4049768675663115,1.3492040201461883,1.2653787789489523,0.6570744560269185,0.7810944401840488,0.4044905963528624,0.8618500915837153,0.7084883357540656,1.1827454713038847,1.176126580281458,1.1819653974106776,0.8360844401995402,1.0799794250473198
d_normal,0.3459528079278133,0.3651393160626034,0.5057277327402168,0.0,0.4959318254058806,0.5723474855675226,0.6481113748418508,0.5896922481239023,0.5906480138009657,0.4658539808215946,0.6171645405107561,0.5053852453077056,1.4533187804420051,1.3359876195314369,1.1460366638982722,1.1888448196158614,1.4527998124733095,0.687212195899422,0.633931877005028,1.0351836340533886,1.2970525044519718,0.9479805352470889,1.167644344360187,1.1913889132518567,1.20967286180614,1.0514515102079294,1.1876365890180667,1.2229480077600012,1.1934281544982783,1.275083849502516,1.4733807466309272,1.351185202947459,0.7665328795262284,0.7655000739529435,0.5243715284693681,1.0424267675269978,1.1008774966055817,1.0531206888387177,0.7934232160685945,1.2420059728737802,1.0283249861017119,1.3075156296593162
d_large,0.3938379316866353,0.418310912777895,0.41587190003889896,0.4959318254058806,0.0,0.7278524886976523,0.6954465229116118,0.6102548608681035,0.6344688240724037,0.6948138452865033,0.6015920236037454,0.41649171891982406,0.8768809313673234,1.1864787370825578,1.6752227039574363,1.3534148302672744,1.2358439442819595,0.9451921704350275,0.7605679300946074,0.9247996837351323,1.1077867652782214,0.9537983365315752,1.610438370521184,1.3512016549153572,1.1624896130917275,1.5345225446051516,1.2077930063150488,0.8632069394863291,1.229630208266851,1.4695454009888698,0.9758858714657496,1.1965726060997428,0.6887576009915981,0.6707563661953729,0.9049418995903867,0.8532843771065203,0.9387582322516239,1.449521012128502,1.3142690845984915,0.8366061967332,1.4615550481987605,1.0550749136516466
d_normal_rot90,0.5795038571265224,0.7254164628741009,0.2964580571099865,0.5723474855675226,0.7278524886976523,0.0,0.5368756223464923,0.5926408845247673,0.359385155732041,0.6582462178198824,0.5323535628906246,0.5760958549437721,1.1431087582331565,0.7898907962272591,0.9061224008076647,0.9844872805631966,1.4929221902277419,1.0552662685230052,1.1066521041921764,1.0051872693373818,1.209228853823685,0.7837808963938833,1.1847768713685363,0.8680777511822151,0.8543364800706714,1.085925882316713,0.8881892107257428,1.137108253973659,0.9387708052717268,1.3385389850345,1.216287966662104,1.2500018355239066,0.8150933093727597,1.0417228439054744,0.651468516407988,0.5588937970394308,0.5629978013267726,1.1161734301867763,1.3014291368156377,1.0000925697521954,1.0067212600950295,1.0390994688880784
q_normal,0.41238551796545053,0.6462714648307782,0.8710560618228469,0.6481113748418508,0.6954465229116118,0.5368756223464923,0.0,0.42382214583210465,0.773201391791897,0.3925094386753737,0.41745877252167396,0.6064737929852583,0.9316048799901169,1.3645151038372108,1.3460610449268353,1.183760941581462,1.068960215324027,1.281346165227928,1.1639652421130815,1.1224303875739856,1.1918337440391602,1.6554658315750923,1.3477534053224283,1.4609002643036786,0.6229798432412538,1.0445020121780921,0.7186623086291439,1.311855662880862,1.278298833041693,1.0470824657019775,1.0312570601682665,1.1971026413471302,1.1007331336049289,1.2154059441111231,0.6910681427475915,0.4820174752257303,0.8137119244925484,0.9294688722138402,1.1729390833077957,1.2930765846534402,1.4824382269516752,0.993622236096281
q_large,0.45730336752391587,0.5983823910586479,0.7161635827315133,0.5896922481239023,0.6102548608681035,0.5926408845247673,0.42382214583210465,0.0,0.5530077546180548,0.32800459443163327,0.42151828089048937,0.580037048565121,1.5325024847498772,1.361806342579995,1.0305146898778919,1.2282063290309075,1.3622693821665415,0.8104985599669597,0.6937363598790918,0.8226450493144943,0.9692724798993126,0.5419355138368342,0.8332372602870264,0.9502259882587307,0.9063153689665918,0.7786248615161302,0.6938106041034001,1.1952258558087259,1.3013212278605049,1.2210786460688343,1.0694658967806316,1.1074490901341774,0.6526190798784612,0.5462990489784455,0.541663009951421,0.9009541047499737,0.9094514405569756,1.4823483077393516,0.9929452289809466,1.5451027412126908,1.5903637618558364,1.3413602647543317
q_normal_rot90,0.6303277984090927,0.6910435461918236,0.3070236549832339,0.5906480138009657,0.6344688240724037,0.359385155732041,0.773201391791897,0.5530077546180548,0.0,0.644903681558571,0.5374835345239076,0.4695153416790346,0.9343068009453553,1.2236958114634544,1.5078045764148487,0.7769254661779647,1.3332901689789025,0.905158930322632,0.7158840396778957,1.033294319654875,1.1074763516254933,0.8719861715005013,0.5097698076676428,1.5564751449905376,0.8804102327406829,1.0284751088763349,1.2010258418263982,1.0635462531271784,1.0210183869599447,1.433417504340729,1.2242126184022588,1.3039999034737946,0.6170989322133742,0.8882084368382959,0.901308066835432,0.8335995251441956,0.9482215268247836,1.5174825339037474,0.9156771349260724,1.1258301965194035,1.1048243058555713,1.1546825403913255
p_normal,0.37801396993944514,0.4526081465475197,0.9805726969928436,0.4658539808215946,0.6948138452865033,0.6582462178198824,0.3925094386753737,0.32800459443163327,0.644903681558571,0.0,0.35332904050915526,0.46526387790783885,0.9949336597851804,0.8450527130350931,1.2095896209822623,1.306064494346709,1.1019436646826835,0.8777960487357589,0.6422864703359762,1.246070611810542,0.848700765067502,0.8700252155829278,1.1418290486817437,1.3645064407393088,1.1159912506851126,0.8112408017726144,1.1346150241568935,1.0405907363141953,1.3486609411696433,0.8700580571009783,1.1189770264444887,1.3155645657505102,0.5127985460105899,0.648431949876504,0.6597170062131908,1.2205083937701555,1.219955976914792,1.4502574497991794,1.2770319094450466,1.4876472418268891,1.597035379189585,1.4964810144657557
