,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.24877999494948969,0.2290603109539327,1.0763559375785623,0.92380295470434,0.832315018156721,0.6300963104098336,1.1838336617078153,0.6933079860763964,0.8134088823121589,0.9440355348243448,0.5696250659757657,0.8761169565926625,1.3461377335704419,1.1348940838398884,1.3912152955321442,1.0354956850669421,1.2006818071973613,0.9061386729235694,1.3330930450301806,1.1814129598027725,1.4119710851439062,1.6695242352511397,1.0375134557327508,1.0864651334178999,1.370709123653495,1.0048202307705116,0.9513900131441024,0.9973433458072962,1.0519599889966709,1.2731419701890128,1.197702340859965,1.2244853804337468,1.287469485670316,1.1940128126450107,1.086336257815331,1.1165311097939588,0.8173275615778881,1.0843529748159133,1.2890172428694113,1.099447981356273,1.1730362237141359
b_large,0.24877999494948969,0.0,0.2680195578468895,0.49117812387238385,0.6578473766000971,0.46915077712571834,0.7224878383055491,0.6123920728929643,0.685356724906509,0.7696009930501708,0.9881689815033695,0.6498333123085831,1.1122491545020936,1.4821998544958137,0.9881455092162952,1.1176972369985894,0.932719761544262,0.9688992727889139,0.9878513831591771,0.8446861680646844,1.1860802170461426,1.462228154014392,0.8553653908328444,1.083874920839573,1.1789178657480612,1.2950748237551075,1.0580291624754397,1.2993391879930336,1.222526153540689,1.4496209390643533,1.32247348075333,1.614717977762584,1.3102543637315207,1.3079691034930194,1.3299764435521064,1.267108795876225,1.2744180992239866,1.5166593637576102,1.401564867563522,1.286505952148412,1.3694557752694378,1.2347216354872859
b_normal_rot90,0.2290603109539327,0.2680195578468895,0.0,0.9179027733656532,1.4070084184671092,1.3781250513045396,0.43014061534494186,0.948039339820984,0.6518634937862469,0.8675103473734624,0.9872980724139595,0.4239190979525573,0.9164161370494188,1.6649787861840037,1.6383020562355035,1.543414594374256,0.956141473783066,1.1746736068805959,1.0622632053297338,1.0048259067482082,1.3870779793124794,1.2375135867524327,1.0529842021133302,1.2246693284426124,1.2421474512234072,1.25296053617736,0.8087760334655142,1.3657666387484428,1.2870240645766076,1.5372908803517022,1.2846380687917203,1.6941956820977206,0.942475689508741,1.1851098841582548,0.9024052303071102,0.9931352302849101,1.2249485090253633,1.4648356423963673,1.4372569541908988,0.8524717215136808,1.1494354747686872,1.1429940671463843
d_normal,1.0763559375785623,0.49117812387238385,0.9179027733656532,0.0,0.25346231244628054,0.27105499506029873,0.8816058204511561,0.6919005498405912,0.8037837079986238,0.7040366444956996,0.9708683203062793,1.0146280887164294,1.0780386440275513,1.1826671107021949,1.0753363935395495,1.1915834894079342,0.9843111967357457,0.8159199880736713,0.9605448829488659,0.8446633946982807,1.1228043006290085,0.7967888703809548,1.3200219004629472,1.5144563946795149,0.8984846387096047,1.4889098805840595,0.9754322846790636,0.9166215626064663,1.2591652771730102,1.0273545878473165,1.0156560535916237,1.1548924172517294,1.0163496162547445,0.9073390759421659,0.9824567193127567,1.2573284403283609,1.4213329284039267,1.1267568777718295,1.3184983407706012,1.1639227183685794,1.187985249064532,1.0706402427078063
d_large,0.92380295470434,0.6578473766000971,1.4070084184671092,0.25346231244628054,0.0,0.2596406942178504,1.2961092917673873,1.2812675287405724,0.7123458260122172,0.7034336603672773,1.4765134369830228,1.069055749724939,1.177531137607836,1.3822422109899697,1.3074644261941093,1.4233451331870228,1.173928876122098,1.0732753761666602,0.9169209285048913,1.043320883296872,0.8839718103272866,0.9738659500965511,1.372212762959259,0.8031906287251016,0.9550800089362221,0.9979769393963625,0.948352181224999,1.0293667557644763,1.2565694123691558,1.167248122456118,1.0845040982322054,1.646573322826611,1.1717780274096765,1.10653015302601,1.0010539544128503,1.0209206132258901,1.2378554751843802,1.026610661148034,1.356964338669415,1.3071957181276477,1.0051388790149656,1.3665114003481105
d_normal_rot90,0.832315018156721,0.46915077712571834,1.3781250513045396,0.27105499506029873,0.2596406942178504,0.0,0.5971630401103654,0.6883272460910452,0.3932215668426448,0.7965457999875281,0.8125558056486937,0.6002841779204843,1.4581516039123368,1.1255481963110354,1.2258370492079573,1.4595160402688347,1.421191135519926,0.920130293312682,0.851377692088242,0.9764216233570261,0.7783551113149312,0.8377206857728969,1.1073099802177566,1.1954452440541354,1.020148647928215,1.3928465177995542,1.3148503256413062,1.2510626752402256,1.0490798754965547,0.9992417749958912,1.3979790396683398,1.2550526198641654,1.1853311401143753,0.8394393216680309,1.2917947636840186,1.293683701754765,1.1777001063025103,1.0228546207022873,1.0326893844328964,1.1754677385490488,1.1514646522264955,0.9381160266056833
q_normal,0.6300963104098336,0.7224878383055491,0.43014061534494186,0.8816058204511561,1.2961092917673873,0.5971630401103654,0.0,0.22087116100280899,0.4335562957166326,0.5179336404315716,0.5806834846147999,0.3422916327161569,1.5269194585317276,1.2606946834019759,1.2066285553737788,1.662100624125801,0.9897294369869666,1.0471875217961832,0.9272610610388899,1.2966716985474693,0.7973147604735329,1.2265580250377595,1.0807808362048699,1.039304917658359,1.010751280136006,0.8762396708399111,1.0442063369006254,1.2526362834008078,1.107896649686139,1.2538097760750189,1.3963132380118535,1.3148378291073735,1.7232524852749833,1.6418414096094847,1.0583982879840443,1.0780593057949712,1.2558779279580417,1.2385607816350594,1.1716946868391065,1.038775538179858,1.1866159026521006,1.049501841424456
q_large,1.1838336617078153,0.6123920728929643,0.948039339820984,0.6919005498405912,1.2812675287405724,0.6883272460910452,0.22087116100280899,0.0,0.3311034407400446,0.6765171158695673,0.5853828420500029,0.6778956894113916,1.4479256424742388,0.9611174389748449,1.1993981400619036,1.3993817558928223,1.163553458814939,0.8647154758675365,1.1577140155029657,0.8759131347603573,1.1996739305132225,0.9239940702294859,0.9221495837223184,1.0375451384230547,1.360060441719595,0.8190936548936326,1.561642163867021,1.3704922993169693,1.1385495151278682,1.2439507156762766,1.227350148272049,1.5026246747386853,1.5400287180831125,1.4747912304488244,1.0908968565378134,1.1345863908142144,1.1941204633123634,1.217936224237147,1.1830410381099425,1.1989489988740551,1.548672996280951,1.3802459143596049
q_normal_rot90,0.6933079860763964,0.685356724906509,0.6518634937862469,0.8037837079986238,0.7123458260122172,0.3932215668426448,0.4335562957166326,0.3311034407400446,0.0,0.442613069108545,0.7606126866791126,0.5788842319258909,1.6477153967351257,1.3587395306512366,1.44192554980098,1.4920464809521854,1.281714225087867,1.0571928961844215,1.4399140598955322,1.5171512704627983,1.049514594944851,1.2071401231688332,1.03964159155693,1.1710207255957152,0.9927927809178725,0.8168888996865693,1.1587147303263836,1.3584243967480103,1.142498333894848,0.8500910117611667,1.2594269848317852,1.448375200569826,1.39609831990672,0.9676935695759189,1.0305910644579417,1.091713361795524,1.1584368804460337,1.0585983151228615,1.1506014436831418,1.262668995799033,0.9381380986559369,1.157271627973759
p_normal,0.8134088823121589,0.7696009930501708,0.8675103473734624,0.7040366444956996,0.7034336603672773,0.7965457999875281,0.5179336404315716,0.6765171158695673,0.442613069108545,0.0,0.28901815683623916,0.26663900353082315,1.142070170447199,1.3704986832480668,1.2636942650497704,1.3991550376492148,1.3563739847358827,1.3268702587874706,0.900458275104336,1.5616421241007359,1.0342688258913888,1.1591039333467272,1.4548815739986727,1.148658271724987,1.189211550778102,1.196932810969274,1.3258742466940767,1.107795172347621,1.38933060215198,0.987924249000521,1.285272329629024,1.1871810362809734,1.1532392763395083,1.0938432327188765,1.0936983837140966,0.8932117518834269,0.9731830049439237,1.2722445313205446,1.2966962757450804,1.228659615647612,1.1974867823600732,1.2231034641144394
