,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.23920239407380833,0.41666867008078434,0.5490032345062678,0.7068205987279726,0.48039938132866283,0.7022208663481999,0.5103043362022991,0.4327810166394025,0.5325830769647045,0.44674431851382995,0.4944594374589585,0.7692907874866031,1.3695902882102602,1.1053438613464535,0.78072909147835,0.8456965713036615,0.9146286550322723,0.779278417515191,0.9866083272792546,0.7591386558938599,0.8667490905429472,1.2404698269117762,1.1443408482810844,0.9840724520129179,1.3263707457425282,0.9493184398351411,1.038463870249056,1.0962032312578789,1.5165929340264346,0.9247069807022228,1.0951870586360397,0.985557561281574,1.2883640372663123,1.17857727706568,0.8045349585988034,1.4921271198653694,0.9786146362942582,0.8954235818719423,1.1945890344077663,1.0442714230144166,1.2649388676284128
b_large,0.23920239407380833,0.0,0.39714666385851816,0.3997440579534743,0.5480367567774032,0.493812083429209,0.42018046896378086,0.4101161407476509,0.4826151417951676,0.4128207652325985,0.4962841524824806,0.47772814688863097,1.3715407955818648,1.1066216108694504,1.268798683123622,1.2920931334884678,1.0854934763805857,0.9471887510822157,0.6801253394745037,0.8939475700526618,1.1641405139174266,0.8984359747703046,1.1090024922516748,1.1609064721760514,0.7995867902825129,1.091681486218282,1.037551569365393,1.2000158228379414,1.3626644600087474,1.1237808713817934,1.3139050388799882,1.1198484371781419,0.8662509311308144,0.7518155137867781,1.0232903375756734,0.6317782196289129,0.8113159567969055,0.8165314084468693,1.1248840932724533,1.3057089521114846,0.9739054428220673,1.10194492867486
b_normal_rot90,0.41666867008078434,0.39714666385851816,0.0,0.3571023726284801,0.3886384472587139,0.3188062648931016,0.5278782931385081,0.4115964962637028,0.5130213967931289,0.5350724767262548,0.4040551591057639,0.45913331291110415,0.8518288920470694,1.0884651064729474,0.8935586241123015,1.184382806399758,1.039938157470056,0.9789210199667897,1.0268419288845647,0.6898651595328119,0.8194338411875965,0.7777628903515325,1.0082746167968957,1.1083573375622868,1.2304524172390194,0.8930026029351146,1.2090623058408299,1.5324083592891788,1.157946815973542,1.1933460598933283,1.2265431852071236,1.320775997998977,0.8532236046505622,1.1137656017474236,1.3066438094162076,0.8155380981742335,1.318190754149065,1.2591788977742424,1.0762452992426104,1.1687553797030743,0.8431417110275328,0.9449782450055856
d_normal,0.5490032345062678,0.3997440579534743,0.3571023726284801,0.0,0.2622634189927277,0.43560867844114937,0.3592025110426418,0.5168431850470521,0.5536928742882047,0.6424360071377119,0.5328149817456868,0.43871411089464873,1.345534875887485,1.3349402919916693,0.9636915548314527,1.1505091841214683,1.1138339312465524,0.8463093897039394,0.7968824521531199,0.6875599960777866,0.8721400329019504,0.8221899543340901,1.1467884146648135,0.952490003390664,1.2290698946674192,1.002274965800453,0.9355864500987066,1.1450182971559075,1.329767454133043,1.191236191016462,1.2141437874893506,1.0294625893424438,1.1446331811830441,0.9719132869775216,1.1859617697017026,0.660354697286284,1.0582053260105275,1.2165663865539946,1.1108618585681818,0.9950136984111553,0.9952808965643622,0.961429801951781
d_large,0.7068205987279726,0.5480367567774032,0.3886384472587139,0.2622634189927277,0.0,0.39040753101397246,0.5743520017818162,0.5160633423511964,0.6975090254111255,0.533143766789471,0.636876219452903,0.597224590210115,1.154568052390926,0.7014209629738384,0.8631390068986565,1.100161333290413,1.1096946020834604,0.6428398629399636,0.7149215320592948,0.6771188053975479,0.9022092545476328,0.817507511933408,1.0730884251176314,0.7515553596016409,1.1043633340536727,1.1773302219555926,0.8230228544531419,0.960264291280994,0.7963908756101334,1.1471925182972804,1.128900177480014,0.8578529800686989,0.9700698806451711,1.1187271905471883,1.2095783346507256,1.0534166392367275,0.9431395434022128,1.0035675600602472,1.0391090226064692,0.8856548957182593,1.017554068315199,0.8436500302813286
d_normal_rot90,0.48039938132866283,0.493812083429209,0.3188062648931016,0.43560867844114937,0.39040753101397246,0.0,0.4199546952484428,0.3410048141146443,0.4356943185158492,0.7013038770047619,0.42342131692845697,0.6472584635832886,0.9874429887687189,1.1045817466220729,0.9651185993867659,1.1618383466069147,1.011406425545209,0.7633674628105972,0.943588857752731,0.7703773336016476,0.6488396478453003,0.5450247473296695,0.9862606385348908,1.1129905377213831,1.0212464203282354,1.1362864219469286,0.8291685485681694,1.104572583037135,1.0758003816928265,1.0347395547706024,1.1766107727386,0.8875054097561267,0.9847375597589281,1.2267500313188697,1.180155408517601,0.8065718679272312,1.2238370856082808,1.0333011690291354,1.132267223222863,1.1369280489269276,1.0678472996902204,1.4189810448259572
q_normal,0.7022208663481999,0.42018046896378086,0.5278782931385081,0.3592025110426418,0.5743520017818162,0.4199546952484428,0.0,0.2732302603463526,0.5743570546958703,0.3825130140482946,0.45310851032593014,0.665223182625321,1.2169119393981858,1.4906723155706412,1.0518078991597786,0.9838736155690976,1.200578125236855,0.7301572222080761,0.5734465837905489,0.8192399872414973,0.8024353745069043,0.7589310932811109,0.9510372925748329,0.6196206304226565,0.982169425367464,1.0372271824398898,0.8646825607059384,1.3555577817336235,1.2812597554668708,1.1329410037770207,1.1232564011467268,1.094368855349197,1.1054619050991892,1.1071487706642043,1.2426657863456705,0.961509494582281,1.0838997976905924,1.1198248264269746,1.274921471542168,1.2205658445780605,1.1116094949151998,0.9693204159180022
q_large,0.5103043362022991,0.4101161407476509,0.4115964962637028,0.5168431850470521,0.5160633423511964,0.3410048141146443,0.2732302603463526,0.0,0.44769586620988505,0.6543680459850839,0.6072672918119238,0.675981073407115,1.2426655376601135,1.3512136620200028,1.1489731206498441,1.231797462735892,1.2436991420947363,0.8582974357522278,0.8012141986889506,1.2218585787821266,0.8293092820831655,0.7491003173295463,0.898120262832773,1.2015726668987254,0.8422968856424464,0.9066566045752231,0.9247266549088045,1.2660531987293486,1.1991315473187298,1.149956757879726,1.1766971718295403,1.037466515291615,0.9340956044198652,1.2552857026361508,1.2384081941221354,0.8003572129914562,1.1532373808641299,1.0775648769256843,0.8304907942796893,0.9158723792907122,0.9978432404865134,1.0704222306853362
q_normal_rot90,0.4327810166394025,0.4826151417951676,0.5130213967931289,0.5536928742882047,0.6975090254111255,0.4356943185158492,0.5743570546958703,0.44769586620988505,0.0,0.46080769931750404,0.4180753170503853,0.27016954073597277,1.0989484648894174,1.0690706803009389,1.0734938936232026,1.1858006047108942,1.2340514981740587,0.8922785994604239,0.7987825217704134,0.977817794324227,0.8455074321332696,0.5972295532586971,0.944890438909241,0.7797452056128202,0.9688233382878194,1.1710267826247747,0.8845416135763137,1.1730770686685903,0.9516037198339968,1.0594501502273008,1.1852679844779277,0.8987962140182016,0.8099354793289641,1.0605117826202777,1.4313601525626665,0.8356078359037736,1.2022566917862598,0.9088056752384673,1.2531150935890472,1.1820941160219691,1.2125695989451502,1.3268680677457418
p_normal,0.5325830769647045,0.4128207652325985,0.5350724767262548,0.6424360071377119,0.533143766789471,0.7013038770047619,0.3825130140482946,0.6543680459850839,0.46080769931750404,0.0,0.2452185835306595,0.45221302466857144,0.9874714448155433,1.233162194503135,0.8270323566249114,0.9554249959303822,0.9274775651884971,0.9434582965206482,0.5742667977162048,1.0239650963255653,1.3530183142745646,1.5040843334823224,1.4493518930224938,1.5363466873692018,1.317291765899152,0.870157000643768,0.7544638783293598,1.1580418771807355,1.0547941199226845,0.9597262493258527,0.9412563292115655,0.9256661589557806,0.8513678978866058,0.9774596214029669,1.2054327245389804,1.5196338509243053,0.8750098792582504,0.9032290844101009,1.0963103731234092,1.2516568678686115,0.7353172224002729,0.8514435697223659
p_large,0.44674431851382995,0.4962841524824806,0.4040551591057639,0.5328149817456868,0.636876219452903,0.42342131692845697,0.45310851032593014,0.6072672918119238,0.4180753170503853,0.2452185835306595,0.0,0.5460591256418018,1.383379112605282,0.8392071564702749,1.1565901375225311,1.387235560184549,1.2577713857004795,0.7761271843792792,0.663053788821224,0.899173544412939,0.8322466762423337,0.8402314601179803,1.1585640597017415,0.9741057996340811,1.1695205909831694,0.9501922585495659,0.9067815967110988,1.0637391708233286,0.6810838593653793,1.1540374122733688,1.3420886393632327,1.1323264714086283,1.0222735503092826,0.9319303336960645,1.042064419783653,0.7840066325490055,0.7564109907539918,1.239198683221978,1.5054135983211878,1.1868608392607674,1.155601697614482,1.1901616325756057
p_normal_rot90,0.4944594374589585,0.47772814688863097,0.45913331291110415,0.43871411089464873,0.597224590210115,0.6472584635832886,0.665223182625321,0.675981073407115,0.27016954073597277,0.45221302466857144,0.5460591256418018,0.0,1.3203778109551547,0.9661351381167167,1.0433425674151493,0.7569050272329303,0.8291323107441638,0.7069258915711458,0.6994898760340836,0.8362446636875536,0.897579021726732,0.8253212301496188,0.6638456194340279,0.8836435813540615,0.9038364234441154,1.3202564617623418,0.7102099433807308,0.848942414070572,0.6965973250731281,0.8648074031602833,0.9998216188562664,0.5890590523292547,0.9698843638304243,0.9823646087610945,1.2054948999092163,1.0879238934655309,1.1513484479717573,1.065539758351077,0.9477286214394431,1.0876508360556403,0.9939189921259288,1.2202746315237927
r_normal,0.7692907874866031,1.3715407955818648,0.8518288920470694,1.345534875887485,1.154568052390926,0.9874429887687189,1.2169119393981858,1.2426655376601135,1.0989484648894174,0.9874714448155433,1.383379112605282,1.3203778109551547,0.0,0.2698243469414669,0.3380391157014311,0.5157802976061029,0.4455555026160127,0.8210640864181561,1.0032126239055459,0.920520781121931,0.9231297207721385,0.9717595671240508,1.0412388568585063,0.8004521535959073,0.7039837905909971,0.995515638393595,1.049736008570308,1.0136037463299374,0.9464932749259285,0.7903389099264633,0.7411854846867887,0.7213909150101798,1.310371600836934,0.8478325649727783,1.11333528355855,1.2725939794179082,1.00997375138457,0.8169146213082177,0.6966506622359219,0.9668827829811297,0.8227399419363576,0.9409410937131227
r_large,1.3695902882102602,1.1066216108694504,1.0884651064729474,1.3349402919916693,0.7014209629738384,1.1045817466220729,1.4906723155706412,1.3512136620200028,1.0690706803009389,1.233162194503135,0.8392071564702749,0.9661351381167167,0.2698243469414669,0.0,0.38434689385308796,0.42922888961287625,0.385807033552699,0.7819843418518304,0.9733621941076966,1.0400390399476693,1.0235033803554838,0.8231251509189923,1.407890645806022,0.749667464745304,1.123492044837056,1.2151099302226995,1.2698109528329167,1.281429584668186,1.0512704253409362,0.9583020768180321,0.9039484654564173,0.6614298534567656,0.8173318251874541,0.7476117114022698,1.3194070094348904,0.8535526143478681,1.0296243041462705,0.8574785519136348,0.8975986254572135,0.8983178501704595,0.8412154369762325,0.9725606959657486
r_normal_flip_h,1.1053438613464535,1.268798683123622,0.8935586241123015,0.9636915548314527,0.8631390068986565,0.9651185993867659,1.0518078991597786,1.1489731206498441,1.0734938936232026,0.8270323566249114,1.1565901375225311,1.0433425674151493,0.3380391157014311,0.38434689385308796,0.0,0.28557948847142706,0.3305505079195515,0.9880522573832377,1.031589497291828,0.8554961916059697,1.4237666996433351,0.8444123527354379,1.182414047677105,1.0054331497989661,0.938603180570598,0.8444714804005193,0.8498451406301808,1.0069282716827161,0.9049073283083342,0.5529395050047755,0.7645301957716434,0.7049725880173674,1.08791803154425,0.974398909476967,0.7667172270106577,1.1549096621899706,0.9298479713313682,0.9323565123775831,1.1032254558231038,1.0153191377591038,0.9967916360194543,1.1021812077068704
r_normal_flip_v,0.78072909147835,1.2920931334884678,1.184382806399758,1.1505091841214683,1.100161333290413,1.1618383466069147,0.9838736155690976,1.231797462735892,1.1858006047108942,0.9554249959303822,1.387235560184549,0.7569050272329303,0.5157802976061029,0.42922888961287625,0.28557948847142706,0.0,0.3121414526982225,1.2783547242342579,1.0357125085246817,1.0971665092082938,1.0632305129859867,1.3973453963598244,1.072960809043572,0.9831780783760119,0.881340242365398,1.246574189874656,1.1197294762773506,1.033205878948045,0.7907661087418282,0.8431285330648881,0.4835945870524667,0.6425673011343391,1.316218823072757,1.43209241595612,1.0735070926328314,1.1227267399143106,0.9313276197907088,1.016368658377007,0.9171931399571931,0.7759454291553101,0.685888997362821,0.726482472416414
r_normal_rot90,0.8456965713036615,1.0854934763805857,1.039938157470056,1.1138339312465524,1.1096946020834604,1.011406425545209,1.200578125236855,1.2436991420947363,1.2340514981740587,0.9274775651884971,1.2577713857004795,0.8291323107441638,0.4455555026160127,0.385807033552699,0.3305505079195515,0.3121414526982225,0.0,0.8467101893126494,1.380902806759511,1.10669646295278,1.4323686380527143,0.6611573818525358,1.404631633478009,0.8276921495125397,0.9127526891395304,1.336472374528292,1.237424563068319,0.6788886010195744,0.6854210877449286,0.6995221658318472,1.1112923673252593,0.3712129296938966,1.0965095072567608,1.1080943401175323,1.2077033778221296,0.9733769375688529,1.1451707749923683,1.0777978009292217,0.8007483213071056,1.0916595811861722,0.7519638209849034,1.0378931818795667
a_normal,0.9146286550322723,0.9471887510822157,0.9789210199667897,0.8463093897039394,0.6428398629399636,0.7633674628105972,0.7301572222080761,0.8582974357522278,0.8922785994604239,0.9434582965206482,0.7761271843792792,0.7069258915711458,0.8210640864181561,0.7819843418518304,0.9880522573832377,1.2783547242342579,0.8467101893126494,0.0,0.2383379661305074,0.3537938030349849,0.3336973828450495,0.39021745386040024,0.5656742234157058,0.7705258806001314,0.6447398989783377,0.8069497617796216,0.8184527509754608,1.3150094196499158,1.046337426022628,1.1261345414568835,1.294533798697908,1.1118469857737003,0.9550333848585788,1.0031267378878177,1.1086968339569392,1.2619165826362138,1.0114033411378476,1.3502461403956734,1.2262741525068872,1.1993814316790148,0.9738512499499214,1.2646018668516026
a_large,0.779278417515191,0.6801253394745037,1.0268419288845647,0.7968824521531199,0.7149215320592948,0.943588857752731,0.5734465837905489,0.8012141986889506,0.7987825217704134,0.5742667977162048,0.663053788821224,0.6994898760340836,1.0032126239055459,0.9733621941076966,1.031589497291828,1.0357125085246817,1.380902806759511,0.2383379661305074,0.0,0.3740240359894235,0.42299433819330307,0.38863664659854213,0.6467833843583661,0.5819372947004182,0.6350892433633686,0.963754322384179,0.7967667035923119,1.3171652608369897,1.1976720983198312,1.250862206817096,0.9139111335971867,1.350605545288278,1.1134848751731279,0.8974124425605053,0.9096919662094117,1.3101010996089202,0.8965665419389641,1.0116617063811837,0.8371887665706989,1.4019177869090822,0.9159302306351385,0.6866430349087458
a_normal_flip_h,0.9866083272792546,0.8939475700526618,0.6898651595328119,0.6875599960777866,0.6771188053975479,0.7703773336016476,0.8192399872414973,1.2218585787821266,0.977817794324227,1.0239650963255653,0.899173544412939,0.8362446636875536,0.920520781121931,1.0400390399476693,0.8554961916059697,1.0971665092082938,1.10669646295278,0.3537938030349849,0.3740240359894235,0.0,0.31896739852541867,0.2610804862148045,1.0420752128966102,0.7510611869338714,0.7136091323646309,0.6348510769015557,0.5347294921314809,1.3515052462269415,1.2325960051842337,1.228997427290513,1.0235859669799139,0.8429375516719027,1.3034615694316127,1.0327375618943553,1.1531324459815546,0.8193184873896889,1.1476601662426211,1.0075266386387423,1.4191614143365952,1.2740563587233487,0.9628823865541845,1.1501333643644083
a_normal_flip_v,0.7591386558938599,1.1641405139174266,0.8194338411875965,0.8721400329019504,0.9022092545476328,0.6488396478453003,0.8024353745069043,0.8293092820831655,0.8455074321332696,1.3530183142745646,0.8322466762423337,0.897579021726732,0.9231297207721385,1.0235033803554838,1.4237666996433351,1.0632305129859867,1.4323686380527143,0.3336973828450495,0.42299433819330307,0.31896739852541867,0.0,0.26359305857545906,0.7766946164382412,0.8154077244766589,0.5522914468244091,0.5118811076953915,0.979733173417764,1.1002997456186923,0.8684071652587082,0.8604589568964222,1.2463626191387733,1.1499844450117898,1.1315141984362742,1.0496140659576823,1.182691117784306,1.0168335111204092,0.9210743289119054,1.2876327808866217,1.2244865731836112,1.0481536452012026,1.1123128319346893,1.3591079965233952
a_normal_rot90,0.8667490905429472,0.8984359747703046,0.7777628903515325,0.8221899543340901,0.817507511933408,0.5450247473296695,0.7589310932811109,0.7491003173295463,0.5972295532586971,1.5040843334823224,0.8402314601179803,0.8253212301496188,0.9717595671240508,0.8231251509189923,0.8444123527354379,1.3973453963598244,0.6611573818525358,0.39021745386040024,0.38863664659854213,0.2610804862148045,0.26359305857545906,0.0,0.7261719541964724,0.705665006470108,0.842316487295506,0.6532957346142853,1.0608957004488098,1.320310041732458,1.0418011756861192,0.7836415757581304,1.1818152463531302,1.4237029759283544,0.9900738048760926,1.0132758218265705,1.181277751248539,1.1419711376064325,1.06463187763343,1.5894640054654168,1.2119976107358237,1.4015040990393939,1.1054332792910444,1.4656790390929146
e_normal,1.2404698269117762,1.1090024922516748,1.0082746167968957,1.1467884146648135,1.0730884251176314,0.9862606385348908,0.9510372925748329,0.898120262832773,0.944890438909241,1.4493518930224938,1.1585640597017415,0.6638456194340279,1.0412388568585063,1.407890645806022,1.182414047677105,1.072960809043572,1.404631633478009,0.5656742234157058,0.6467833843583661,1.0420752128966102,0.7766946164382412,0.7261719541964724,0.0,0.29912831623131225,0.3613166542627276,0.35197993227239266,0.49136532915399667,0.9537980675727746,0.7991495593251093,1.0471834745459894,1.0169943048911834,0.8887442308147905,1.135107140986559,1.023153635437741,1.219795255528495,0.9460482802511165,1.2929299883022594,1.3086179009104995,1.1600919429433745,1.0117979542103526,1.0754629186319538,0.8430530243690775
e_large,1.1443408482810844,1.1609064721760514,1.1083573375622868,0.952490003390664,0.7515553596016409,1.1129905377213831,0.6196206304226565,1.2015726668987254,0.7797452056128202,1.5363466873692018,0.9741057996340811,0.8836435813540615,0.8004521535959073,0.749667464745304,1.0054331497989661,0.9831780783760119,0.8276921495125397,0.7705258806001314,0.5819372947004182,0.7510611869338714,0.8154077244766589,0.705665006470108,0.29912831623131225,0.0,0.40649107356320846,0.3853275633959821,0.4467100008620547,1.2178412652897845,1.3190731914448914,0.7723280828404788,0.998675409255637,0.7493696717053234,1.1628664613888513,0.9277955070169885,1.226258484265832,1.0496176895360172,1.362354659291568,1.4080752173299178,0.9215451483968061,1.5507900183402479,1.0159598263570697,0.9549184644309968
e_normal_flip_h,0.9840724520129179,0.7995867902825129,1.2304524172390194,1.2290698946674192,1.1043633340536727,1.0212464203282354,0.982169425367464,0.8422968856424464,0.9688233382878194,1.317291765899152,1.1695205909831694,0.9038364234441154,0.7039837905909971,1.123492044837056,0.938603180570598,0.881340242365398,0.9127526891395304,0.6447398989783377,0.6350892433633686,0.7136091323646309,0.5522914468244091,0.842316487295506,0.3613166542627276,0.40649107356320846,0.0,0.3310602263977496,0.35210496004805353,0.9077388484045636,0.8170394345151814,0.8424385199613242,0.610342639582728,0.7049357829381481,1.154509131460355,0.9619876034778705,0.9580381489669201,0.8221414383555699,0.9073477083903208,0.9253533279604651,0.99184972221112,1.0276250111149146,1.0256540170615718,1.0616870210252751
e_normal_flip_v,1.3263707457425282,1.091681486218282,0.8930026029351146,1.002274965800453,1.1773302219555926,1.1362864219469286,1.0372271824398898,0.9066566045752231,1.1710267826247747,0.870157000643768,0.9501922585495659,1.3202564617623418,0.995515638393595,1.2151099302226995,0.8444714804005193,1.246574189874656,1.336472374528292,0.8069497617796216,0.963754322384179,0.6348510769015557,0.5118811076953915,0.6532957346142853,0.35197993227239266,0.3853275633959821,0.3310602263977496,0.0,0.33225912360078497,1.3259795556662284,1.336328979194008,0.8697270973524531,0.6524565085876002,1.2216005148342013,1.349391034610061,1.0807945296375188,0.8677335935599921,0.8554447667751772,1.0206245260052653,1.2239913173632906,1.3439178857270868,0.6698503896567941,1.0617461772177572,0.9842277750070166
e_normal_rot90,0.9493184398351411,1.037551569365393,1.2090623058408299,0.9355864500987066,0.8230228544531419,0.8291685485681694,0.8646825607059384,0.9247266549088045,0.8845416135763137,0.7544638783293598,0.9067815967110988,0.7102099433807308,1.049736008570308,1.2698109528329167,0.8498451406301808,1.1197294762773506,1.237424563068319,0.8184527509754608,0.7967667035923119,0.5347294921314809,0.979733173417764,1.0608957004488098,0.49136532915399667,0.4467100008620547,0.35210496004805353,0.33225912360078497,0.0,1.3758437387174824,0.9009747356869243,0.7780304847487485,0.6769401056599733,1.0435750111735516,0.7726645113282787,0.9535710416417067,0.8530959933328226,1.0229512736709836,0.9683786646035275,0.9098370126528865,1.1463758245217803,1.205489198589102,0.8664591705851196,1.0988888362252185
f_normal,1.038463870249056,1.2000158228379414,1.5324083592891788,1.1450182971559075,0.960264291280994,1.104572583037135,1.3555577817336235,1.2660531987293486,1.1730770686685903,1.1580418771807355,1.0637391708233286,0.848942414070572,1.0136037463299374,1.281429584668186,1.0069282716827161,1.033205878948045,0.6788886010195744,1.3150094196499158,1.3171652608369897,1.3515052462269415,1.1002997456186923,1.320310041732458,0.9537980675727746,1.2178412652897845,0.9077388484045636,1.3259795556662284,1.3758437387174824,0.0,0.2320844106251722,0.41418906034520014,0.4055872497370384,0.5018703236998717,1.0369757888240685,1.016126836605423,0.9324052597121009,1.1241115282952456,0.9746705481478708,1.4688730578801081,0.8555877754918295,1.2656942020238477,1.364721731736977,0.7747671124681326
f_large,1.0962032312578789,1.3626644600087474,1.157946815973542,1.329767454133043,0.7963908756101334,1.0758003816928265,1.2812597554668708,1.1991315473187298,0.9516037198339968,1.0547941199226845,0.6810838593653793,0.6965973250731281,0.9464932749259285,1.0512704253409362,0.9049073283083342,0.7907661087418282,0.6854210877449286,1.046337426022628,1.1976720983198312,1.2325960051842337,0.8684071652587082,1.0418011756861192,0.7991495593251093,1.3190731914448914,0.8170394345151814,1.336328979194008,0.9009747356869243,0.2320844106251722,0.0,0.3920176873763083,0.3802329602631736,0.3526743979583191,1.0779168069563936,1.0889675741553393,1.015047363490157,1.3377218678739329,0.8900166236771897,1.5116546688369643,0.8115810538495382,1.2541466943234292,1.251635766099492,1.2652113062672745
f_normal_flip_h,1.5165929340264346,1.1237808713817934,1.1933460598933283,1.191236191016462,1.1471925182972804,1.0347395547706024,1.1329410037770207,1.149956757879726,1.0594501502273008,0.9597262493258527,1.1540374122733688,0.8648074031602833,0.7903389099264633,0.9583020768180321,0.5529395050047755,0.8431285330648881,0.6995221658318472,1.1261345414568835,1.250862206817096,1.228997427290513,0.8604589568964222,0.7836415757581304,1.0471834745459894,0.7723280828404788,0.8424385199613242,0.8697270973524531,0.7780304847487485,0.41418906034520014,0.3920176873763083,0.0,0.2755019783111782,0.3578492488053095,1.2707376783522648,0.8825948061524831,0.7325250768035815,1.3085074108173005,0.7959178593231929,1.0644787923207093,0.9681888486800534,1.165356798007409,1.3138699196863768,1.058441440271971
