,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3045632439788947,0.3780341799939362,0.4854078441142543,0.4276965428281833,0.3863952098618731,0.5685714643278001,0.43679890077505323,0.4160976154634213,0.40689005193072675,0.4218769378816421,0.38629516239002737,0.9413119592676762,1.3815097498723887,0.7806970158183918,0.6559139053618581,0.7820467052848643,0.9821392620915059,0.9750830633554959,1.0644401722915606,0.7731137036077409,1.0222050115494943,1.2291091771501061,1.196813608945142,0.7330631500888269,0.8479818547441278,1.009215858348151,1.119201659929017,0.9789468701300814,1.2706858079530148,1.009793575447911,0.878746701540152,0.7870545408611983,1.167817845153339,0.512344012601694,0.5848304267434072,1.0601380143283214,0.8467478638459857,0.9064848227337077,0.8637876968762553,0.9341907047195993,0.9883959031087032
b_large,0.3045632439788947,0.0,0.3925832590476788,0.43057325685610054,0.37099567358194535,0.39576003922580905,0.6329611868234825,0.40842538981483656,0.4095180054998717,0.6017263782485346,0.4811511909379754,0.46910697674471735,0.9538399780333233,0.6215416355532567,0.9450629305980421,0.5342831992121492,1.044472974861192,0.7227224314435831,0.9289061578941311,0.8852640606738669,1.0734428416042523,0.9480975478345265,1.344246023209301,0.8870642477183296,0.8171339188572766,1.2157008551375128,0.7959398331515554,1.1658786573241147,1.2558179871721604,1.4363919358292159,0.8841451056895173,0.8962631659705709,0.5981929880475582,1.2260555778724265,0.8314611299730793,1.1938293137348985,1.1286620582762321,0.8407295832879695,0.8890204444842571,0.8179108084432086,0.9697863963763879,0.7985024117975439
b_normal_rot90,0.3780341799939362,0.3925832590476788,0.0,0.3990120325000072,0.5197928346752694,0.39546591151243476,0.48590521586992075,0.639520033159353,0.3283660333422293,0.3713662607887674,0.44522679403607657,0.441187550223063,0.9080424467179077,1.090182347185506,0.5758898712672943,0.8781886249675791,0.8650697266745824,0.7537295050698178,0.8627419461743778,0.8881407859089632,0.4558730974781045,0.48829176763148724,0.7993139098389025,0.9857393977826434,0.6046071223101245,0.8695671338257751,0.5607199128264985,1.0197294360628602,0.5572015263768904,1.2383760309519722,1.3430360509140484,0.6034945121624609,1.0672576099661903,0.9112051769943013,0.6780938301374878,0.915590610418646,0.8151873707530349,1.044287655530818,0.8342890544406671,0.950102150286532,0.7642115705620596,0.930850247924453
d_normal,0.4854078441142543,0.43057325685610054,0.3990120325000072,0.0,0.3084289716078751,0.3726882830837323,0.47496377049915184,0.5441776934019754,0.4537892117801685,0.49631344957295703,0.4453587464408115,0.4582464521959385,0.8070440026681235,1.1723032083552012,0.8985731837046362,0.9386607157618947,0.6490541892605138,0.7456124635469115,0.5563475864162847,0.7615428427747051,0.9413568577503519,0.9882028655014738,0.9199259626558256,0.644387163277623,0.8931500756936602,0.8587538426826302,0.7440592819326753,0.6815267186816354,0.8991656600961374,1.0622321926334317,0.9719640547051487,0.8216365884830763,1.0261768692315272,1.3639238580260795,0.8046930572250748,0.6691760468149311,0.7538453138011985,0.7382605636035988,0.8250481128793495,0.5640473457995854,0.6507316655648301,0.756488667504348
d_large,0.4276965428281833,0.37099567358194535,0.5197928346752694,0.3084289716078751,0.0,0.446719350878261,0.5694205478433907,0.3804831821990885,0.655959670043817,0.440776490722147,0.3715665864197123,0.48809540622463704,0.9829867604769137,0.754101781132393,1.032684082882921,0.6875105230452084,0.9475124966491817,1.146948499122931,0.8626083682058365,1.100941048532679,1.1570510437590187,1.272749082132687,0.8098607759248486,0.6200496871777245,0.8595544238576434,0.9741079168923937,0.670179444116816,1.0170794360230377,1.0293311647378665,1.1259558090928745,1.2759428387928766,0.8759324358124739,0.9730329314694531,1.0551786124289437,0.8946588513802669,1.0243727418741526,0.6724870677345447,0.8369369852688756,0.8995558157274964,0.7010266440534973,0.7101418385148999,0.9145741110244379
d_normal_rot90,0.3863952098618731,0.39576003922580905,0.39546591151243476,0.3726882830837323,0.446719350878261,0.0,0.4126587718990039,0.6730567595407255,0.2824625642499067,0.48297033389478106,0.41015569533381646,0.28870280644987434,0.9630287028941339,0.7589136610045526,0.7551857727492899,0.7665343352484015,1.169764295893188,0.724746662095885,0.6897041213787988,0.6548750724802495,0.4774413184595095,0.4854155332490148,0.75961137758944,0.9736160654460991,0.6099934526169404,1.055352721358119,0.5410823028713524,1.2873571492694644,0.7971710936290145,1.0286022734500682,1.0808216526073038,0.8216919746399874,0.7071968333059452,1.167006727377439,0.8553650051122234,0.6236128493423986,0.637135568821401,0.5981349773053898,0.8957819303306159,0.7373628700779733,0.7506792898803236,0.843373711813845
q_normal,0.5685714643278001,0.6329611868234825,0.48590521586992075,0.47496377049915184,0.5694205478433907,0.4126587718990039,0.0,0.3104431009860883,0.49171906232458035,0.5028618376662062,0.439845161859706,0.5043027951448884,1.0281580218256496,0.5649291293458284,0.9305983385730578,0.7181282829052689,0.8832127183527134,1.1822377440400684,1.1643999284545252,0.6902533890895931,0.9672492974574429,0.9055827605765341,0.9005576463746677,0.8422760278514998,0.8350392986677867,0.6666166646677096,0.7374845440157382,1.164128756557246,0.9575614444301911,1.4224651335844918,1.480228653847889,0.7598175160201224,0.8770811468013711,0.9350353422086621,0.9137106221460243,1.1095878904808285,0.7096221102905382,1.1372725080353216,1.0842317349564627,0.5584504798542753,0.7544947068371256,1.1462608655221627
q_large,0.43679890077505323,0.40842538981483656,0.639520033159353,0.5441776934019754,0.3804831821990885,0.6730567595407255,0.3104431009860883,0.0,0.4200762354665558,0.5736159888875642,0.34205265169999466,0.5654555831991526,0.8610202864778708,0.5643548896514824,0.7959988706101482,0.6310214280126775,0.7248031674792041,0.943051382944496,0.8559434259569534,0.7404425796960339,0.9167589996831342,0.7814894756281245,1.0791063257479045,0.9563585527685603,0.7767236519522083,0.6141958335282693,0.8290621499421851,1.0601838158789607,1.2193976481308524,1.1853764671187221,0.9320433459929047,1.0021444680649922,0.8311385069113515,1.12879936692495,0.9695504662293146,1.0743279190100525,1.4056829556493942,0.7673480934092066,1.0517482242602822,0.5697771443150329,0.9151133458396885,0.801389161581157
q_normal_rot90,0.4160976154634213,0.4095180054998717,0.3283660333422293,0.4537892117801685,0.655959670043817,0.2824625642499067,0.49171906232458035,0.4200762354665558,0.0,0.47839487038024914,0.4055862372970118,0.439448870221492,1.2929912368704002,0.8403324343424168,0.7423552108262129,1.175821624742312,1.068199100513753,0.8144745653036087,0.8408458234061585,0.6436355891217477,0.8263375823990399,1.2337656605341363,0.5712133967645171,0.8842282376422202,0.7894402433141352,0.7262327040392628,0.7242564178395521,1.1476405621786838,0.7079294491733414,0.8382174257439093,0.9523925649417954,0.5785235201859943,0.7669487277085703,0.8232065013819775,0.7713678184900572,0.8289153814145337,0.5392895916443261,0.7898003719200983,0.8638483895243262,0.9792678852143062,0.6730365381957158,0.8795370711132137
p_normal,0.40689005193072675,0.6017263782485346,0.3713662607887674,0.49631344957295703,0.440776490722147,0.48297033389478106,0.5028618376662062,0.5736159888875642,0.47839487038024914,0.0,0.29525140474528017,0.44799416512892565,0.835896555535658,0.9138959708413561,0.9752081878358059,0.8863123707664037,0.7985479133804312,0.5725559657266925,1.29243299803337,0.8694595443916653,0.8983597552549134,1.1760140858365655,0.7655293829945387,0.6897884265986616,0.9024990046585494,1.2684319651806075,0.7758136831534207,1.5350216405519947,1.1295448908223895,1.0292333289465327,0.6587929919879912,0.9635543301697451,0.9218136990197036,1.2155757602180137,0.7791171761418062,1.193343235481952,1.1876182299269964,0.8455281440373329,0.8735315372301192,1.1369727765091915,1.2025502051015349,1.0884599047444596
