,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.43808348934685437,0.6522482804618069,0.7661653440144016,0.3522978573703987,0.5338480162709636,0.3156661803975249,0.39625086618438826,1.3017537886263415,0.5954297747231609,0.5030013158079024,0.9893060329769916,1.0951960918694372,0.913592593494601,0.6811389361204482,0.7420748573389278,1.2316211624073539,0.8297065541971385,0.6916075376435925,0.6269956497174871,0.6942883962676042,1.0823965699573546,0.6796576260054685,0.6622786455583303,0.9487495978023683,0.8875413471459904,0.6064265951019435,0.9390732242082357,0.9814401992701454,0.6921810384187972,0.698253252964147,0.9160921884668756,0.5022877301871029,0.9007156597965187,0.9812945215267087,1.101532067178154,0.6351357934930936,0.8677566647822376,0.9353258747623835,0.6843519354032508,0.884714272777664,0.9128262750292787
b_large,0.43808348934685437,0.0,0.9434756868982217,0.3992599082675961,0.7183533399510822,0.6775518939149249,0.2571765584818606,0.43510102635424136,0.6835197593781356,0.3358923199990416,0.86406877567631,0.6222207761184047,1.0806541371133476,0.7255115673615615,0.8435035537955414,0.6012617538746315,0.8381758063203743,0.49437525812105987,1.126908313691666,1.0873972157331886,0.7802910248888932,0.6411423059563747,0.7881552579133481,1.3969063724987383,1.0540781432306046,0.9947018089733378,0.8555617895411546,0.9352462681509885,0.9832299522521456,0.6148566516492497,0.6745129824207746,0.8677836138993402,0.4140993226624382,0.3615593180490844,0.7421461915873883,0.779138365400773,0.5071985790619794,1.1788200000098126,0.7805638074848612,1.0531124842252317,1.5627903823231686,1.0304766438071868
b_normal_rot90,0.6522482804618069,0.9434756868982217,0.0,0.8017077303670048,0.6447102794833717,0.49169677380204585,0.6421496759091048,1.0194754343626227,0.3585254714322012,0.8437129513683805,0.8749628197003433,0.27349071368466527,0.7878789301855096,0.55377578914087,0.576365057503893,0.5525995879622047,0.529416142568867,1.6096061394868924,1.452778446690216,0.9083434562389134,1.5705088342814333,0.5689674261996651,1.3098703852053442,0.9729219939058702,1.0653648208509576,0.8279020017345547,1.352341144011152,0.9393847638751696,0.7779642377397097,0.7832849311084416,0.9129428473494622,0.4846399193007994,0.8474883855000729,0.603108984635668,0.5535021223226533,0.9461016392867287,0.6148943890429359,0.9196442756345937,0.6415998803582025,1.056624917308344,1.0261282666191702,0.6525663769725556
d_normal,0.7661653440144016,0.3992599082675961,0.8017077303670048,0.0,0.4788790609647244,0.7274065369534075,0.45247786396977274,0.5700617561227832,0.6803120134680088,0.2758880071318672,0.49615262756278805,0.7161621205154166,0.9359994415910387,0.5780179840890565,0.7891998748232263,0.6532648606869662,1.0945040100860743,0.6043756555276021,1.2116240680486472,0.6869350450143834,0.809704735582778,0.8327700606715505,0.7253132342621592,1.1179899095194414,0.9175103076815476,0.9370254860274579,0.6788075748466538,1.173347473653782,0.8972217977322593,1.157964638495,0.6556012386083587,1.0007739173445729,0.5270206549323754,0.5251658287694584,0.9994571688703418,1.0357418483831082,1.0252383008462864,1.251035476772777,0.6494675796881378,1.116566924135092,1.368929881736577,1.158761071689683
d_large,0.3522978573703987,0.7183533399510822,0.6447102794833717,0.4788790609647244,0.0,0.5041710916622385,0.35265733000286337,0.4145830811837322,1.3692104188300687,0.6300507276956009,0.3247475652049406,0.9871907455316434,0.8977408442174347,0.8177907794367657,1.1756507951495967,0.9795317883358194,1.1951732423318764,0.9429274462561577,0.7303795655163589,0.6326690870376326,0.7893659836948766,0.9730338685023254,0.6344862780951258,0.815661027888706,0.69666536111204,0.7034635386373468,0.5905516728296262,1.3913288192227005,1.029739917740326,0.7816026146688584,0.6731395732082948,0.7559301419164761,0.8336788296734851,1.2284714835080288,1.034928607030893,1.3103397174267117,1.0612446368197148,0.9712668056950653,1.108193974550602,0.9976180139380268,0.8423442310196372,1.296238458684622
d_normal_rot90,0.5338480162709636,0.6775518939149249,0.49169677380204585,0.7274065369534075,0.5041710916622385,0.0,0.3914484986005647,0.6279240235633355,0.2483226380481168,0.8248010552995022,0.46824388692426044,0.2657056949431435,0.8653026476070702,0.7885280796916957,0.5062758188319599,0.655588347493973,1.0207259000284272,0.9816446134904359,0.7494607436255711,0.8282617041202079,0.8234296454222187,0.729113925710544,0.7167291349592307,0.8141032399491723,0.9302709222379228,1.0432545098675539,0.8407944104274062,1.4877808558892063,0.9874172624328091,0.9676000455416146,0.5869088129983074,1.017067671176535,1.1182875599263955,0.9391991487333498,1.4219193439735012,1.428764842659611,1.176150697302751,0.898465353887344,1.564318889037647,0.978590532799668,1.1398321544559868,0.5984620434110561
q_normal,0.3156661803975249,0.2571765584818606,0.6421496759091048,0.45247786396977274,0.35265733000286337,0.3914484986005647,0.0,0.35508929480265533,0.8758272505805165,0.37996479729623805,0.41059404786379144,1.1670103378637413,0.58965609975475,0.6797573400200996,0.7259818449129976,0.8898253428321317,0.9042308293067249,0.3623412701558374,0.8228498509779093,0.6484753812500866,1.1015934646329193,0.8283959781792771,0.7797939379921927,0.9874321053179183,0.9375014277966721,0.9740621384504692,0.9291930063558842,0.9688801492286578,0.7916636459189317,0.8816217328141699,0.6661917072674721,0.7916197892517426,0.6579382762908991,0.5165321328631443,0.7165417049932284,0.6054981927316198,0.5371514255513937,1.1727163275146464,1.1599032423942917,0.9356187778861096,1.121456472570374,1.174601270849181
q_large,0.39625086618438826,0.43510102635424136,1.0194754343626227,0.5700617561227832,0.4145830811837322,0.6279240235633355,0.35508929480265533,0.0,1.11445731123175,0.4221041751105429,0.30205691201531776,0.9410011466048754,0.6317860084610295,0.619427708152559,0.7673000962398633,0.9135901474936269,0.7930102629529054,0.5403018393407293,0.6481253176045333,0.7786608347124299,0.5591702436012024,0.8012261991434805,0.969002139575563,1.3556061577107184,1.1090419307487962,1.4500761188524056,1.0003721314919678,0.5931554785017774,0.7207238268999936,0.8362431825530615,0.7171655173249265,0.7836417646620959,1.024882958826411,1.2520693761795834,1.0145102083337099,1.210453203153905,0.7270753305372185,1.2918877901417614,0.701877772066965,0.9570557107370843,1.1352675097569114,1.1625806181027798
q_normal_rot90,1.3017537886263415,0.6835197593781356,0.3585254714322012,0.6803120134680088,1.3692104188300687,0.2483226380481168,0.8758272505805165,1.11445731123175,0.0,0.8945572242663667,0.5998598198541373,0.34812308746866283,0.8462530485924793,0.8626334586976437,0.9697597672508692,0.788910360510903,0.6389915736049461,1.0503214847404927,1.0049040420640039,1.020244521058404,0.7851740820572802,0.8342075332377675,0.9558484382139063,0.8131916390564214,0.8870083460047171,0.7287522998714356,0.8511686106546836,0.8814933301195482,1.0732470523803685,0.9425979493913984,0.6147038261885529,0.8744543098236867,0.8053375863085532,0.8054522578900039,1.1311448647153566,0.8652753445954496,0.6576167277075484,1.0571036316303306,0.7844174407728348,1.1707128039167185,0.9831874888668779,0.5226464181543665
p_normal,0.5954297747231609,0.3358923199990416,0.8437129513683805,0.2758880071318672,0.6300507276956009,0.8248010552995022,0.37996479729623805,0.4221041751105429,0.8945572242663667,0.0,0.3333654495628488,1.1041628504833807,0.8317491940196401,0.8587210662239341,0.9108938381868653,0.7182798581579846,0.8544093910071897,0.8688200191143673,0.8329266260316891,0.8904822336122555,0.7363090449518843,1.085964330899424,1.150888836042127,1.192802053102389,1.0912075189710395,1.3615801683177748,0.9415161124163736,0.7409164926923983,0.9186309075494719,0.8242067561354165,0.6300606199327956,0.838659744404442,0.8236730471143124,1.0747581320325699,0.8107306880526464,0.5011327319782449,0.7932726516500124,1.146391967021539,0.8292712157201038,1.2159240462485388,1.0819497996251437,1.1673549341960712
