,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.3144539319463749,0.5226532902182571,0.5675075422059926,0.5660646164048816,0.7238458462359811,0.6150132722677729,0.6298449253068914,0.7074458803230549,0.44684632975332067,0.5706868776138406,0.4952365620904518,1.1863753526313938,1.110052762463411,1.3349256683079858,1.27466379026442,0.9791935727551572,0.9802560888899637,1.1835837076269329,1.212457983111767,1.3269369146158576,0.9356968646164665,1.472763720057135,1.4645192790394237,1.3729767669229045,1.1094951809590832,1.374923709575999,1.5464012005122352,1.3913572057976853,1.3589296435091238,1.6743055616035676,1.5255074225210479,1.1096166756688426,1.411572387689566,0.7990003917172899,1.047151394975835,0.7759083081831044,1.3446445284702317,0.8587728616777335,1.172038821803154,1.5247294964002807,1.009484187959659
b_large,0.3144539319463749,0.0,0.3648886820738146,0.3524997558494676,0.3610788280670173,0.3606273738223384,0.35196828114074297,0.4477562112627745,0.34267387261269583,0.34298275934383105,0.3651075692707237,0.4474300323632319,1.1100457841401088,1.3155500526273423,1.5238996899758062,1.0419019582527604,1.2449408810631886,1.1309190772291797,1.1052469261032598,1.3650398747441723,1.538615902953641,1.1494429209123547,1.2906156005625415,1.1890277863460703,1.178253022169511,1.3470334462801405,1.4133520993104287,1.6078355572130394,1.466569402001858,1.284467020120629,1.416054646065334,1.5747918914394041,0.9639457094032977,1.1313737217178679,1.0368269354897537,0.8533432437563113,0.6560025922714331,1.310041890864431,1.4899473389687554,1.3863565026053946,1.4252302858054489,1.5055184074665733
b_normal_rot90,0.5226532902182571,0.3648886820738146,0.0,0.7917185531016374,0.7686197640794264,0.5844833595004798,0.7209518260925635,0.5795924481493248,0.5185183586878468,0.46061603992158806,0.6752295679294088,0.38428073759967885,1.0665551343638748,1.4606111837275717,1.2966091828933346,1.244663132586094,1.0822358944248682,1.4257056401345731,0.9880028926702629,1.1403941981288135,0.8664694983713409,1.1612961753721045,1.4593001382200845,1.2595190571049901,1.4026616495914348,1.1924697992261009,1.3382754193289734,1.5058795569594934,1.3140230897500738,1.6302016530235164,1.3580148078124785,1.103365658330592,1.0478413888950562,1.3768619085721043,0.9440535604131696,0.6304683477304729,0.9966876270455644,1.0459424876070662,1.0541915230767913,1.277942571752271,1.6122498580636984,1.2589559374544208
d_normal,0.5675075422059926,0.3524997558494676,0.7917185531016374,0.0,0.3350200491207948,0.8182039955625264,0.8911647875700932,1.1515174439636102,0.500002434724668,0.5082029766692936,0.7155072526592695,0.7351132769704659,1.7379649986254684,1.1536767155468246,1.1455822098225459,1.4821131891685213,1.257876505506082,1.2257108865089517,1.421638657081496,1.3027673700512263,1.6248623637386397,1.3710473940287125,0.7947614909362322,0.9706967229939447,1.5197890062561283,0.968407754072825,1.2584432248835864,1.478436358356418,0.9415548873468573,1.510968364729538,1.3240894342340512,1.6846583289441943,0.9187889356559719,1.4466146228069834,0.9496528744802889,1.0408944836468939,1.1888203362295549,1.620213212247346,1.1550199324345447,1.0556864826185433,1.5366110238507389,0.9439616774656242
d_large,0.5660646164048816,0.3610788280670173,0.7686197640794264,0.3350200491207948,0.0,0.5641690241658883,0.6239095412938095,0.7497704922562081,0.6899159839321354,0.5318806315526018,0.5500351944314726,0.5587013704726531,1.4613502247751649,1.2054200984677808,1.195088531573003,1.2453560357445135,1.5589243677015405,1.1438671052859055,1.1759252464425312,1.245039672541966,1.1587763632003196,1.444636365955759,1.1654639549831403,1.3587452498459367,1.2434308206530145,1.4040852003279707,1.5392595040127466,1.5748974869091532,0.9212072029626411,1.5341972063370737,1.4780604609537273,1.5005097648883932,1.214936431465474,1.1230849668543252,1.2079335064314396,0.9699393145816319,1.0819858530430952,1.3785859680219463,1.0931493860390913,0.6795832288227638,1.3409945367319458,0.9574713166622565
d_normal_rot90,0.7238458462359811,0.3606273738223384,0.5844833595004798,0.8182039955625264,0.5641690241658883,0.0,0.5284105903282554,0.7153417625002588,0.9376677680806008,0.8532484183570191,0.62185017591124,0.5260615895969323,1.5513750963729072,1.632053648810024,1.7107436772510622,1.6472389583946059,1.2818720011456377,1.3121306420699985,1.291609448344057,1.509238170889366,0.9256456064237091,1.5508324971607725,1.2935635302409458,1.171325438627165,1.024213399257974,1.2687339395785484,1.5427035712180444,1.635097709645061,1.6351351707512762,1.4532598108380392,1.7180103331424146,1.3989293359018409,1.2905212248415174,1.3022559300023482,0.8074033941630808,0.9613881909435276,0.8919308213412647,1.4697197957546442,0.9487230932460773,1.6460276749354033,1.1973286239171637,1.6258841342988812
q_normal,0.6150132722677729,0.35196828114074297,0.7209518260925635,0.8911647875700932,0.6239095412938095,0.5284105903282554,0.0,0.28160342240026287,0.4936452743443955,0.5140474414982353,0.3378454114688932,0.4558270131088765,1.2956088946997262,1.5836855970561854,1.4895691500129549,1.419658194344764,1.5584645447565413,1.1752181715949943,1.151721345841668,1.221676419361623,1.2376376716613942,1.1435106748700274,1.2184630355855885,1.2540965611535093,1.358996102851853,1.3235712001040303,1.3982522989494945,1.008299739732157,1.2185037740604012,1.363563125818322,1.3376957563992098,1.0005999607866596,1.1930465348978538,1.3967647729297712,1.1826106507060414,1.178709196801715,1.3209798491976843,1.042992335490221,1.1358970223035854,1.0437638281849237,1.3441970713453386,1.0563273083493625
q_large,0.6298449253068914,0.4477562112627745,0.5795924481493248,1.1515174439636102,0.7497704922562081,0.7153417625002588,0.28160342240026287,0.0,0.885946523629074,0.32722348495769776,0.3920419230971805,0.4213429298956065,1.3295548377507092,1.6087699160850981,1.7204189656745053,1.501727912595235,1.2027945443187784,1.3635658945262152,1.371095570621565,1.3084910051590843,1.3583788118910374,1.2228270849092726,1.1611427388561182,1.547346578713133,1.1929798250906443,1.0362442902133202,1.3221509558229085,0.9879429031895259,1.227281200333267,1.1909466166790643,1.2273353421855904,1.3144969774220943,1.102933137431291,1.6523534050719668,1.4518526918534027,1.22818136646925,1.581772890963798,0.9652435007848555,1.0762338133404359,1.4421147617045942,1.3495202815139486,1.437477737167375
q_normal_rot90,0.7074458803230549,0.34267387261269583,0.5185183586878468,0.500002434724668,0.6899159839321354,0.9376677680806008,0.4936452743443955,0.885946523629074,0.0,0.7005074669684629,0.6585770517219247,0.490411020879905,1.6240893340547777,1.3661865153298933,1.5261301138049017,1.4407592487803806,1.368324430809544,1.0780419456112944,0.954547311759365,1.2585346778357502,1.3292316954966457,1.0558683566261349,1.2336097387278204,1.2947382870160018,1.2608703748556114,1.2846830934833442,1.3865056546082075,1.353568014558193,1.126354139705901,1.4854030446164928,1.4514475939983629,0.7965446406903377,1.1441617644797393,0.9586744715534778,0.9756065198547473,0.7812041186970861,0.8660376929849664,1.099637797091896,0.9644833559804775,1.056512342326564,1.1222656255877026,1.0915491461626587
p_normal,0.44684632975332067,0.34298275934383105,0.46061603992158806,0.5082029766692936,0.5318806315526018,0.8532484183570191,0.5140474414982353,0.32722348495769776,0.7005074669684629,0.0,0.2988661156138182,0.45497047182984923,1.4667760301932262,1.163089951949892,1.2895048231019601,1.2068316586919532,1.2583378193951573,1.525821735548643,1.0291672426021374,1.088313812181325,1.2258411045004936,1.175861173780412,1.0345354181065263,1.4419452839362155,1.1903356822736655,1.022850911495497,1.4063426732780124,1.4504873020819509,1.0685848260344302,1.280914471528377,1.605700106030934,1.5631503472200343,1.0394121082005268,1.120423072623336,1.1944434454239254,1.3307712370210776,1.1089567484320346,1.2869393630006831,1.1320554836663332,1.371800452933962,1.4612996760700419,1.3406706894129834
p_large,0.5706868776138406,0.3651075692707237,0.6752295679294088,0.7155072526592695,0.5500351944314726,0.62185017591124,0.3378454114688932,0.3920419230971805,0.6585770517219247,0.2988661156138182,0.0,0.5005608668214868,1.369020936410361,1.4935352204385082,1.5301112114643987,1.4743612807532533,1.3880141203346075,1.5954674532420359,1.0000867931758706,0.9442995312285434,1.3440847530181228,0.9287384010933508,1.2010101861319786,0.9263828883192491,1.469271553734624,1.4220396366164956,1.2986740525094016,0.7661193367053836,0.9711774115496642,1.2616111232053369,1.1689866559141255,0.7607940943094935,1.1548254520598358,1.2990068379029087,0.9619322688508947,1.0224540071927852,0.8386745436916716,1.3605323871084878,1.4871313096381924,1.125741564499363,1.5667587222330863,1.2375457963722702
p_normal_rot90,0.4952365620904518,0.4474300323632319,0.38428073759967885,0.7351132769704659,0.5587013704726531,0.5260615895969323,0.4558270131088765,0.4213429298956065,0.490411020879905,0.45497047182984923,0.5005608668214868,0.0,1.3290145369495385,1.2716890586486915,1.523379628610125,1.6258525545890685,1.6293267408358727,1.33889521647288,1.5039497430091098,1.307500000547671,1.2181487585241437,1.3780781508487825,1.41812067984341,0.8855851052523581,1.2917798893225645,1.673178980666739,1.0195550087258243,1.176317334641621,1.4045768275304564,1.0293058071031251,1.3033115542001616,1.26617674428326,1.0437815292002919,1.156464247208585,0.967495361970855,1.1483355239542266,0.87722217613382,1.0043337550481262,0.8116264321032548,1.0500741926526735,1.0751973567286843,0.844984964397185
r_normal,1.1863753526313938,1.1100457841401088,1.0665551343638748,1.7379649986254684,1.4613502247751649,1.5513750963729072,1.2956088946997262,1.3295548377507092,1.6240893340547777,1.4667760301932262,1.369020936410361,1.3290145369495385,0.0,0.33620647479489574,0.7723285173068609,0.4590474387505041,0.46011992266556556,1.113272997950614,0.9738795519715333,0.8530217617695071,1.062876697342872,1.0858272571963028,0.9745943787153241,0.9149394312521788,1.153707568016879,1.2250603113145648,0.8256441192964586,0.7898606486244413,0.8113726485110417,0.9330727153895598,0.845198401856962,0.90746626744418,1.255622717153418,1.5292654115950857,1.4029021687240966,1.1391532849971113,1.3317941994237732,1.4392955090000874,1.2407540678475142,1.3395281779894297,1.1767700832050978,1.4176590133216922
r_large,1.110052762463411,1.3155500526273423,1.4606111837275717,1.1536767155468246,1.2054200984677808,1.632053648810024,1.5836855970561854,1.6087699160850981,1.3661865153298933,1.163089951949892,1.4935352204385082,1.2716890586486915,0.33620647479489574,0.0,0.5645734766741914,0.5435324990680432,0.4657074891380552,1.5231651549445377,1.240985524290446,1.501103921878731,1.3827694282648264,1.153377292421681,1.0967806350196296,1.1098570232603315,1.211314974467456,1.3592113490409923,0.8183403776627262,0.7585685910069251,0.8643199606693825,1.0170290943888618,1.0802745534690237,1.0541068438171457,1.5982521776949468,0.7960654479833801,0.9500265933745239,1.1467184498024157,1.234024376718778,1.4984345787583098,1.4302267407280078,1.6880866852501355,1.6339063158438756,1.5482911394755234
r_normal_flip_h,1.3349256683079858,1.5238996899758062,1.2966091828933346,1.1455822098225459,1.195088531573003,1.7107436772510622,1.4895691500129549,1.7204189656745053,1.5261301138049017,1.2895048231019601,1.5301112114643987,1.523379628610125,0.7723285173068609,0.5645734766741914,0.0,0.4478810548360686,0.4713114709082575,1.3694777937146536,1.2802575274860177,1.3675560297810296,0.9895205701137362,1.4023337804864417,0.8992371295086234,1.08432763503542,1.3416689995685847,1.113465585074237,1.056176999581896,1.325271475616647,1.7427077990940065,0.729703729690653,1.0036736262845865,1.2954468099828886,1.4888661282146136,0.786309991325731,1.5623043337458364,1.3458154197180974,1.2924313240650287,1.0620285144734685,1.3187750433751484,0.9594892065121682,1.435503612638926,0.868235362245836
r_normal_flip_v,1.27466379026442,1.0419019582527604,1.244663132586094,1.4821131891685213,1.2453560357445135,1.6472389583946059,1.419658194344764,1.501727912595235,1.4407592487803806,1.2068316586919532,1.4743612807532533,1.6258525545890685,0.4590474387505041,0.5435324990680432,0.4478810548360686,0.0,0.632658955740095,1.174104083521685,1.3844184767535674,0.9422515420821632,1.1238404272399896,1.2544692073862118,1.0724084621690007,1.0120218135738333,1.02459847771833,0.8901508311064572,1.1902082712883157,0.9784205404184553,1.0891130195513883,0.7864197709011392,0.8206189961984968,0.9508252036355717,1.5288654289735772,1.4325726778261427,1.5362870471817751,1.4323587784087202,1.4057431685763717,1.7116290618679582,1.096285393474852,0.9843982727262586,1.5319643917925183,1.3146479124467785
r_normal_rot90,0.9791935727551572,1.2449408810631886,1.0822358944248682,1.257876505506082,1.5589243677015405,1.2818720011456377,1.5584645447565413,1.2027945443187784,1.368324430809544,1.2583378193951573,1.3880141203346075,1.6293267408358727,0.46011992266556556,0.4657074891380552,0.4713114709082575,0.632658955740095,0.0,1.455920057352959,1.557475422060835,1.5461130308099271,1.1019516322682001,1.049508263784311,1.2505564323239005,1.2151484969398523,0.9944847696275385,1.1687972126477544,1.1539356126335483,1.0990995315470802,0.7948485650378164,0.8420881989875614,1.0247614642408924,1.0123392707119616,1.5164631044965151,1.0013480431532595,1.288400369763013,1.4601650428460147,0.7018466977846087,1.0583728029295925,0.8877306010192697,1.1413270445727446,1.5470414690666279,1.0128558018924896
a_normal,0.9802560888899637,1.1309190772291797,1.4257056401345731,1.2257108865089517,1.1438671052859055,1.3121306420699985,1.1752181715949943,1.3635658945262152,1.0780419456112944,1.525821735548643,1.5954674532420359,1.33889521647288,1.113272997950614,1.5231651549445377,1.3694777937146536,1.174104083521685,1.455920057352959,0.0,0.3478678858570649,0.45992148329845095,0.42971851144378975,0.3857606336140508,1.1332419822720727,1.159453109097147,0.7414720598079563,0.9897173335437548,1.0252595240449176,0.8562504662132325,1.3696489738657214,1.4958694868050426,1.3218975135489153,1.267784786673203,1.4012858219820814,1.466789097443783,1.2244689035104697,1.4088765870280622,1.6735210009149135,0.8972492040215527,1.444231316407043,1.5380875387234256,1.2854137249476008,1.278674725772225
